Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,URL,Описание,Код товара,Тип,Напряжение,Мощность,Ширина,Глубина,Высота,Вес,Страна производства,Количество мест,Размеры,Остаток,Файлы,Старая цена,Видео,Вес (без упаковки),Родина бренда,Производительность,Вес (с упаковкой),Подключение к водопроводу,Счетчик напитков,Вспенивание молока,Радиомодуль,Ринзер
https://cdn.entero.ru/mp@2x/03/dc/03dcfbbf3325ea34d7c0f11f2c29d909.jpg,Дозатор молока автоматический встраиваемый EasySystem EasyMilk с переносным дисплеем,Дозатор молока автоматический встраиваемый EasySystem EasyMilk с переносным дисплеем,73062,RUB,Да,,Кофеварки и кофемашины,Вспениватели и дозаторы молока,https://entero.ru/item/273207,"<p>Автоматический дозатор молока <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/273207""><b class=""b"">EasySystem EasyMilk </b></a>предназначен для точного дозирования молока и других пищевых жидкостей для приготовления напитков на предприятиях общественного питания и торговли. Модель оснащена 4-мя функциональными кнопками без фиксации, USB-входом и выносным проводным дисплеем.</p>

<p><b>Особенности:</b></p>

<ul>
<li>4 вида настраиваемой дозировки для более качественного приготовления напитка</li>
<li>Встраивается в столешницу</li>
<li>Гигиеничность за счет отстутствия контакта человека с молоком</li>
<li>Простая настройка и обслуживание</li>
<li>Компактный размер</li>
<li>​Поддон со сливом в канализацию</li>
<li>Легкая очистка</li>
</ul>

<p><strong>Дополнительные характеристики:</strong></p>

<ul>
<li>Погрешность дозировки: 1 мл </li>
<li>Длина шланга подачи молока: 2 м</li>
<li>Промывка системы: 1 раз в 8 ч</li>
</ul>",273207,встраиваемый,220 В,0.1 кВт,190 мм,240 мм,105 мм,,Россия,,,0,https://entero.ru/manuals/336963/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20EasySystem%20EasyMilk%20%D1%81%20%D0%BF%D0%B5%D1%80%D0%B5%D0%BD%D0%BE%D1%81%D0%BD%D1%8B%D0%BC%20%D0%B4%D0%B8%D1%81%D0%BF%D0%BB%D0%B5%D0%B5%D0%BC.pdf,,,4 кг,,90 л/час,,,Да,,,
https://cdn.entero.ru/mp@2x/29/26/2926b7d6e4ee24ca2eb562c178a6b87b.jpg;https://cdn.entero.ru/mp@2x/4f/f6/4ff6b52d88bc180ad777a74fad5084b5.jpg;https://cdn.entero.ru/mp@2x/a5/76/a5760863faec9e717e2a20b1c78a32ad.jpg;https://cdn.entero.ru/mp@2x/6e/18/6e18f3bec9929becfeecaea68fca169f.jpg;https://cdn.entero.ru/mp@2x/c5/77/c577a7f0ce9a6da9f724db1f442f9ed4.jpg,Вспениватель молока CASO Fomini,Вспениватель молока CASO Fomini,2454,RUB,Да,CASO,Кофеварки и кофемашины,Вспениватели и дозаторы молока,https://entero.ru/item/226781,"<p>Вспениватель молока <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/226781""><b class=""b"">CASO Fomini</b></a> предназначен для получения молочной пены и последующего приготовления капуччино, латте и других различных напитков на ее основе, а также для взбалтывания яиц и ингридиентов для соусов. Прибор работает от 2 батарей типа AA. Модель оснащена рукояткой с выключателем, венчиком, держателем и прорезиненной вставкой для удобного захвата. Корпус и держатель выполнены из нержавеющей стали.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Частота вращения: 12000 об./мин.</li>
</ul>",226781,ручной,220 В,,40 мм,40 мм,245 мм,,Китай,,,0,https://entero.ru/manuals/273140/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20CASO%20Fomini.pdf,3506,,0.1 кг,Германия,,,,,Да,,
https://cdn.entero.ru/mp@2x/dd/bc/ddbc5bbfcb61702b26b3dc9e2788ead1.jpg;https://cdn.entero.ru/mp@2x/98/28/982802613240f328602fa9388956af8d.jpg;https://cdn.entero.ru/mp@2x/57/4f/574f2e0817eaea8274d43b7da044c597.jpg;https://cdn.entero.ru/mp@2x/b8/58/b8581f1ebbbf742b92c5de7ef31c563c.jpg;https://cdn.entero.ru/mp@2x/5b/b3/5bb34df92b83da2513209485e6400bc5.jpg;https://cdn.entero.ru/mp@2x/3c/51/3c51a75d278ce450e2257cd35dbd6c1c.jpg,Пеновзбиватель CASO Crema & Choco Black,Пеновзбиватель CASO Crema & Choco Black,10939,RUB,Да,CASO,Кофеварки и кофемашины,Вспениватели и дозаторы молока,https://entero.ru/item/232521,"<p>Пеновзбиватель <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/232521""><b class=""b"">CASO Crema & Choco Black </b></a>используется в кофейнях, барах, ресторанах и в домашних условиях для получения холодной и горячей кремообразной молочной пены для приготовления латте макиато, горячего шоколада, капучино и фрапе. Модель оснащена чашей из нержавеющей стали с теплоизолированной ручкой, 2 съемными магнитными насадками для вспенивания и подогрева и прозрачной крышкой. </p>

<p><b>Особенности:</b></p>

<ul>
<li>4 режима работы:
<ul>
<li>Горячая молочная пена для каппучино (очень плотная)</li>
<li>Горячая молочная пена для латте макиато</li>
<li>Холодная молочная пена</li>
<li>Горячее молоко</li>
</ul>
</li>
<li>Приготовление горячего шоколада из шоколадной крошки или какао-порошка</li>
<li>Точный контроль температуры позволяет подогревать и вспенивать напитки на растительной основе</li>
<li>Дисплей с подсветкой кнопок</li>
<li>Автоматическое отключение или ручная остановка</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Объем:
<ul>
<li>Вспенивание: до 0,25 л</li>
<li>Нагрев: до 0,35 л</li>
</ul>
</li>
</ul>",232521,настольный,220 В,0.5 кВт,165 мм,125 мм,220 мм,1.08 кг,Китай,1,198x150x264 мм,0,,11395,,0.9 кг,Германия,,,,,Да,,
https://cdn.entero.ru/mp@2x/7f/82/7f82d6c2d1b7fe4897a61a0377102d14.jpg,Вспениватель молока Airhot MF-240,Вспениватель молока Airhot MF-240,3351,RUB,Да,Airhot,Кофеварки и кофемашины,Вспениватели и дозаторы молока,https://entero.ru/item/220543,"<p>Вспениватель молока <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/220543"">AIRHOT MF-240</a> </b>используется в частных домах и квартирах для приготовления молочной пены для кофейных напитков и горячего шоколада. </p>

<p><b>Особенности:</b></p>

<ul>
<li>Режимы:
<ul>
<li>холодная пена</li>
<li>горячая пена</li>
</ul>
</li>
<li>Съемный блок питания</li>
<li>Автоматическое отключение</li>
<li>Нескользящие силиконовые ножки</li>
</ul>

<p><b>Дополнительные характеристики: </b></p>

<ul>
<li>Объем:
<ul>
<li>подогрева молока: до 240 мл</li>
<li>взбивания молока: до 115 мл </li>
</ul>
</li>
<li>Температура подогрева: до 65 °C</li>
<li>Габариты упаковки: 155x125x190 мм</li>
</ul>",220543,настольный,220 В,0.5 кВт,150 мм,108 мм,185 мм,,Китай,,,0,https://entero.ru/manuals/410084/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Airhot%20MF-240.pdf,,,1 кг,,,,,,Да,,
https://cdn.entero.ru/mp@2x/7c/dd/7cdd85606148f05ce1ce34364b70baac.jpg;https://cdn.entero.ru/mp@2x/a5/32/a5324e13e39e1bd269125bd13f14e8d3.jpg;https://cdn.entero.ru/mp@2x/59/2d/592d17e8bbbd98cf4b88daf2e9411ba5.jpg;https://cdn.entero.ru/mp@2x/4d/fe/4dfe7a827064d2c33af439c1d73f20f3.jpg;https://cdn.entero.ru/mp@2x/31/d1/31d1738991ae04f4725e9b3ed9734915.jpg;https://cdn.entero.ru/mp@2x/07/5f/075f7558128bf349215641f2a265058c.jpg,Пеновзбиватель Profi Cook PC-MS 1032,Пеновзбиватель Profi Cook PC-MS 1032,10203,RUB,Да,,Кофеварки и кофемашины,Вспениватели и дозаторы молока,https://entero.ru/item/169951,"<p>Пеновзбиватель <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/169951"">Profi Cook PC-MS 1032</a> </b>используется в частных домах и квартирах, отелях и офисах для подогрева и вспенивания молока и шоколада. Модель оснащена подставкой с 3 функциональными кнопками с подсветкой, съемной емкостью для вспенивания, 2 насадками для взбивания и перемешивания и прозрачной крышкой с защитой от брызг. Корпус и емкость выполнены из нержавеющей стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>6 режимов:
<ul>
<li>Пена холодная</li>
<li>Пена теплая</li>
<li>Пена горячая</li>
<li>Перемешивание холодное</li>
<li>Перемешивание теплое</li>
<li>Перемешивание горячее</li>
</ul>
</li>
<li>3 функциональные кнопки:
<ul>
<li>Вспенивание холодного молока</li>
<li>Вспенивание горячего молока</li>
<li>Подогрев молока</li>
</ul>
</li>
<li>Скрытый нагревательный элемент</li>
<li>Вращение на подставке на 360°</li>
<li>Автоматическое отключение </li>
<li>Емкость и крышку можно мыть в посудомоечной машине</li>
<li>Защита от перегрева</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Объем емкости: 500 мл</li>
</ul>",169951,настольный,220 В,0.6 кВт,170 мм,150 мм,130 мм,,,,,0,https://entero.ru/manuals/195849/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Profi%20Cook%20PC-MS%201032.pdf,11090,,1.08 кг,,,,,,Да,,
https://cdn.entero.ru/mp@2x/b2/b4/b2b41519488359dd9a86e40fe94b29f1.jpg;https://cdn.entero.ru/mp@2x/7d/a5/7da50332af7c587112daf1428389dff9.jpg,Дозатор молока автоматический встраиваемый EasySystem EasyMilk с радиомодулем и ринзером для 2 видов жидкости,Дозатор молока автоматический встраиваемый EasySystem EasyMilk с радиомодулем и ринзером для 2 видов жидкости,126685,RUB,Да,,Кофеварки и кофемашины,Вспениватели и дозаторы молока,https://entero.ru/item/283961,"<p>Автоматический дозатор молока <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/283961""><b class=""b"">EasySystem EasyMilk </b></a>предназначен для точного дозирования молока и других пищевых жидкостей для приготовления напитков на предприятиях общественного питания и торговли, позволяет увеличить скорость обслуживания и оптимизировать расход продуктов. Модель оснащена радиомодулем, счетчиком напитков и ринзером. </p>

<p><b>Особенности:</b></p>

<ul>
<li>Автоматическая подача 2 разных видов жидкости</li>
<li>Встраиваемый ринзер - омыватель бокалов </li>
<li> 4 вида дозировки</li>
<li>Требуется подключение к водопроводу</li>
<li>Промывка системы осуществляется 1 раз в 8 часов </li>
</ul>

<p><strong>Дополнительные характеристики:</strong></p>

<ul>
<li>Погрешность дозировки: 1 мл</li>
<li>Длина шланга: 2 м</li>
<li>Габариты в упаковке: 335x415x355 мм </li>
</ul>",283961,встраиваемый,220 В,0.1 кВт,310 мм,415 мм,350 мм,,Россия,,,0,https://entero.ru/manuals/348861/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20EasySystem%20EasyMilk.pdf,,,7.5 кг,Россия,180 л/час,,,Да,,Да,Да
https://cdn.entero.ru/mp@2x/3d/49/3d495a0bd421c5384d661c04d1f8e9eb.jpg;https://cdn.entero.ru/mp@2x/b1/36/b136a55027ec3d742943f237bf8d1a68.jpg,Пеновзбиватель CASO Fomini Crema,Пеновзбиватель CASO Fomini Crema,6382,RUB,Да,CASO,Кофеварки и кофемашины,Вспениватели и дозаторы молока,https://entero.ru/item/129889,"<p>Пеновзбиватель <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/129889"">CASO Fomini Crema</a> </b>используется в кофейнях, барах, ресторанах и в домашних условиях для получения холодной и горячей кремообразной молочной пены для приготовления латте маккиато, горячего шоколада, капучино и фрапе. Модель оснащена двумя венчиками для взбивания и нагрева, теплоизоляционной вставкой на корпусе и прозрачной крышкой. Корпус выполнен из черного пластика и нержавеющей стали, внутренняя поверхность имеет антипригарное покрытие.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Вращение на подставке на 360°</li>
<li>Автоматическое отключение </li>
<li>Легкая очистка</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Емкость:
<ul>
<li>Вспенивание: от 60 до 100 мл</li>
<li>Нагрев: от 60 до 200 мл</li>
</ul>
</li>
</ul>",129889,настольный,220 В,0.4 кВт,85 мм,85 мм,180 мм,,Китай,,,0,https://entero.ru/manuals/144263/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20CASO%20Fomini%20Crema.pdf,7978,,0.5 кг,Германия,,,,,Да,,
https://cdn.entero.ru/mp@2x/d2/b2/d2b2f210f255cc8e785f8dc749181477.jpg;https://cdn.entero.ru/mp@2x/42/1f/421f35c9d3589569818cc515e768eef3.jpg;https://cdn.entero.ru/mp@2x/c3/26/c3265edbb83fba5a9383c20264bc9083.jpg;https://cdn.entero.ru/mp@2x/d2/56/d256dffb1c5856c7f4992c8235a3f340.jpg;https://cdn.entero.ru/mp@2x/34/38/34381f60903043e4e3c9c55fea21e73c.jpg;https://cdn.entero.ru/mp@2x/62/c8/62c8639269aa7aaf4a629bb1ae3236d8.jpg,Вспениватель молока SMEG MFF11WHEU,Вспениватель молока SMEG MFF11WHEU,27590,RUB,Да,SMEG,Кофеварки и кофемашины,Вспениватели и дозаторы молока,https://entero.ru/item/251818,"<p>Вспениватель молока <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/251818"">Smeg MFF11WHEU</a> </b>используется в частных домах и квартирах для приготовления молочной пены для кофейных напитков и горячего шоколада. Модель выполнена в стиле 50-х годов. Корпус и кувшин изготовлены из нержавеющей стали, крышка - из тритана, ручка - из пластика.</p>

<p><b>Комплектация:</b></p>

<ul>
<li>Зубчатый диск для взбивания молока и шоколада</li>
<li>Гладкий диск для функции подогревания молока</li>
<li>Съемный кувшин с крышкой</li>
</ul>

<p><b>Режимы: </b></p>

<ul>
<li>Горячий шоколад</li>
<li>Горячее молоко</li>
<li>Горячее молоко с легкой пеной</li>
<li>Горячее молоко с густой пеной</li>
<li>Холодное молоко с легкой пеной</li>
<li>Холодное молоко с густой пеной</li>
<li>Ручной режим</li>
</ul>

<p><b>Особенности:</b></p>

<ul>
<li>Индукционная система нагрева</li>
<li>Круглая ручка переключения программ</li>
<li>Нескользящие ножки</li>
</ul>

<p><b>Дополнительные характеристики: </b></p>

<ul>
<li>Максимальный объем при нагреве молока и шоколада: 600 мл</li>
<li>Габариты в упаковке: 233х233х337 мм</li>
<li>Цвет: белый</li>
</ul>",251818,настольный,220 В,0.5 кВт,184 мм,142 мм,251 мм,3 кг,Италия,1,233x233x337 мм,0,,29989,https://vk.com/video_ext.php?oid=-177656185&id=456240386&hd=2&autoplay=0,1.78 кг,,,,,,Да,,
https://cdn.entero.ru/mp@2x/32/31/323171d5f4b147ca4ac4095ef97fe404.jpg;https://cdn.entero.ru/mp@2x/b4/fa/b4fa326acb8c0bc3d6e277e0aef36e10.jpg;https://cdn.entero.ru/mp@2x/f4/58/f45824550c085f941906d55b9b9d57f8.jpg;https://cdn.entero.ru/mp@2x/d7/c8/d7c8d768619478c05eb916a855b3f76b.jpg;https://cdn.entero.ru/mp@2x/da/c9/dac9c18d60d931e99a3a7fa3895da68b.jpg;https://cdn.entero.ru/mp@2x/34/c5/34c5322eb9da24101022d246c8719548.jpg,Вспениватель молока SMEG MFF11PGEU пастельный зеленый,MFF11PGEU,27590,RUB,Да,SMEG,Кофеварки и кофемашины,Вспениватели и дозаторы молока,https://entero.ru/item/305963,"<p>Вспениватель молока <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/305963""><b class=""b"">SMEG MFF11PGEU</b></a> используется в домашних условиях для приготовления молочной пены для кофейных напитков и горячего шоколада. Модель оснащена кабелем питания с вилкой (Shuko) и электромеханическим управлением. Корпус обтекаемой формы выполнен из нержавеющей стали с глянцевым покрытием пастельного зеленого оттенка и накладными объемными серебристыми литерами логотипа, кувшин – из нержавеющей стали с сатинированной внутренней поверхностью и полированной внешней, крышки – из высокопрочного полимера Tritan Renew без содержания вредных компонентов, манжета и основание – из пластика с поверхностью цвета хром, диски – из серого пластика, изоляция кабеля серого цвета.</p>

<p><b>Комплектация:</b></p>

<ul>
<li>Кувшин с Г-образной рукояткой и интегрированным в кромку изливом</li>
<li>Фиксирующая крышка с отверстием для добавления ингридиентов</li>
<li>Мерная крышка с 2 секциями</li>
<li>Гладкий диск для горячего молока и ручных функций</li>
<li>Зубчатый диск для вспенивания и ручных функций</li>
</ul>

<p><b>Особенности:</b></p>

<ul>
<li>Режимы:
<ul>
<li>Предустановленные:
<ul>
<li>Горячий шоколад</li>
<li>Горячее молоко</li>
<li>Холодное молоко</li>
<li>Горячее молоко с плотной пеной</li>
<li>Холодное молоко с легкой пеной</li>
<li>Холодное молоко с плотной пеной</li>
</ul>
</li>
<li>Ручная регулировка</li>
</ul>
</li>
<li>Индукционная система нагрева</li>
<li>Выбор режимов с помощью вращения переключателя и интуитивно понятного символьного меню</li>
<li>Запуск и остановка путем нажатия на переключатель</li>
<li>Интегрированнное в переключатель светодиодное кольцо индикации активации и завершения цикла</li>
<li>Звуковая сигнализация для оповещения о завершении цикла</li>
<li>Прозрачная крышка для визуального контроля процесса</li>
<li>Отметки минимального и максимальных уровней для подогрева и взбивания на внутренней стенке кувшина</li>
<li>Возможность мойки кувшина в посудомоечной машине</li>
<li>Устойчивые нескользящие опоры</li>
<li>Эргономичный винтажный дизайн в стиле 50-х годов</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Максимальная загрузка:
<ul>
<li>Подогрев молока и шоколада: 0,6 л</li>
<li>Вспенивание молока: 0,25 л</li>
</ul>
</li>
<li>Длина кабеля питания: 1000 мм</li>
</ul>",305963,настольный,220 В,0.5 кВт,184 мм,142 мм,251 мм,3 кг,Италия,1,233x233x337 мм,0,https://entero.ru/manuals/369252/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20SMEG%20MFF11PGEU.pdf;https://entero.ru/manuals/369253/%D0%A1%D0%BF%D0%B5%D1%86%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20SMEG%20MFF11PGEU.pdf,,,1.78 кг,Италия,,,,,Да,,
https://cdn.entero.ru/mp@2x/af/0b/af0b7fa1d64b9d156c03c72e715b3f97.jpg,Вспениватель Fackelmann FM 42568,Вспениватель Fackelmann FM 42568,743,RUB,Да,,Кофеварки и кофемашины,Вспениватели и дозаторы молока,https://entero.ru/item/264237,"<p>Вспениватель сливок <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/264237""><b class=""b"">Fackelmann FM 42568</b></a> предназначен для получения молочной или пены из сливок и последующего приготовления капуччино, латте и других различных напитков на ее основе, а также для взбалтывания яиц и ингридиентов для соусов. Прибор работает от 2 батарей типа AA. Модель оснащена рукояткой с выключателем из пластика серебристого цвета и венчиком из нержавеющей стали. </p>

<p>Батареи в комплект поставки не входят и приобретаются отдельно.</p>",264237,ручной,,,,,200 мм,,Германия,,,0,,991,,0.07 кг,Германия,,,,,Да,,
