Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Ширина,Глубина,Высота,Вес,Страна производства,Количество мест,Размеры,Остаток,Файлы,Старая цена,Видео,Вес (без упаковки),Назначение,Вес (с упаковкой),Линия 700,Линия 900,Оснащение,Формат,Тип гастроемкости,Материал каркаса,Тип подставки,Количество рядов направляющих,Количество уровней направляющих,Направляющие под посудомоечные кассеты 500x500 мм,Тип посудомоечных кассет
https://cdn.entero.ru/mp@2x/f4/4c/f44c20d32489269127a8d9a3a1960f92.jpg,Подставка Abat ПК-10М (нерж. сталь),11000002329,28900,RUB,Да,Abat,Профоборудование,Нейтральное,Подставки и подтоварники,https://entero.ru/item/19745,"<p>Подставка <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/19745""><b class=""b"">Abat ПК-10М</b></a> используется совместно с пароконвектоматами <a href=""https://entero.ru/item/77854"">ПКА 10-1/1ВМ2</a>, <a href=""https://entero.ru/item/19743"">ПКА 10-1/1ВМ</a>, ПКА 10-1/1ПМ и <a href=""https://entero.ru/item/73792"">ПКА 10-1/1ПП2</a> на предприятиях общественного питания и торговли. Модель оснащена регулируемыми по высоте ножками.</p>

<p>Конструкция разборная, выполнена из нержавеющей стали.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Допустимая нагрузка: 200 кг</li>
<li>Вместимость гастроемкостей: 10х GN 1/1 (530х325 мм)</li>
</ul>",19745,840 мм,700 мм,670 мм,,Россия,,,41,https://entero.ru/manuals/105642/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Abat%20%D0%9F%D0%9A-10%D0%9C.pdf;https://entero.ru/manuals/105641/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20Abat%20%D0%9F%D0%9A-10%D0%9C.doc;https://entero.ru/manuals/510826/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,31075,,27 кг,под пароконвектомат,,,,,подставка,,нерж. сталь,открытый,2,5,,
https://cdn.entero.ru/mp@2x/0b/39/0b39eef3dadd6af1940c2fb72f50f574.jpg,Подставка Abat ПК-6М,110000002326 11000002326,26200,RUB,Да,Abat,Профоборудование,Нейтральное,Подставки и подтоварники,https://entero.ru/item/19744,"<p>Подставка <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/19744"">Abat ПК-6М</a></b> используется совместно с пароконвектоматами <a href=""https://entero.ru/item/77838"">ПКА 6-1/1ВМ2</a>, <a href=""https://entero.ru/item/77838"">ПКА6-1/1ВМ</a>, <a href=""https://entero.ru/item/19740"">ПКА6-1/1ПМ</a> и <a href=""https://entero.ru/item/73786"">ПКА 6-1/1ПП2</a> на предприятиях общественного питания и торговли. Модель оснащена регулируемыми по высоте ножками.</p>

<p>Конструкция разборная, выполнена из нержавеющей стали.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Допустимая нагрузка: 200 кг</li>
<li>Вместимость гастроемкостей: 6х GN 1/1 (530х325 мм)</li>
</ul>",19744,840 мм,700 мм,800 мм,,Россия,,,6,https://entero.ru/manuals/105633/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Abat%20%D0%9F%D0%9A-6%D0%9C.pdf;https://entero.ru/manuals/105632/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20Abat%20%D0%9F%D0%9A-6%D0%9C.doc;https://entero.ru/manuals/510825/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,,26 кг,под пароконвектомат,,,,,подставка,,нерж. сталь,открытый,1,6,,
https://cdn.entero.ru/mp@2x/68/d6/68d60477a9c21b45d4afbdccb2199fe5.jpg,Подставка Abat ПК-10МС,ПК-10 МС / 11000019616,36900,RUB,Да,Abat,Профоборудование,Нейтральное,Подставки и подтоварники,https://entero.ru/item/84268,"<p>Подставка <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/84268"">Abat ПК-10МС</a></b> используется совместно с пароконвектоматами <a href=""https://entero.ru/item/77854"">ПКА 10-1/1ВМ2</a>, <a href=""https://entero.ru/item/19743"">ПКА 10-1/1ВМ</a>, <a href=""https://entero.ru/item/19741"">ПКА 10-1/1ПМ</a> и <a href=""https://entero.ru/item/73792"">ПКА 10-1/1ПП2</a> на предприятиях общественного питания и торговли. Модель оснащена регулируемыми по высоте ножками.</p>

<p>Конструкция сварная, выполнена из нержавеющей стали.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Допустимая нагрузка: 200 кг</li>
<li>Вместимость гастроемкостей: 10х GN 1/1 (530х325 мм)</li>
</ul>",84268,840 мм,700 мм,670 мм,,Россия,,,9,https://entero.ru/manuals/60318/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Abat%20%D0%9F%D0%9A-10%D0%9C%D0%A1.pdf;https://entero.ru/manuals/60319/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20Abat%20%D0%9F%D0%9A-10%D0%9C%D0%A1.doc;https://entero.ru/manuals/60320/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf;https://entero.ru/manuals/510824/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,39677,,27 кг,под пароконвектомат,,,,,подставка,GN 1/1,нерж. сталь,открытый,2,5,,
https://cdn.entero.ru/mp@2x/1a/bb/1abbb5dca97400f79010158f2c80c1d4.jpg,Подставка Abat МН-02 (линия 700),11000001144/21000801144,14520,RUB,Да,Abat,Профоборудование,Нейтральное,Подставки и подтоварники,https://entero.ru/item/19042,"<p>Подставка <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/19042""><b class=""b"">Abat МН-02</b></a> предназначена для установки теплового оборудования <a href=""https://entero.ru/search.php?text=abat+%D0%BB%D0%B8%D0%BD%D0%B8%D1%8F+700"">700 серии</a> на предприятиях общественного питания и торговли. Модель оснащена регулируемыми по высоте ножками.</p>

<p>Конструкция выполнена из нержавеющей стали.<br>
<b>Характеристики:</b></p>

<ul>
<li>Вместимость гастроемкостей: 1х GN 1/1 (530х325 мм)</li>
<li>Допустимая нагрузка: 70 кг</li>
<li>Высота от пола до нижней части: 100 мм</li>
<li>
<p>Габариты в упаковке: 710х410х540 мм</p>
</li>
</ul>

<p><b>Совместимость: </b><a href=""https://entero.ru/item/24930"">АКО-40Н</a>; ЭФК040/2Н; <a href=""https://entero.ru/item/24933"">ЭФК40/1Н</a>; ЭВК-40Н; <a href=""https://entero.ru/item/24931"">ЭМК-40Н</a>; <a href=""https://entero.ru/item/19041"">РПК-40</a>; <a href=""https://entero.ru/item/19306"">ЭПК-27Н</a>; <a href=""https://entero.ru/search.php?text=%D0%9A%D0%98%D0%9F-27%D0%9D"">КИП-27Н</a></p>",19042,400 мм,691 мм,540 мм,,Россия,,,19,https://entero.ru/manuals/104015/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Abat%20%D0%9C%D0%9D-02.jpg;https://entero.ru/manuals/104014/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20Abat%20%D0%9C%D0%9D-02.doc;https://entero.ru/manuals/104017/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.jpg;https://entero.ru/manuals/104016/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,,15.7 кг,универсальная,,Да,,,подставка,GN 1/1,нерж. сталь,закрытый,1,,,
https://cdn.entero.ru/mp@2x/31/ec/31ec1de96b6d6b8d5ffeeead643740a7.jpg,Подставка Abat ПФПМ-6-1,21000008468,16280,RUB,Да,Abat,Профоборудование,Нейтральное,Подставки и подтоварники,https://entero.ru/item/47626,"<p>Подставка <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/47626"">Abat ПФПМ-6-1</a></b> используется совместно с фронтальными посудомоечными машинами <a href=""https://entero.ru/item/24838"">МПК-500Ф</a> и <a href=""https://entero.ru/item/47618"">МПК-500Ф-02</a> на предприятиях общественного питания и торговли. Модель оснащена регулируемыми по высоте ножками.</p>

<p>Конструкция выполнена из нержавеющей стали AISI 304.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Допустимая нагрузка:
<ul>
<li>Столешница: 70 кг</li>
<li>Нижняя полка: 12 кг</li>
</ul>
</li>
<li>Высота борта: 10 мм</li>
</ul>",47626,600 мм,600 мм,530 мм,,Россия,,,0,https://entero.ru/manuals/105618/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Abat%20%D0%9F%D0%A4%D0%9F%D0%9C-6-1.pdf;https://entero.ru/manuals/105617/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20Abat%20%D0%9F%D0%A4%D0%9F%D0%9C-6-1.pdf;https://entero.ru/manuals/105619/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf;https://entero.ru/manuals/510884/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,17137,,12 кг,под посудомоечную машину,,,,,подставка,,нерж. сталь,открытый,1,2,,
https://cdn.entero.ru/mp@2x/0a/d2/0ad22231da97134959ae730f7bb99b47.jpg,Подтоварник Abat ПК-40,21000080855,5898,RUB,Да,Abat,Профоборудование,Нейтральное,Подставки и подтоварники,https://entero.ru/item/106003,"<p>Подтоварник<b class=""b""> <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/106003"">Abat ПК-40</a> </b>предназначен для хранения посуды, инвентаря, сухих продуктов и оборудования на предприятиях общественного питания и торговли. Модель оснащена регулируемыми по высоте ножками с резиновыми вставками.</p>

<p>Конструкция сварная, каркас выполнен из квадратной трубы.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Допустимая нагрузка: 55 кг</li>
</ul>",106003,400 мм,400 мм,440 мм,,Россия,,,0,https://entero.ru/manuals/412867/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20Abat%20%D0%9F%D0%9A-40.pdf;https://entero.ru/manuals/510835/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,7466,,9 кг,универсальная,,,,,подтоварник,,окрашенная сталь,открытый,,,,
https://cdn.entero.ru/mp@2x/70/54/70545c50af3780e67b5e3af03f0482e7.jpg,Подставка Abat МН-03 (линия 700) для,21000801162,21754,RUB,Да,Abat,Профоборудование,Нейтральное,Подставки и подтоварники,https://entero.ru/item/19043,"<p>Подставка <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/19043""><b class=""b"">Abat МН-03</b></a> предназначен для установки теплового оборудования 700 серии на предприятиях общественного питания и торговли. Модель оснащена регулируемыми по высоте ножками. Конструкция выполнена из нержавеющей стали.</p>

<p><b>Дополнительные характеристики:</b><br>
</p>

<ul>
<li>Вместимость гастроемкостей: 2х GN 1/1 (530х325 мм)</li>
<li>Допустимая нагрузка: 140 кг</li>
<li>Высота от пола до нижней части: 100 мм</li>
<li>Габариты упаковки: 820x720x460 мм</li>
</ul>

<p><b>Совместимость:</b></p>

<ul>
<li>по 2шт.: <a href=""https://entero.ru/item/24930"">АКО-40Н</a>; ЭФК040/2Н; <a href=""https://entero.ru/item/24933"">ЭФК-40/1Н</a>; ЭВК-40Н; <a href=""https://entero.ru/item/24931"">ЭМК-40Н</a>; <a href=""https://entero.ru/item/19041"">РПК-40</a>; <a href=""https://entero.ru/item/19306"">ЭПК-27Н</a></li>
<li>по 1шт.: <a href=""https://entero.ru/item/127113"">АКО-80Н</a>; <a href=""https://entero.ru/item/24935"">ЭФК-80/2Н</a>; ЭВК-80Н; ЭМК-80Н; <a href=""https://entero.ru/item/19307"">ЭПК-47Н</a></li>
</ul>",19043,800 мм,700 мм,520 мм,,Россия,,,0,https://entero.ru/manuals/104018/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Abat%20%D0%9C%D0%9D-03.jpg;https://entero.ru/manuals/104019/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20Abat%20%D0%9C%D0%9D-03.doc;https://entero.ru/manuals/104020/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,23143,,25.8 кг,"универсальная, под рабочую поверхность, под электрическую плиту, под жарочную поверхность, под фритюрницу",,Да,,,подставка,GN 1/1,нерж. сталь,открытый,,2,,
https://cdn.entero.ru/mp@2x/f1/f5/f1f59b86c0189dfb8f506deae5e62be1.jpg;https://cdn.entero.ru/mp@2x/74/7a/747a4942d112d0d2211faaea01166a15.jpg;https://cdn.entero.ru/mp@2x/46/0a/460ad9f44f8b555afe395daa375d449e.jpg,Подставка Abat МН-04 (серия 700) для КИП-47Н,71000005035,17325,RUB,Да,Abat,Профоборудование,Нейтральное,Подставки и подтоварники,https://entero.ru/item/104898,"<p>Подставка​ <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/104898""><b class=""b"">Abat МН-04 </b></a>предназначена для установки настольной индукционной плиты <a href=""https://entero.ru/item/86942"">КИП-47Н</a> на предприятиях общественного питания и торговли. Модель оснащена регулируемыми по высоте ножками.</p>

<p>Конструкция выполнена из высококачественной нержавеющей стали (за исключением задней стенки).</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Вместимость гастроемкостей: 2х GN 1/1 (530х325 мм)</li>
<li>Допустимая нагрузка: 140 кг</li>
<li>Высота от пола до нижней части модуля: 100 мм</li>
<li>Габариты в упаковке: 700x690x540 мм</li>
<li>Вес: 20,1 кг</li>
</ul>",104898,700 мм,690 мм,450 мм,,Россия,,,6,https://entero.ru/manuals/95059/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Abat%20%D0%9C%D0%9D-04.pdf;https://entero.ru/manuals/413444/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20Abat%20%D0%9C%D0%9D-04.pdf;https://entero.ru/manuals/413445/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,,19.4 кг,под индукционную плиту,,Да,,,подставка,GN 1/1,нерж. сталь,открытый,2,,,
https://cdn.entero.ru/mp@2x/e9/b7/e9b7ab3a5f0611ec376c541c9c642bcd.jpg;https://cdn.entero.ru/mp@2x/fc/46/fc46b6fdea938432df3cca106159cdd2.jpg,Подставка Abat ПК-10-6/4,11000019249,27500,RUB,Да,Abat,Профоборудование,Нейтральное,Подставки и подтоварники,https://entero.ru/item/80070,"<p>Подставка <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/80070"">Abat ПК-10-6/4</a> </b>используется совместно с конвекционными печами <a href=""https://entero.ru/search.php?text=Abat+КЭП-10"">КЭП-10</a> на предприятиях общественного питания и торговли. Модель оснащена регулируемыми по высоте ножками.</p>

<p>Конструкция разборная, выполнена из нержавеющей стали.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Допустимая нагрузка: 200 кг</li>
<li>Вместимость гастроемкостей: 5х 600х400 мм</li>
</ul>",80070,840 мм,700 мм,650 мм,,Россия,,,0,https://entero.ru/manuals/105638/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Abat%20%D0%9F%D0%9A-10-6_4.pdf;https://entero.ru/manuals/414154/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20Abat%20%D0%9F%D0%9A-10-6_4.pdf;https://entero.ru/manuals/510831/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,29255,,27 кг,под конвекционную печь,,,,,подставка,противни 600x400 мм,нерж. сталь,открытый,1,5,,
https://cdn.entero.ru/mp@2x/15/dd/15dd75490e90a46b330ee9367ea7b3ad.jpg;https://cdn.entero.ru/mp@2x/89/6f/896feacb389f1fea2b1acef74f881491.jpg;https://cdn.entero.ru/mp@2x/d9/27/d927930acede8c1298ef14c908fe8a84.jpg;https://cdn.entero.ru/mp@2x/20/4f/204f2259ab159e09a4123f8e3871ede6.jpg;https://cdn.entero.ru/mp@2x/10/70/1070b01ad19f099aeef7522b197aa6b9.jpg;https://cdn.entero.ru/mp@2x/2e/2f/2e2faecadcc539feef834f8ff0056126.jpg;https://cdn.entero.ru/mp@2x/1a/60/1a60bd8474fcd96e9a451377633661c4.jpg;https://cdn.entero.ru/mp@2x/ac/f3/acf3d212e7402a0e74edbfbf9d2cf00b.jpg;https://cdn.entero.ru/mp@2x/61/d3/61d34d1db1ac11728ee1ce6946b9a2aa.jpg;https://cdn.entero.ru/mp@2x/16/58/1658638ffbb33f9b0f6325bcdd791453.jpg,Подставка Restoinox ППКР-1-75/73 под пароконвектомат UNOX XEVC/XV,Подставка Restoinox ППКР-1-75/73 под пароконвектомат UNOX XEVC/XV,20052,RUB,Да,Restoinox,Профоборудование,Нейтральное,Подставки и подтоварники,https://entero.ru/item/151161,"<p>Подставка<a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/151161""><b class=""b""> Restoinox ППКР-1-75/73</b></a> предназначена для размещения пароконвектоматов UNOX XEVC и XV на предприятиях общественного питания и торговли. Модель оснащена регулируемыми по высоте опорами. Разборный каркас выполнен из трубы 40х40 мм нержавеющей стали Aisi 430, направляющие и столешница - из нержавеющей стали Aisi 430.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Толщина стали ножек: 1,2 мм</li>
</ul>

<p><b>Опции (приобретаются отдельно):</b></p>

<ul>
<li>Полка для моющих средств</li>
</ul>

<p><em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",151161,750 мм,730 мм,700 мм,27 кг,Россия,1,760x740x200 мм,0,https://entero.ru/manuals/509279/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,21561,,,под пароконвектомат,,,,,подставка,GN 1/1,нерж. сталь,открытый,1,6,,
