Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Температурный режим,Напряжение,Мощность,Ширина,Глубина,Высота,Вес,Страна производства,Количество мест,Размеры,Остаток,Файлы,Старая цена,Видео,Вес (без упаковки),Цвет,Обьем
https://cdn.entero.ru/mp@2x/21/d3/21d3694d57f1271065e7bd1fe30dec92.jpg;https://cdn.entero.ru/mp@2x/e2/2f/e22f04ad8ec3b8147a9484deaaaaaf1f.jpg,Аппарат для горячего шоколада Airhot CHOCO-10,Аппарат для горячего шоколада Airhot CHOCO-10,24846,RUB,Да,Airhot,Профоборудование,Для баров,Аппараты для горячего шоколада,https://entero.ru/item/58777,"<p>Аппарат для горячего шоколада <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/58777"">Airhot CHOCO-10</a></b> используется на предприятиях общественного питания и торговли для нагрева и розлива горячего шоколада, какао, глинтвейна и других горячих напитков. Модель оснащена LED-дисплеем с индексацией температуры и каплесборником. Основание выполнено из нержавеющей стали, съемная ёмкость - из высокопрочного пищевого поликарбоната.</p>

<p>Чтобы не допустить загустения напитка и образования комочков, напиток постоянно перемешивается. Напиток в горячем виде можно хранить не более суток.</p>",58777,от 30 до 90 °C,220 В,0.5 кВт,400 мм,320 мм,570 мм,,Китай,,,0,https://entero.ru/manuals/96061/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Airhot%20CHOCO-10.pdf;https://entero.ru/manuals/96059/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Airhot%20CHOCO-10.pdf;https://entero.ru/manuals/481823/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,26154,,10 кг,,10 л
https://cdn.entero.ru/mp@2x/8c/87/8c87cb34f1b2556549ba7dd2eec11471.jpg,Аппарат для горячего шоколада UGOLINI DELICE BLACK 3л,DELICE 3LT BLACK,57115,RUB,Да,UGOLINI,Профоборудование,Для баров,Аппараты для горячего шоколада,https://entero.ru/item/36656,"<p>Аппарат <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/36656""><b class=""b"">UGOLINI DELICE 3LT BLACK</b></a> предназначен для приготовления горячего шоколада. Терморегулятор позволяет настраивать температуру напитка в зависимости от предпочтений. Чаша прибора выполнена из противоударного поликарбоната.</p>


<p><b>Внимание!</b> Перед выключением аппарата необходимо установить термостат на 0 ºС, чтобы смеситель продолжил вращение. Если при охлаждении шоколад не будет перемешиваться, то он присохнет к еще горячему дну контейнера.</p>",36656,,220 В,1.5 кВт,240 мм,290 мм,410 мм,,Италия,,,43,https://entero.ru/manuals/9944/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20UGOLINI%20DELICE%20BLACK.pdf;https://entero.ru/manuals/87449/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20UGOLINI.pdf,60121,,6 кг,,3 л
https://cdn.entero.ru/mp@2x/8c/d5/8cd5fcf5314cb1467755748219a6d0d3.jpg;https://cdn.entero.ru/mp@2x/23/28/23280cf7477d5ceb38551e53bdc41fde.jpg;https://cdn.entero.ru/mp@2x/6e/34/6e34e3169b68f4161b4c2bf78ae8f380.jpg,Аппарат для горячего шоколада Airhot CHOCO-5,Аппарат для горячего шоколада Airhot CHOCO-5,22561,RUB,Да,Airhot,Профоборудование,Для баров,Аппараты для горячего шоколада,https://entero.ru/item/58778,"<p>Аппарат для горячего шоколада <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/58778"">Airhot CHOCO-5</a></b> используется на предприятиях общественного питания и торговли для нагрева и розлива горячего шоколада, какао, глинтвейна и других горячих напитков. Модель оснащена LED-дисплеем с индексацией температуры и каплесборником. Основание выполнено из нержавеющей стали, съемная ёмкость - из высокопрочного пищевого поликарбоната.</p>

<p>Чтобы не допустить загустения напитка и образования комочков, напиток постоянно перемешивается. Напиток в горячем виде можно хранить не более суток.</p>",58778,от 30 до 90 °C,220 В,0.4 кВт,400 мм,320 мм,450 мм,,Китай,,,0,https://entero.ru/manuals/96062/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Airhot%20CHOCO-5.pdf;https://entero.ru/manuals/96060/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Airhot%20CHOCO-5.pdf;https://entero.ru/manuals/481824/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,23501,,8 кг,,5 л
https://cdn.entero.ru/mp@2x/5c/b4/5cb4d6a2368d93a62fd3214e79642246.jpg,Аппарат для горячего шоколада UGOLINI DELICE BLACK 5л,Аппарат для горячего шоколада UGOLINI DELICE BLACK 5л,62873,RUB,Да,UGOLINI,Профоборудование,Для баров,Аппараты для горячего шоколада,https://entero.ru/item/17513,"<p>Аппарат <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/17513""><b class=""b"">UGOLINI DELICE BLACK</b></a> предназначен для приготовления горячего шоколада. Терморегулятор позволяет настраивать температуру напитка в зависимости от предпочтений. Чаша прибора выполнена из противоударного поликарбоната.</p>


<p><b>Внимание!</b> Перед выключением аппарата необходимо установить термостат на 0 ºС, чтобы смеситель продолжил вращение. Если при охлаждении шоколад не будет перемешиваться, то он присохнет к еще горячему дну контейнера.</p>",17513,,220 В,1.5 кВт,240 мм,320 мм,490 мм,,Италия,,,9,https://entero.ru/manuals/5333/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20UGOLINI%20DELICE%20BLACK.pdf;https://entero.ru/manuals/87450/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20UGOLINI.pdf,,,7 кг,,5 л
https://cdn.entero.ru/mp@2x/89/24/892472fef51f4c82f046f169813c1b18.jpg,Аппарат для горячего шоколада Enigma CH-10L,Аппарат для горячего шоколада Enigma CH-10L,21167,RUB,Да,Enigma,Профоборудование,Для баров,Аппараты для горячего шоколада,https://entero.ru/item/343929,"<p>Аппарат для горячего шоколада <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/343929""><b class=""b"">Enigma CH-10L</b></a> используется на предприятиях общественного питания и торговли для нагрева и розлива горячего шоколада, какао, глинтвейна и других горячих напитков. Модель оснащена 1 пластиковой ванной и каплесборником.</p>

<p><b>Дополнительные характеристики: </b></p>

<ul>
<li>Габариты в упаковке: 365х425х635 мм</li>
</ul>",343929,от 50 до 85 °C,220 В,0.55 кВт,410 мм,280 мм,580 мм,,Китай,,,0,https://entero.ru/manuals/417398/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Enigma%202023.pdf;https://entero.ru/manuals/506556/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,22281,,,черный,10 л
https://cdn.entero.ru/mp@2x/39/5b/395b6a319ae2eaed6e5be5e97a2accb0.jpg,Диспенсер для горячих напитков Hurakan HKN-DELICE10,Диспенсер для горячих напитков Hurakan HKN-DELICE10,26246,RUB,Да,Hurakan,Профоборудование,Для баров,Аппараты для горячего шоколада,https://entero.ru/item/136384,"<p>Диспенсер для горячих напитков <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/136384"">Hurakan HKN-DELICE10</a></b> используется на предприятиях общественного питания и торговли для нагрева и розлива горячих напитков, горячего шоколада, какао, глинтвейна. Модель оснащена дисплеем с индексацией температуры и каплесборником. Основание выполнено из нержавеющей стали, съемная чаша - из пищевого поликарбоната.</p>

<p> </p>",136384,,220 В,0.44 кВт,400 мм,320 мм,570 мм,10 кг,Китай,1,420x360x600 мм,0,https://entero.ru/manuals/416914/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Hurakan%20HKN-DELICE10.pdf;https://entero.ru/manuals/416915/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/416916/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Hurakan.pdf;https://entero.ru/manuals/453869/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Hurakan%20HKN-DELICE10.pdf,,,8 кг,коричневый,10 л
https://cdn.entero.ru/mp@2x/31/3c/313c025cd153a7a376a44aade3a38b9f.jpg,Аппарат для горячего шоколада Kocateq DHC02G,Аппарат для горячего шоколада Kocateq DHC02G,34583,RUB,Да,Kocateq,Профоборудование,Для баров,Аппараты для горячего шоколада,https://entero.ru/item/208277,"<p>Аппарат для горячего шоколада <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/208277"">Kocateq DHC02G</a></b> используется на предприятиях общественного питания и торговли для приготовления горячего шоколада и поддержания в горячем виде с одновременным перемешиванием шоколада, молока и других напитков. Модель оснащена аналоговым термостатом для регулировки температуры. Емкость выполнена из поликарбоната.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Контактный равномерный нагрев без водяной бани</li>
<li>2-ходовый кран для розлива густых напитков легко разбирается для очистки</li>
<li>Скребковая мешалка для равномерности температуры напитка и сбалансированности консистенции</li>
<li>Емкость снимается с основания без сливания её содержимого</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Габариты в упаковке: 350х290х560 мм</li>
</ul>",208277,от 0 до 90 °C,220 В,1 кВт,320 мм,260 мм,490 мм,,Ю. Корея,,,0,https://entero.ru/manuals/243743/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Kocateq.pdf,37590,,,золотой,5 л
https://cdn.entero.ru/mp@2x/ee/f3/eef3e9a046f39b6d881e84cc08938505.jpg;https://cdn.entero.ru/mp@2x/4c/7b/4c7bf92533ec71f0911efcdb211843a0.jpg;https://cdn.entero.ru/mp@2x/07/07/0707b2c4c056a42e1bf4ac0552df1675.jpg;https://cdn.entero.ru/mp@2x/a8/4c/a84c7ebd3c017a309e3fc291ee4a2c5f.jpg;https://cdn.entero.ru/mp@2x/96/b6/96b65c926b68e24ad99189d41750f95f.jpg,Диспенсер для горячего шоколада JOHNY AK/15,Диспенсер для горячего шоколада JOHNY AK/15,40087,RUB,Да,JOHNY,Профоборудование,Для баров,Аппараты для горячего шоколада,https://entero.ru/item/267682,"<p>Диспенсер для горячего шоколада​ <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/267682"">JOHNY AK/15</a></b> используется на предприятиях общественного питания и торговли для нагрева и розлива горячих напитков, горячего шоколада, какао, глинтвейна. Модель оснащена защитным термостатом, крышкой-жалюзи и второй съёмной крышкой для основания, которая обеспечивает лучшую вентиляцию. Прозрачная съемная чаша выполнена из пищевого поликорбаната высокой прочности для легкой очистки и хранения шоколада в холодильнике. </p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Перемешивание: 30 об/мин</li>
</ul>",267682,90 °C,220 В,1 кВт,250 мм,335 мм,480 мм,7.21 кг,Греция,1,275x370x540 мм,0,,42646,https://vkvideo.ru/video_ext.php?oid=-177656185&id=456241111&hash=11493e9b57360f21,6 кг,черный,5 л
https://cdn.entero.ru/mp@2x/38/46/38464fabb318c197d98e3e3d4203a5a0.jpg,Аппарат для горячего шоколада Kocateq DHC01G,Аппарат для горячего шоколада Kocateq DHC01G,27583,RUB,Да,Kocateq,Профоборудование,Для баров,Аппараты для горячего шоколада,https://entero.ru/item/208272,"<p>Аппарат для горячего шоколада <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/208272"">Kocateq DHC01G</a></b> используется на предприятиях общественного питания и торговли для приготовления горячего шоколада и поддержания в горячем виде с одновременным перемешиванием шоколада, молока и других напитков. Модель оснащена аналоговым термостатом для регулировки температуры. Емкость выполнена из поликарбоната.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Контактный равномерный нагрев без водяной бани</li>
<li>2-ходовый кран для розлива густых напитков легко разбирается для очистки</li>
<li>Емкость снимается с основания без сливания её содержимого</li>
<li>Скребковая мешалка для равномерности температуры напитка и сбалансированности консистенции</li>
</ul>",208272,от 0 до 90 °C,220 В,1.2 кВт,290 мм,200 мм,400 мм,,Ю. Корея,,,0,https://entero.ru/manuals/243736/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Kocateq.pdf;https://entero.ru/manuals/350076/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Kocateq%20DHC01G.docx;https://entero.ru/manuals/350077/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf,29344,,,золотой,3 л
https://cdn.entero.ru/mp@2x/55/ab/55ab6b9dcfed62dc80d4317617beefdd.jpg,Аппарат для горячего шоколада Enigma CH-5L,Аппарат для горячего шоколада Enigma CH-5L,19179,RUB,Да,Enigma,Профоборудование,Для баров,Аппараты для горячего шоколада,https://entero.ru/item/343930,"<p>Аппарат для горячего шоколада <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/343930""><b class=""b"">Enigma CH-5L</b></a> используется на предприятиях общественного питания и торговли для нагрева и розлива горячего шоколада, какао, глинтвейна и других горячих напитков. Модель оснащена 1 пластиковой ванной и каплесборником.</p>

<p><b>Дополнительные характеристики: </b></p>

<ul>
<li>Габариты в упаковке: 355х420х520 мм</li>
</ul>",343930,от 50 до 85 °C,220 В,0.44 кВт,400 мм,320 мм,500 мм,,Китай,,,0,https://entero.ru/manuals/417399/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Enigma%202023.pdf;https://entero.ru/manuals/506569/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,20188,,,черный,5 л
https://cdn.entero.ru/mp@2x/62/f2/62f27b13e5e6874600fea2c6022e4ca2.jpg,Аппарат для горячего шоколада Vema CI 2080/5,Аппарат для горячего шоколада Vema CI 2080/5,80574,RUB,Да,Vema,Профоборудование,Для баров,Аппараты для горячего шоколада,https://entero.ru/item/182872,"<p>Диспенсер <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/182872"">Vema CI 2080/5</a></b> используется на предприятиях общественного питания и торговли для приготовления всевозможных горячих напитков из молока, вина, шоколада, чаев и поддержания их в горячем виде. Модель оснащена термостатом для регулировки температуры, краном для розлива напитков и электронагревательным элементом, обеспечивающим оптимальную гигиеничность и отсутствие бактерий. Корпус выполнен из поликарбоната, контейнер - из стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Настольная модель</li>
<li>Защита от перепадов напряжения</li>
<li>Съемный контейнер, в котором можно хранить приготовленный напиток в холодильнике</li>
<li>Легкая очистка</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Габариты в упаковке: 280x340x520 мм</li>
<li>Цвет: коричневый</li>
</ul>",182872,от 0 до 90 °C,220 В,1 кВт,260 мм,320 мм,500 мм,,Италия,,,0,https://entero.ru/manuals/212590/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Vema%20CI%202080_5.pdf;https://entero.ru/manuals/212591/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20Vema%20%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.pdf,85717,,12 кг,,5 л
https://cdn.entero.ru/mp@2x/8a/09/8a094064f0418bd214f6eeb6b4bbdb52.jpg;https://cdn.entero.ru/mp@2x/8c/9e/8c9e4a17d7ab1f790ec19374b226b02a.jpg,Аппарат для горячего шоколада CAB ChokoBlaze,Аппарат для горячего шоколада CAB ChokoBlaze,54348,RUB,Да,CAB,Профоборудование,Для баров,Аппараты для горячего шоколада,https://entero.ru/item/326173,"<p>Диспенсер для горячих напитков <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/326173"">CAB ChokoBlaze</a></b> используется на предприятиях общественного питания и торговли приготовления и дозирования горячих напитков, горячего шоколада, какао, глинтвейна. Модель оснащена электромеханической системой управления.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Запатентованная вертикальная система перемешивания позволяет получить более плотный и менее пенистый продукт</li>
<li>Регулировка температуры нагревателя с помощью ручки</li>
<li>Система перемещений без уплотнений и сварной нагреватель для предотвращения проникновения жидкости внутрь машины</li>
<li>Низкое энергопотребление</li>
<li>Простота в использовании и чистке</li>
<li>Современный дизайн</li>
</ul>",326173,,220 В,0.45 кВт,160 мм,360 мм,520 мм,12 кг,Италия,1,192x432x624 мм,0,https://entero.ru/manuals/388232/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20CAB%20ChokoBlaze%20%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.pdf,58439,,10 кг,белый,2 л
https://cdn.entero.ru/mp@2x/bf/f6/bff664c0929a1e89407e3eb0949fe4d7.jpg,Диспенсер для горячих напитков Hurakan HKN-DELICE5,Диспенсер для горячих напитков Hurakan HKN-DELICE5,24105,RUB,Нет,Hurakan,Профоборудование,Для баров,Аппараты для горячего шоколада,https://entero.ru/item/136387,"<p>Диспенсер для горячих напитков <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/136387"">Hurakan HKN-DELICE5</a></b> используется на предприятиях общественного питания и торговли для нагрева и розлива горячих напитков, горячего шоколада, какао, глинтвейна. Модель оснащена дисплеем с индексацией температуры и каплесборником. Основание выполнено из нержавеющей стали, съемная чаша - из пищевого поликарбоната.</p>

<p> </p>",136387,,220 В,0.44 кВт,400 мм,320 мм,470 мм,8 кг,Китай,1,420x360x500 мм,0,https://entero.ru/manuals/416909/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Hurakan%20HKN-DELICE5.pdf;https://entero.ru/manuals/416910/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/416911/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Hurakan.pdf;https://entero.ru/manuals/453868/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Hurakan%20HKN-DELICE5.pdf,,,7 кг,,5 л
