Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Тип,Температурный режим,Напряжение,Мощность,Ширина,Глубина,Высота,Вес,Количество мест,Размеры,Остаток,Файлы,Старая цена,Видео,Вес (без упаковки),Родина бренда,Страна-производитель,Подогрев булочек
https://cdn.entero.ru/mp@2x/23/bb/23bb344a0292741d1be9715bff4a6039.jpg;https://cdn.entero.ru/mp@2x/b5/ac/b5ac61bf222e392ad410d429d84cc5c9.jpg,Аппарат для хот-догов Airhot HDS-03,Аппарат для хот-догов Airhot HDS-03,11639,RUB,Да,Airhot,Профоборудование,Оборудование фаст-фуд,Аппараты для хот-догов / гамбургеров,https://entero.ru/item/54637,"<p>Аппарат для хот-догов <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/54637"">Airhot HDS-03</a></b> используется на предприятиях общественного питания и торговли для приготовления сосисок на пару и поддержания оптимальной температуры уже обжаренных сосисок и булочек. Модель оснащена терморегулятором, ёмкостью для воды (паровой баней) и раздельным нагревом колбы и 3-х штырей для булочек. Корпус и штыри выполнены из нержавеющей стали, колба - из стекла.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Высота штыря: 257 мм</li>
<li>Габариты в упаковке: 550х340х370 мм</li>
</ul>",54637,паровой,от 30 до 110 °С,220 В,0.65 кВт,480 мм,280 мм,410 мм,8 кг,1,550x340x400 мм,0,https://entero.ru/manuals/134964/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Airhot%20HDS-03.pdf;https://entero.ru/manuals/481830/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,12651,,8 кг,Китай,Китай,Да
https://cdn.entero.ru/mp@2x/fa/97/fa97a4f743fdb00b312ff3c0794cf6b0.jpg;https://cdn.entero.ru/mp@2x/9c/54/9c540caccd14b3880379433098ddfaa3.jpg;https://cdn.entero.ru/mp@2x/71/32/713213372c50c7349be226d96e7ade4e.jpg,Аппарат для хот-догов Airhot HDS-04,Аппарат для хот-догов Airhot HDS-04,14079,RUB,Да,Airhot,Профоборудование,Оборудование фаст-фуд,Аппараты для хот-догов / гамбургеров,https://entero.ru/item/105720,"<p>Аппарат для хот-догов <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/105720"">Airhot HDS-04</a></b> используется на предприятиях общественного питания и торговли для приготовления сосисок на пару и поддержания оптимальной температуры уже обжаренных сосисок и булочек. Модель оснащена терморегулятором, ёмкостью для воды (паровой баней) и раздельным нагревом колбы и 4-х штырей для булочек. Корпус и штыри выполнены из нержавеющей стали, колба - из стекла.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Высота штыря: 257 мм</li>
<li>Габариты в упаковке: 550х340х370 мм</li>
</ul>",105720,паровой,от 30 до 110 °С,220 В,0.65 кВт,480 мм,280 мм,410 мм,9 кг,1,550x340x370 мм,0,https://entero.ru/manuals/134965/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Airhot%20HDS-04.pdf;https://entero.ru/manuals/481832/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,14820,,9 кг,Китай,Китай,Да
https://cdn.entero.ru/mp@2x/6d/37/6d37cbfd41c1e5dae76971b70b022bdc.jpg;https://cdn.entero.ru/mp@2x/1c/4b/1c4b5507e4b332d8e21c32fbcef59c74.jpg,Гриль электрический для хот-догов Sikom МК-1.22,Гриль электрический для хот-догов Sikom МК-1.22,50153,RUB,Да,Sikom,Профоборудование,Оборудование фаст-фуд,Аппараты для хот-догов / гамбургеров,https://entero.ru/item/62669,"<p>Гриль <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/62669"">Sikom МК-1.22</a></b> предназначен для приготовления хот-догов в заведениях быстрого питания и уличной торговли. Прибор рекомендуется использовать при температуре окружающей среды от 10 до 35 °С под навесом или в закрытых помещениях, имеющих вентиляцию. Оборудование состоит из двух отделений: верхнее служит для приготовления и разогрева сосисок, нижнее, с выдвижным ящиком, - для подогрева булочек. На панели управления расположены: рукоятка регулятора температуры, клавиши выключателя подсветки и вращения вертела.</p>

<p><b>Комплектация:</b></p>

<ul>
<li>Гриль</li>
<li>Вертел с люльками</li>
<li>Пинцет</li>
<li>Руководство по эксплуатации</li>
<li>Упаковочная коробка</li>
<li>Спицевый вертел (опция)</li>
</ul>

<p><b>Особенности</b>:</p>

<ul>
<li>Инфракрасный нагрев сосисок</li>
<li>Нагрев булочек горячим воздухом от двух ламп накаливания</li>
<li>Совместо с подсветкой включается обогрев булочек</li>
<li>Привод вращения вертела с автоматическим тормозом</li>
<li>Лампа для подсветки верхнего отделения</li>
<li>Дверцы и стенки из закаленного стекла</li>
<li>Корпус из нержавеющей стали</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Количество сосисок: 22</li>
<li>Время приготовления сосисок: от 12 до 18 мин.</li>
</ul>",62669,карусельный,от 10 до 35 °С,220 В,1.4 кВт,375 мм,400 мм,610 мм,20 кг,1,450x480x625 мм,0,https://entero.ru/manuals/30598/%D0%A0%D1%83%D0%BA%D0%BE%D0%B2%D0%BE%D0%B4%D1%81%D1%82%D0%B2%D0%BE%20%D0%BF%D0%BE%20%D1%8D%D0%BA%D1%81%D0%BF%D0%BB%D1%83%D0%B0%D1%82%D0%B0%D1%86%D0%B8%D0%B8%20Sikom%20%D0%9C%D0%9A-1.22.pdf,52243,https://vk.com/video_ext.php?oid=-177656185&id=456240106&hd=2&autoplay=0,19.5 кг,Россия,Россия,Да
https://cdn.entero.ru/mp@2x/30/fc/30fcc2f3a99f1b39f881c27117a98ff3.jpg;https://cdn.entero.ru/mp@2x/45/66/4566584f5b0c657aebc2484273cf29f5.jpg,Гриль для сосисок Sikom МК-1.44М,МК-1.44,56932,RUB,Да,Sikom,Профоборудование,Оборудование фаст-фуд,Аппараты для хот-догов / гамбургеров,https://entero.ru/item/40216,"<p>Компактный карусельный гриль с люлечным вертелом <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/40216"">Sikom МК-1.44М</a></b> предназначен для приготовления хот-догов в заведениях быстрого питания, супермаркетах и уличной торговли. Модель оснащена подогреваемым ящиком для булочек, подсветкой и поддоном. Корпус выполнен из нержавеющей стали, дверца и 2 стенки - из стекла.</p>

<p><b> Особенности:</b></p>

<ul>
<li>Привод вращения вертела с автоматическим тормозом для предотвращения самопроизвольного проворота вертела при загрузке и выгрузке продукции</li>
<li>Съемный вертел с люльками</li>
<li>При включении клавиши подсветки включается и обогрев булочек</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Максимальное время разогрева: 10 мин.</li>
<li>Вместимость камеры для сосисок: 44 шт. </li>
<li>Вместимость 1 люльки: 4 сосиски</li>
<li>Длина люльки: 300 мм</li>
<li>Количество люлек: 11 шт.</li>
<li>Время приготовления сосисок: от 12 до 18 мин.</li>
<li>Габариты в упаковке: 490х590х620 мм</li>
</ul>",40216,карусельный,,220 В,1.4 кВт,520 мм,400 мм,610 мм,24 кг,1,490x590x620 мм,0,https://entero.ru/manuals/11765/%D0%A0%D1%83%D0%BA%D0%BE%D0%B2%D0%BE%D0%B4%D1%81%D1%82%D0%B2%D0%BE%20%D0%BF%D0%BE%20%D1%8D%D0%BA%D1%81%D0%BF%D0%BB%D1%83%D0%B0%D1%82%D0%B0%D1%86%D0%B8%D0%B8%20Sikom%20%D0%9C%D0%9A-1.44.pdf;https://entero.ru/manuals/11764/%D0%93%D0%B8%D0%B3%D0%B8%D0%B5%D0%BD%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B8%D0%B9%20%D1%81%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82.jpg;https://entero.ru/manuals/11763/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.jpg,,https://vk.com/video_ext.php?oid=-177656185&id=456240106&hd=2&autoplay=0,24 кг,Россия,Россия,Да
https://cdn.entero.ru/mp@2x/01/c6/01c627b6d2cf5d212c763e73f78437d9.jpg;https://cdn.entero.ru/mp@2x/9e/12/9e129eed1e59759ee148fa52aa0d3afc.jpg;https://cdn.entero.ru/mp@2x/78/c8/78c839915895c87f672f6fdf1ef83cfa.jpg,Аппарат для приготовления сосисок в яйце Airhot ES-10,Аппарат для приготовления сосисок в яйце Airhot ES-10,11720,RUB,Да,Airhot,Профоборудование,Оборудование фаст-фуд,Аппараты для хот-догов / гамбургеров,https://entero.ru/item/122499,"<p>Аппарат для приготовления сосисок в яйце <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/122499"">Airhot ES-10</a></b> используется на предприятиях общественного питания и торговли. Модель оснащена отдельным переключателем на каждый отсек. Корпус выполнен из нержавеющей стали, отсеки - из чугуна с антипригарным покрытием.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Количество отсеков: 10</li>
<li>Габариты отсека: 180x32 мм</li>
</ul>",122499,,,220 В,1.6 кВт,410 мм,200 мм,230 мм,5 кг,1,470x270x295 мм,0,https://entero.ru/manuals/129332/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Airhot%20ES-10.pdf;https://entero.ru/manuals/481828/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,,5 кг,,Китай,
https://cdn.entero.ru/mp@2x/34/3e/343e82d92e131e03463cb4ee44268582.jpg,Аппарат для приготовления сосисок в яйце Hurakan HKN-GEW10M,Аппарат для приготовления сосисок в яйце Hurakan HKN-GEW10M,11507,RUB,Да,Hurakan,Профоборудование,Оборудование фаст-фуд,Аппараты для хот-догов / гамбургеров,https://entero.ru/item/198103,"<p>Аппарат для приготовления сосисок в яйце <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/198103"">Hurakan HKN-GEW10M</a></b> используется на предприятиях общественного питания и торговли для быстрого запекания сосисок в яйце. Модель оснащена отдельным переключателем на каждый отсек.</p>

<p><b>Комплектация:</b></p>

<ul>
<li>Набор деревянных шпажек (15-20шт)</li>
<li>Шомпол для смазывания отсеков</li>
<li>Ершик для мытья</li>
<li>Ключ для откручивания заглушек на дне аппарата</li>
<li>Кулинарная кисточка для масла</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Вместимость: 10</li>
<li>Габариты в упаковке: 430х270х300 мм</li>
</ul>",198103,,,220 В,1.4 кВт,200 мм,410 мм,230 мм,5.5 кг,1,430x270x300 мм,0,https://entero.ru/manuals/415904/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Hurakan%20HKN-GEW10M.pdf;https://entero.ru/manuals/415906/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Hurakan.pdf;https://entero.ru/manuals/495282/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,https://vkvideo.ru/video_ext.php?oid=-177656185&id=456241330&hash=8ed82e8946a3557c,4.5 кг,,Китай,
https://cdn.entero.ru/mp@2x/13/fe/13fe16304a7dc5dd001f88e7290e09c4.jpg;https://cdn.entero.ru/mp@2x/a0/49/a049dac4ec802ffc1de1f3756e1b4693.jpg;https://cdn.entero.ru/mp@2x/ef/3e/ef3e9c8e636bb3456970d04042c0f95b.jpg,Аппарат для хот-догов Hurakan HKN-Y03,161311,12758,RUB,Да,Hurakan,Профоборудование,Оборудование фаст-фуд,Аппараты для хот-догов / гамбургеров,https://entero.ru/item/91093,"<p>Аппарат для хот-догов <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/91093"">Hurakan HKN-Y03</a></b> используется на предприятиях общественного питания и торговли для отваривания и хранения в горячем виде сосисок и подогрева булочек. Модель оснащена регулятором температуры, раздельным нагревом колбы и штырей, паровой баней и 3 нагреваемыми штырями. Корпус выполнен из нержавеющей стали и крашенного металла, штыри - из нержавеющей стали, колба - из стекла.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Объем: 0,65 л</li>
</ul>",91093,паровой,,220 В,0.6 кВт,540 мм,290 мм,410 мм,9 кг,1,560x375x435 мм,0,https://entero.ru/manuals/415889/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20Hurakan%20HKN-Y03.pdf;https://entero.ru/manuals/415890/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Hurakan%20HKN-Y03.pdf;https://entero.ru/manuals/415891/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Hurakan%20HKN-Y03.pdf;https://entero.ru/manuals/415893/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Hurakan.pdf;https://entero.ru/manuals/495283/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,13290,,9 кг,Китай,Китай,Да
https://cdn.entero.ru/mp@2x/c3/a2/c3a237091c7e627bb78e77d315cd0a24.jpg,Подогреватель для булочек Roller Grill CB 20 B,Подогреватель для булочек Roller Grill CB 20 B,54223,RUB,Да,Roller Grill,Профоборудование,Оборудование фаст-фуд,Аппараты для хот-догов / гамбургеров,https://entero.ru/item/258776,"<p>Подогреватель для булочек <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/258776"">Roller Grill CB 20 B</a></b> используется на предприятиях общественного питания и торговли. Модель оснащена регулировкой мощности и влажности, поддоном для воды и съемным выдвижным ящиком GN 2/3, пригодным для мытья в посудомоечной машине. Корпус выполнен из нержавеющей стали.</p>",258776,,,220 В,0.7 кВт,545 мм,460 мм,220 мм,20.4 кг,1,654x552x264 мм,0,https://entero.ru/manuals/318928/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Roller%20Grill.pdf;https://entero.ru/manuals/417220/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Roller%20Grill%20CB%2020%20B.pdf,,,17 кг,,Франция,Да
https://cdn.entero.ru/mp@2x/d9/61/d9611e7888f4ebffdc45f15af9b98ea9.jpg;https://cdn.entero.ru/mp@2x/92/55/92556b7a38c55993c490ed55e7b73ec9.jpg,Аппарат для хот-догов Airhot HDS-00,Аппарат для хот-догов Airhot HDS-00,10044,RUB,Да,Airhot,Профоборудование,Оборудование фаст-фуд,Аппараты для хот-догов / гамбургеров,https://entero.ru/item/125381,"<p>Аппарат для хот-догов <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/125381"">Airhot HDS-00</a></b> используется на предприятиях общественного питания и торговли для приготовления сосисок на пару. Модель оснащена терморегулятором и ёмкостью для воды (паровой баней). Корпус и штыри выполнены из нержавеющей стали, колба - из стекла.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Габариты в упаковке: 340х340х370 мм</li>
</ul>",125381,паровой,от 30 до 110 °С,220 В,0.45 кВт,260 мм,290 мм,410 мм,6 кг,1,340x340x370 мм,0,https://entero.ru/manuals/134966/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Airhot%20HDS-00.pdf;https://entero.ru/manuals/481829/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,10463,,6 кг,Китай,Китай,
https://cdn.entero.ru/mp@2x/f3/78/f3789419bf4c33ec8972b4fde15c75bb.jpg;https://cdn.entero.ru/mp@2x/2b/2b/2b2b4c0217d6d205e9d8379e05eccb32.jpg,Аппарат для хот-догов Hurakan HKN-Y00,Аппарат для хот-догов Hurakan HKN-Y00,10227,RUB,Да,Hurakan,Профоборудование,Оборудование фаст-фуд,Аппараты для хот-догов / гамбургеров,https://entero.ru/item/91075,"<p>Аппарат для хот-догов <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/91075"">Hurakan HKN-Y00</a></b> используется на предприятиях общественного питания и торговли для отваривания и хранения в горячем виде сосисок. Модель оснащена регулятором температуры и паровой баней. Корпус выполнен из нержавеющей стали и крашенного металла, колба - из стекла.</p>",91075,паровой,,220 В,0.45 кВт,320 мм,290 мм,410 мм,6 кг,1,375x365x435 мм,0,https://entero.ru/manuals/415884/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20Hurakan%20HKN-Y00.pdf;https://entero.ru/manuals/415885/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Hurakan%20HKN-Y00.pdf;https://entero.ru/manuals/415886/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Hurakan%20HKN-Y00.pdf;https://entero.ru/manuals/415888/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Hurakan.pdf;https://entero.ru/manuals/495281/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,10765,,6.6 кг,Китай,Китай,
