Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Напряжение,Мощность,Ширина,Глубина,Высота,Вес,Количество мест,Размеры,Остаток,Файлы,Старая цена,Видео,Вес (без упаковки),Родина бренда,Страна-производитель,Назначение,Производительность по стаканам
https://cdn.entero.ru/mp@2x/b2/74/b274dc31d2e2cca3a3fba665e99a62f4.jpg,Аппарат для сушки и полировки бокалов Hurakan HKN-GP1500,Аппарат для сушки и полировки бокалов Hurakan HKN-GP1500,123036,RUB,Нет,Hurakan,Профоборудование,Посудомоечное,Машины для сушки и полировки посуды,https://entero.ru/item/162704,"<p>Аппарат <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/162704"">Hurakan HKN-GP1500</a></b> используется на предприятиях общественного питания и торговли для сушки и полировки стаканов и бокалов. Модель оснащена 8 сменными щетками из микрофибры. Корпус выполнен из нержавеющей стали.</p>",162704,220 В,2.5 кВт,580 мм,310 мм,510 мм,26 кг,1,670x410x470 мм,0,https://entero.ru/manuals/413117/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Hurakan%20HKN-GP1500.pdf;https://entero.ru/manuals/413118/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Hurakan%20HKN-GP1500.pdf;https://entero.ru/manuals/413120/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Hurakan.pdf,133735,,22.5 кг,Россия,Россия,для бокалов,660 шт./ч
https://cdn.entero.ru/mp@2x/e8/35/e835cb2f634afafcb095e59299e7c966.jpg,Аппарат для сушки и полировки бокалов Tatra TGD 1,Аппарат для сушки и полировки бокалов Tatra TGD 1,123714,RUB,Нет,Tatra,Профоборудование,Посудомоечное,Машины для сушки и полировки посуды,https://entero.ru/item/371684,"<p>Аппарат <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/371684"">Tatra TGD 1</a></b> используется на предприятиях общественного питания и торговли для автоматизированной сушки и полировки стеклянных стаканов и бокалов. Модель оснащена панелью управления с выключателем колыбельного типа, 2 сушильными трубами, 8 сменными кисточками: 6 длинными и 2 короткими. Корпус выполнен из нержавеющей стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Быстрая гигиеничная сушка путем обдува горячим воздухом</li>
<li>Механическая полировка вращающимися кисточками</li>
<li>Устойчивые опоры</li>
<li>Настольная установка</li>
<li>Эргономичный дизайн</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Сменная кисточка <a href=""https://entero.ru/item/371681"">TGD.L длинная</a></li>
<li>Сменная кисточка <a href=""https://entero.ru/item/371680"">TGD.S короткая</a></li>
</ul>",371684,220 В,2.45 кВт,322 мм,582 мм,505 мм,27 кг,1,375x635x570 мм,0,https://entero.ru/manuals/496860/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Tatra%202025.pdf;https://entero.ru/manuals/496865/%D0%9F%D1%80%D0%B5%D0%B7%D0%B5%D0%BD%D1%82%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Tatra.pdf;https://entero.ru/manuals/517383/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Tatra%20TGD%201.pdf;https://entero.ru/manuals/517384/%D0%94%D0%B5%D1%82%D0%B0%D0%BB%D0%B8%D1%80%D0%BE%D0%B2%D0%BA%D0%B0%20%D0%BD%D0%B0%20Tatra%20TGD%201.pdf;https://entero.ru/manuals/526267/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,160667,,,Турция,Турция,для бокалов,от 600 до 720 шт./ч
https://cdn.entero.ru/mp@2x/b6/ce/b6ce430bc3d291cb161043e71675488c.jpg,Аппарат для сушки и полировки бокалов Tatra TGD 2,Аппарат для сушки и полировки бокалов Tatra TGD 2,97918,RUB,Нет,Tatra,Профоборудование,Посудомоечное,Машины для сушки и полировки посуды,https://entero.ru/item/371683,"<p>Аппарат <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/371683"">Tatra TGD 2</a></b> используется на предприятиях общественного питания и торговли для автоматизированной сушки и полировки стеклянных стаканов и бокалов. Модель оснащена панелью управления с выключателем колыбельного типа, 1 сушильной трубой, 5 сменными кисточками: 4 длинными и 1 короткой. Корпус выполнен из нержавеющей стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Быстрая гигиеничная сушка путем обдува горячим воздухом</li>
<li>Механическая полировка вращающимися кисточками</li>
<li>Устойчивые опоры</li>
<li>Настольная установка</li>
<li>Эргономичный дизайн</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Сменная кисточка <a href=""https://entero.ru/item/371681"">TGD.L длинная</a></li>
<li>Сменная кисточка <a href=""https://entero.ru/item/371680"">TGD.S короткая</a></li>
</ul>",371683,220 В,1.33 кВт,322 мм,350 мм,505 мм,20 кг,1,375x400x570 мм,0,https://entero.ru/manuals/496859/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Tatra%202025.pdf;https://entero.ru/manuals/496864/%D0%9F%D1%80%D0%B5%D0%B7%D0%B5%D0%BD%D1%82%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Tatra.pdf;https://entero.ru/manuals/517381/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Tatra%20TGD%202.pdf;https://entero.ru/manuals/517382/%D0%94%D0%B5%D1%82%D0%B0%D0%BB%D0%B8%D1%80%D0%BE%D0%B2%D0%BA%D0%B0%20%D0%BD%D0%B0%20Tatra%20TGD%202.pdf,,,,Турция,Турция,для бокалов,от 300 до 360 шт./ч
https://cdn.entero.ru/mp@2x/7a/b9/7ab95128ded254da327a1f7db002fe2a.jpg,Аппарат для полировки столовых приборов Empero EMP.CKP.01,Аппарат для полировки столовых приборов Empero EMP.CKP.01,170727,RUB,Нет,Empero,Профоборудование,Посудомоечное,Машины для сушки и полировки посуды,https://entero.ru/item/276855,"<p>Полировщик <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/276855"">Empero EMP.CKP.01</a></b> предназначен для качественной сушки и полировки столовых приборов на предприятиях общественного питания. После обработки на поверхности не остается разводов и тусклых пробелов. Модель оснащена верхним загрузочным отсеком и автоматической фронтальной выгрузкой. Корпус выполнен из нержавеющей стали.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Производительность: 3000 шт./час</li>
<li>Вместимость полировочного материала: 3 кг</li>
<li>Мощность ультрафиолетовой лампы: 8 Вт</li>
</ul>",276855,220 В,0.6 кВт,560 мм,590 мм,431 мм,50.4 кг,1,672x708x517 мм,0,https://entero.ru/manuals/341897/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20Empero.pdf,,https://vk.com/video_ext.php?oid=-177656185&id=456239795&hd=2&autoplay=0,42 кг,,Турция,для столовых приборов,
https://cdn.entero.ru/mp@2x/80/f2/80f2f937dc21ac4754201b6177eefbcc.jpg,Аппарат для полировки столовых приборов Tatra TCP 2,Аппарат для полировки столовых приборов Tatra TCP 2,206926,RUB,Нет,Tatra,Профоборудование,Посудомоечное,Машины для сушки и полировки посуды,https://entero.ru/item/371685,"<p>Аппарат <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/371685"">Tatra TCP 2</a></b> используется на предприятиях общественного питания и торговли для автоматизированной полировки и дезинфекции столовых приборов из нержавеющей стали и серебра. Модель оснащена загрузочным отсеком сверху, ультрафиолетовой (УФ) лампой и электронной панелью управления на фронтальной стенке. Корпус выполнен из нержавеющей стали.</p>

<p>В комплект поставки входят кукурузные гранулы для полировки.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Полировка с помощью адсорбирующих гранул растительного происхождения</li>
<li>Эффективная дезинфекция с помощью УФ лампы</li>
<li>Дополнительный обдув вентилятором перед выгрузкой</li>
<li>Колеса для удобства транспортировки</li>
<li>Фронтальная выгрузка</li>
<li>Напольная установка</li>
<li>Эргономичный дизайн</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Мощность УФ лампы: 0,008 кВт</li>
<li>Загрузка гранул: 5 кг</li>
<li>Масса гранул в комплекте: 8 кг</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Гранулы для полировки <a href=""https://entero.ru/item/371682"">TCP 1 кг</a></li>
</ul>",371685,220 В,0.55 кВт,660 мм,650 мм,705 мм,70 кг,1,720x720x880 мм,0,https://entero.ru/manuals/496866/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Tatra%202025.pdf;https://entero.ru/manuals/496869/%D0%9F%D1%80%D0%B5%D0%B7%D0%B5%D0%BD%D1%82%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Tatra.pdf;https://entero.ru/manuals/517374/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Tatra%20TCP%202.pdf;https://entero.ru/manuals/517377/%D0%94%D0%B5%D1%82%D0%B0%D0%BB%D0%B8%D1%80%D0%BE%D0%B2%D0%BA%D0%B0%20%D0%BD%D0%B0%20Tatra%20TCP%202.pdf,,,,Турция,Турция,для столовых приборов,7000 шт./ч
https://cdn.entero.ru/mp@2x/d3/4d/d34dfcfae83bb5eb6ce8492037344429.jpg,Машина для сушки и полировки столовых приборов Sammic SAM-3001,F0000039504,411336,RUB,Нет,,Профоборудование,Посудомоечное,Машины для сушки и полировки посуды,https://entero.ru/item/275731,"<p>Машина <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/275731"">Sammic SAM-3001</a></b> используется на предприятиях общественного питания и торговли для сушки, удаления накипи с поверхности и полировки столовых приборов с помощью сменного гранулированного средства. Модель оснащена ветилятором и ультрафиолетовой лампой для бактерицидной обработки изделий и полировальных гранул. Корпус и рабочий резервуар выполнены из высококачественной нержавеющей стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Автоматический цикл</li>
<li>Закругленная конструкция карусели для предотвращения застревания приборов</li>
<li>Эргономичный дизайн в промышленном исполнении</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Производительность: 3000 шт./ч<b>​</b></li>
<li>Уровень звукового давления на расстоянии 1 м (А):
<ul>
<li>Холостой ход: 70 дБ</li>
<li>С загрузкой: 90 дБ</li>
</ul>
</li>
</ul>",275731,220 В,0.68 кВт,489 мм,652 мм,412 мм,,,,0,https://entero.ru/manuals/340329/%D0%A1%D0%BF%D0%B5%D1%86%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Sammic%20SAM-3001.pdf,,,42.3 кг,Испания,Испания,для столовых приборов,
https://cdn.entero.ru/mp@2x/c2/a5/c2a5becbbc0a5bc31dd77e1699a985dd.jpg;https://cdn.entero.ru/mp@2x/6d/4a/6d4aeb63ceae343c693af4bc2b3089ec.jpg;https://cdn.entero.ru/mp@2x/c6/34/c6349b313867baae8ccbee103dfd76c2.jpg;https://cdn.entero.ru/mp@2x/c4/c3/c4c3a423816d61684d551f60e0f19543.jpg;https://cdn.entero.ru/mp@2x/a5/f9/a5f9cbce63e9dd3108581c67c7a2c3c7.jpg,Полировщик стаканов Frucosol SV2000,Полировщик стаканов Frucosol SV2000,412412,RUB,Нет,Frucosol,Профоборудование,Посудомоечное,Машины для сушки и полировки посуды,https://entero.ru/item/125950,"<p>Полировщик стаканов <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/125950"">Frucosol SV2000</a></b> используется на предприятиях общественного питания и торговли для сушки и полировки стаканов, бокалов и чашек. Машина гарантирует полное отсутствие каких-либо следов воды или извести на поверхности посуды. Изделие полностью выполнено из высококачественной нержавеющей стали, отличающейся прочностью и функциональностью.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Сушка горячим воздухом</li>
<li>Гарантирует идеальную чистоту стаканов, полное отсутствие каких-либо следов воды или извести на их поверхности и профессиональную полировку</li>
<li>Позволяет значительно сократить время сушки посуды</li>
<li>Гибкие впитывающие щетки из натурального волокна подходят для чашек и стаканов разных форм и размеров</li>
<li>Компактные размеры</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Щетка для бокала для шампанского</li>
</ul>",125950,220 В,2.14 кВт,590 мм,320 мм,490 мм,,,,0,https://entero.ru/manuals/136217/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Frucosol%20SV2000.pdf;https://entero.ru/manuals/136216/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BF%D0%BE%D0%BB%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA%D0%BE%D0%B2%20%D1%81%D1%82%D0%B0%D0%BA%D0%B0%D0%BD%D0%BE%D0%B2%20Frucosol.pdf,434118,https://vk.com/video_ext.php?oid=-177656185&id=456240513&hd=2&autoplay=0,26 кг,Испания,,,от 400 до 500 шт./ч
https://cdn.entero.ru/mp@2x/50/c0/50c001d09201e1aa95a2b75e5b371624.jpg,Машина для полировки столовых приборов Besser Vacuum Speedy Plus,Машина для полировки столовых приборов Besser Vacuum Speedy Plus,455345,RUB,Нет,Besser Vacuum,Профоборудование,Посудомоечное,Машины для сушки и полировки посуды,https://entero.ru/item/282859,"<p>Машина <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/282859"">Besser Vacuum Speedy Plus</a></b> используется на предприятиях общественного питания и торговли для сушки, удаления накипи с поверхности и полировки столовых приборов с помощью сменного гранулированного средства. Модель оснащена ультрафиолетовой лампой и фронтальным лотком выгрузки. Корпус и рабочий резервуар выполнены из высококачественной нержавеющей стали.</p>

<p>В комплект поставки входит 3,5 кг гранулята.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Производительность: 3000 шт./ч<b>​</b></li>
<li>Расход гранулята: 2 кг/3 мес</li>
<li>Температурная обработка: 50 °С</li>
</ul>",282859,220 В,0.5 кВт,550 мм,620 мм,520 мм,60 кг,1,700x600x570 мм,0,,489618,,53.5 кг,Италия,,для столовых приборов,
https://cdn.entero.ru/mp@2x/bf/d8/bfd89e6853734a92fb22675b594a526a.jpg,Кисточка короткая для сушки стаканов Empero Y.EMP.BPR.001.1009,Кисточка короткая для сушки стаканов Empero Y.EMP.BPR.001.1009,4056,RUB,Да,Empero,Профоборудование,Посудомоечное,Машины для сушки и полировки посуды,https://entero.ru/item/203554,"<p>Кисточка короткая для сушки стаканов <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/203554""><b class=""b"">Empero Y.EMP.BPR.001.1009 </b></a>предназначена для аппаратов для сушки и полировки бокалов <a href=""https://entero.ru/item/124563"">EMP.BPR.002</a> и <a href=""https://entero.ru/item/124562"">EMP.BPR.001</a></p>",203554,,,,,,,,,0,,,,,,,,
https://cdn.entero.ru/mp@2x/85/07/850743c758db6f85e1b1699af81bf439.jpg,Щетки для аппарата Hurakan HKN-EGW5,Щетки для аппарата Hurakan HKN-EGW5,3984,RUB,Да,Hurakan,Профоборудование,Посудомоечное,Машины для сушки и полировки посуды,https://entero.ru/item/234876,"<p>Щетки для аппарата используются совместно с аппаратом для мойки стаканов <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/234876"">Hurakan HKN-EGW5</a></b> на предприятиях общественного питания, в кафе, барах и ресторанах. </p>

<p>В комплект входят 5 сменных щеток: 1 длинная и 4 коротких.</p>",234876,,,,,,,,,0,,,,,,,,
https://cdn.entero.ru/mp@2x/e0/d3/e0d38811bbe0e8810ae4f0c404aef8ff.jpg,Щетка Hurakan для аппарата HKN-GP1000/1500 длинная,Щетка Hurakan для аппарата HKN-GP1000/1500 длинная,3614,RUB,Нет,Hurakan,Профоборудование,Посудомоечное,Машины для сушки и полировки посуды,https://entero.ru/item/280453,"<p>Сменная щетка <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/280453""><b class=""b"">Hurakan</b></a> используются совместно с аппаратами для полировки бокалов <a href=""https://entero.ru/item/162701"">HKN-GP1000</a> и <a href=""https://entero.ru/item/162704"" target=""_blank"">HKN-GP1500</a>. Изделие выполнено из микрофибры.</p>",280453,,,,,,,,,0,,4819,,,,,,
https://cdn.entero.ru/mp@2x/4f/5c/4f5cf1b385a6e08c9b29a47afcb5bc1b.jpg,Набор щеток для полировщика бокалов Besser Vacuum Speedy Glass,Набор щеток для полировщика бокалов Besser Vacuum Speedy Glass,54564,RUB,Нет,Besser Vacuum,Профоборудование,Посудомоечное,Машины для сушки и полировки посуды,https://entero.ru/item/294182,"<p>Набор щеток <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/294182""><b class=""b"">Besser Vacuum</b></a> используется совместно с полировщиком бокалов <a href=""https://entero.ru/item/117009"" target=""_blank"">Speedy Glass</a> на предприятиях общественного питания и торговли для полировки, дезинфекции и и стерилизации натуральным образом столовых приборов и бокалов. В набор входят 4 боковые щетки и 1 центральная узкая. Аксессуары выполнены из микрофибры.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Отсутствие следов антистатического ворса на стекле</li>
<li>Устранение любых следов моющего средства, известкового налета и разводов</li>
<li>Возможность стирать в стиральной машине с нейтральным моющим средством</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Длина:
<ul>
<li>Центральная щетка: 200 мм</li>
<li>Боковые щетки: 220 мм</li>
</ul>
</li>
<li>Длина ворса: 60 мм</li>
<li>Внешний диаметр трубок: 26,3 мм</li>
<li>Температура стирки в стиральной машине: 30°C</li>
<li>Габариты в упаковке: 300х200х200 мм</li>
<li>Вес: 2 кг</li>
</ul>",294182,,,,,,,,,0,,56838,,,,,,
https://entero.ru/i/nofoto-m.jpg,Гранулы для полировки столовых приборов Tatra TCP 1 кг,Гранулы для полировки столовых приборов Tatra TCP 1 кг,1532,RUB,Нет,Tatra,Профоборудование,Посудомоечное,Машины для сушки и полировки посуды,https://entero.ru/item/371682,"<p>Гранулы <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/371682""><b class=""b"">Tatra TCP</b></a> используются совместно с аппаратом для полировки столовых приборов на предприятиях общественного питания и торговли.</p>

<p><b>Характеристики:</b></p>

<ul>
<li>Масса нетто: 1 кг</li>
<li>Масса брутто: 1 кг</li>
</ul>",371682,,,,,,,,,0,https://entero.ru/manuals/496858/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Tatra%202025.pdf;https://entero.ru/manuals/496863/%D0%9F%D1%80%D0%B5%D0%B7%D0%B5%D0%BD%D1%82%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Tatra.pdf,,,,,,,
https://cdn.entero.ru/mp@2x/af/1c/af1c79c0a5106072655bb598015847b2.jpg,Кисточка для полировки бокалов Tatra TGD.S короткая,Кисточка для полировки бокалов Tatra TGD.S короткая,3880,RUB,Нет,Tatra,Профоборудование,Посудомоечное,Машины для сушки и полировки посуды,https://entero.ru/item/371680,"<p>Съемная короткая кисточка <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/371680""><b class=""b"">Tatra TGD.S</b></a> используется совместно с аппаратами TGD для сушки и полировки бокалов на предприятиях общественного питания и торговли. Возможна ручная стирка с мягким моющим средством.</p>",371680,,,,,,,,,0,https://entero.ru/manuals/496856/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Tatra%202025.pdf;https://entero.ru/manuals/496861/%D0%9F%D1%80%D0%B5%D0%B7%D0%B5%D0%BD%D1%82%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Tatra.pdf;https://entero.ru/manuals/526269/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,,,,,,
https://cdn.entero.ru/mp@2x/68/f3/68f3b93ddc67893955778337a2bc1ddf.jpg,Кисточка для полировки бокалов Tatra TGD.L длинная,Кисточка для полировки бокалов Tatra TGD.L длинная,4639,RUB,Нет,Tatra,Профоборудование,Посудомоечное,Машины для сушки и полировки посуды,https://entero.ru/item/371681,"<p>Съемная длинная кисточка <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/371681""><b class=""b"">Tatra TGD.L</b></a> используется совместно с аппаратами TGD для сушки и полировки бокалов на предприятиях общественного питания и торговли. Возможна ручная стирка с мягким моющим средством.</p>",371681,,,,,,,,,0,https://entero.ru/manuals/496857/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Tatra%202025.pdf;https://entero.ru/manuals/496862/%D0%9F%D1%80%D0%B5%D0%B7%D0%B5%D0%BD%D1%82%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Tatra.pdf;https://entero.ru/manuals/526268/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,,,,,,
https://cdn.entero.ru/mp@2x/a9/44/a944097203201c597d7f9e7e26aa971a.jpg,Щетка Hurakan для аппарата HKN-GP1000/1500 короткая,Щетка Hurakan для аппарата HKN-GP1000/1500 короткая,3520,RUB,Нет,Hurakan,Профоборудование,Посудомоечное,Машины для сушки и полировки посуды,https://entero.ru/item/280452,"<p>Сменная щетка <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/280452""><b class=""b"">Hurakan</b></a> используются совместно с аппаратами для полировки бокалов <a href=""https://entero.ru/item/162701"">HKN-GP1000</a> и <a href=""https://entero.ru/item/162704"" target=""_blank"">HKN-GP1500</a>. Изделие выполнено из микрофибры.</p>",280452,,,,,,,,,0,,,,,,,,
https://entero.ru/i/nofoto-m.jpg,Материал полировочный Empero для EMP.CKP.01,Материал полировочный Empero для EMP.CKP.01,1350,RUB,Нет,Empero,Профоборудование,Посудомоечное,Машины для сушки и полировки посуды,https://entero.ru/item/353427,"<p>Полировочный материал используется совместно с <a href=""https://entero.ru/item/276855""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/353427""><b class=""b"">Empero EMP.CKP.01</b></a></a> на предприятиях общественного питания.</p>

<p><b>Характеристики:</b></p>

<ul>
<li>Вес: 1 кг</li>
</ul>",353427,,,,,,,,,0,https://entero.ru/manuals/443619/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20Empero.pdf,1607,,,,,,
