Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Напряжение,Мощность,Ширина,Глубина,Высота,Вес,Страна производства,Количество мест,Размеры,Остаток,Файлы,Старая цена,Видео,Вес (без упаковки),Вес (с упаковкой),Тип управления,Материал корпуса,Диаметр ножа,Толщина нарезки,Материал ножа
https://cdn.entero.ru/mp@2x/9b/69/9b696cf9a0506750da74d343b9a27aeb.jpg,Слайсер BECKERS ES 250,Слайсер BECKERS ES 250,36537,RUB,Да,BECKERS,Профоборудование,Электромеханическое,Слайсеры,https://entero.ru/item/19892,"<p>Слайсер <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/19892"">BECKERS ES 250</a></b> предназначен для нарезки мяса, сыра, колбасных изделий и других продуктов питания на ровные и равные ломтики на предприятиях общественного питания и торговли. Модель оснащена встроенным затачивающимся устройством, благодаря чему персонал предприятия легко может поддерживать должный уровень остроты ножа. Ручка каретки выполнена из пластика.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Двигатель с естественной системой вентиляции</li>
<li>Термический блокиратор, автоматически останавливающий машину в случае перегрева двигателя</li>
<li>Рукозащитный щиток</li>
<li>Лезвие с двухсторонней заточкой</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Размер реза: 230x185 мм</li>
<li>Ход каретки: 255 мм</li>
<li>Габариты в упаковке: 480х530х390 мм</li>
</ul>

<p><em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",19892,220 В,0.14 кВт,480 мм,363 мм,375 мм,16 кг,Италия,1,530x480x390 мм,6,https://entero.ru/manuals/492674/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20BECKERS%20ES%20250.pdf,,,14 кг,,полуавтоматический,"анодированный алюминий, полированный алюминий",250 мм,от 0 до 15 мм,хромированная сталь
https://cdn.entero.ru/mp@2x/27/7f/277fe547622ba9749c1bfe13a2d5eab3.jpg,Слайсер Hurakan HKN-HM250,Слайсер Hurakan HKN-HM250,27222,RUB,Да,Hurakan,Профоборудование,Электромеханическое,Слайсеры,https://entero.ru/item/46421,"<p>Слайсер <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/46421"">Hurakan HKN-HM250</a></b> используется для тонкой нарезки твердых сыров, овощей, фруктов и других видов продуктов на предприятиях общественного питания и торговли. Модель оснащена встроенным затачивающим устройством.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Максимальная длительность рабочего цикла: 10 мин.</li>
</ul>

<p><br>
<em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",46421,220 В,0.15 кВт,470 мм,400 мм,370 мм,17.7 кг,Китай,1,580x480x430 мм,17,https://entero.ru/manuals/413568/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20Hurakan%20HKN-HM250.pdf;https://entero.ru/manuals/413569/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Hurakan%20HKN-HM250.pdf;https://entero.ru/manuals/413570/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Hurakan%20HKN-HM250.pdf;https://entero.ru/manuals/413571/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Hurakan.pdf;https://entero.ru/manuals/469871/%D0%92%D0%B7%D1%80%D1%8B%D0%B2-%D1%81%D1%85%D0%B5%D0%BC%D0%B0%20%D0%BD%D0%B0%20Hurakan%20HKN-HM250.pdf,28960,,15.5 кг,,полуавтоматический,алюминий,250 мм,от 0.2 до 15 мм,
https://cdn.entero.ru/mp@2x/02/be/02be228f90060fa86e03c975aef38715.jpg;https://cdn.entero.ru/mp@2x/77/02/77022f9cf9b7918f5fa881c61100a615.jpg;https://cdn.entero.ru/mp@2x/fe/dc/fedc35e876f643299187c9ffedd15e0c.jpg;https://cdn.entero.ru/mp@2x/d9/f2/d9f2ecd20e8b157b3d2bde7b2f1bfe16.jpg;https://cdn.entero.ru/mp@2x/53/b2/53b23c84c3a9d28755b185e496516ee8.jpg;https://cdn.entero.ru/mp@2x/b8/dd/b8dd69217155117a43d9198a2edd9959.jpg,Слайсер VIATTO VA-MS2218W,Слайсер VIATTO VA-MS2218W,8491,RUB,Да,VIATTO,Профоборудование,Электромеханическое,Слайсеры,https://entero.ru/item/294961,"<p>Слайсер <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/294961"">VIATTO VA-MS2218W</a></b>используется на предприятиях общественного питания и торговли для нарезки мяса, сыра, колбасных изделий и других продуктов питания на ровные и равные ломтики. Модель оснащена съемной кареткой, значительно облегчающей процесс очистки, толкателем из прозрачного пластика и резиновыми ножками, предотвращающими скольжение. Корпус выполнен из алюминия и пластика.</p>",294961,220 В,0.18 кВт,396 мм,225 мм,302 мм,5 кг,Китай,1,438x276x328 мм,156,https://entero.ru/manuals/408176/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20VIATTO%20VA-MS2218W.pdf;https://entero.ru/manuals/357482/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/357483/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/462254/%D0%92%D0%B7%D1%80%D1%8B%D0%B2-%D1%81%D1%85%D0%B5%D0%BC%D0%B0%20VIATTO%20VA-MS2218W.pdf;https://entero.ru/manuals/462588/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,9435,,5.1 кг,,полуавтоматический,алюминий,220 мм,от 0 до 15 мм,сталь
https://cdn.entero.ru/mp@2x/16/e8/16e8aa43e65ccdc21c44771454327ee3.jpg,Слайсер RGV Lusso 25 GS,Lusso-25-GS / 080401-017-003,39047,RUB,Да,RGV,Профоборудование,Электромеханическое,Слайсеры,https://entero.ru/item/19894,"<p>Слайсер <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/19894"">RGV LUSSO 25 GS</a></b> предназначен для использования на предприятиях общественного питания, торговли, а также в производственных цехах, деятельность которых связана с выпуском гастрономических товаров, для нарезки мяса, сыра, колбасных изделий и других продуктов питания на ровные и равные ломтики. Модель оснащена вращающейся рукояткой для точной регулировки толщины нарезки. Корпус выполнен из окрашенного алюминия, лезвие - из закаленной хромированной стали, держатель - из анодированного алюминия, крышка лезвия и лоток - из литого анодированного алюминия.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Профессиональный вентилируемый двигатель</li>
<li>Фиксированное защитное кольцо режущего диска</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Полезный размер резки: 210x165 мм</li>
<li>Длина хода каретки: 255 мм</li>
</ul>",19894,220 В,0.14 кВт,480 мм,363 мм,365 мм,16 кг,Италия,1,550x480x410 мм,0,https://entero.ru/manuals/35483/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20RGV%20LUSSO%2025%20GS.jpg;https://entero.ru/manuals/498042/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20RGV%20Lusso%2025%20GS.pdf;https://entero.ru/manuals/498043/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,,14 кг,,полуавтоматический,крашеный алюминий,250 мм,от 0 до 16 мм,хромированная сталь
https://cdn.entero.ru/mp@2x/43/19/43191794f4cc001c5f5b3007884cbd78.jpg;https://cdn.entero.ru/mp@2x/01/35/0135834a96a8b222f138e74a5ab763c2.jpg;https://cdn.entero.ru/mp@2x/10/36/1036a6a1ae864f4ebf4026d1fedf0ebe.jpg;https://cdn.entero.ru/mp@2x/1b/07/1b07d781d74f3490073733587a28befb.jpg,Слайсер Airhot SL 220,Слайсер Airhot SL 220,23676,RUB,Да,Airhot,Профоборудование,Электромеханическое,Слайсеры,https://entero.ru/item/52206,"<p>Слайсер <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/52206"">Airhot SL 220</a></b> предназначен для нарезки мяса, сыра, колбасных изделий и других продуктов питания на ровные и равные ломтики на предприятиях общественного питания и торговли. Каретка выполнена из нержавеющей стали. Конструкция устройства обеспечивает безопасность и комфорт.</p>

<p>В комплект поставки входит затачивающее устройство.</p>",52206,220 В,0.15 кВт,465 мм,390 мм,365 мм,17 кг,Китай,1,479x404x350 мм,0,https://entero.ru/manuals/96232/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Airhot%20SL%20220.pdf;https://entero.ru/manuals/96231/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Airhot%20SL%20220.pdf,25187,,14 кг,,полуавтоматический,крашеный алюминий,220 мм,от 0.2 до 15 мм,нержавеющая сталь
https://cdn.entero.ru/mp@2x/51/f3/51f302f15298d3cbc4d7855e7c3b430c.jpg;https://cdn.entero.ru/mp@2x/8a/cf/8acf0a5f67ccad29acaea576c89bb4c1.jpg;https://cdn.entero.ru/mp@2x/a6/37/a63741d9eb0b0de1d27461284cecd86c.jpg;https://cdn.entero.ru/mp@2x/2e/28/2e2817fde62cd0bb449960307564517b.jpg,Слайсер Airhot SL 250,Слайсер Airhot SL 250,26841,RUB,Да,Airhot,Профоборудование,Электромеханическое,Слайсеры,https://entero.ru/item/52207,"<p>Слайсер <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/52207"">Airhot SL 250</a> </b>предназначен для нарезки мяса, сыра, колбасных изделий и других продуктов питания на ровные и равные ломтики на предприятиях общественного питания и торговли. Каретка выполнена из нержавеющей стали. Конструкция устройства обеспечивает безопасность и комфорт.</p>

<p>В комплект поставки входит затачивающее устройство.</p>

<p><em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",52207,220 В,0.15 кВт,485 мм,405 мм,365 мм,18 кг,Китай,1,575x465x415 мм,0,https://entero.ru/manuals/96234/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Airhot%20SL%20250.pdf;https://entero.ru/manuals/96233/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Airhot%20SL%20250.pdf,27959,,16 кг,,полуавтоматический,крашеный алюминий,250 мм,от 0.2 до 15 мм,нержавеющая сталь
https://cdn.entero.ru/mp@2x/99/a5/99a50b26d6747e7d923f7202904b323e.jpg;https://cdn.entero.ru/mp@2x/fb/66/fb66bef7795662919fe9467650d90b30.jpg;https://cdn.entero.ru/mp@2x/c8/a9/c8a9385734ba5e35c4a4664253bb00bd.jpg;https://cdn.entero.ru/mp@2x/f5/93/f59388d6af44918d3f22595f51d1277b.jpg;https://cdn.entero.ru/mp@2x/be/54/be547ba472f360da72cf2709b2db0ce1.jpg;https://cdn.entero.ru/mp@2x/eb/92/eb92ae691bcd02a07e8fb581ecf42681.jpg,Слайсер VIATTO HBS-220B,Слайсер VIATTO HBS-220B,23463,RUB,Да,VIATTO,Профоборудование,Электромеханическое,Слайсеры,https://entero.ru/item/92714,"<p>Слайсер <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/92714"">VIATTO HBS-220B</a> </b>предназначен для нарезки тонкими одинаковыми ломтиками приготовленного мяса, колбасных изделий, сыра и овощей на предприятиях общественного питания и торговли. Модель оснащена съемным затачивающим устройством, которое крепится на каретку.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Габариты в упаковке: 436х436х515 мм</li>
</ul>",92714,220 В,0.12 кВт,415 мм,336 мм,336 мм,13.3 кг,Китай,1,436x436x515 мм,0,https://entero.ru/manuals/409660/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20VIATTO%20HBS-220B.pdf;https://entero.ru/manuals/409658/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf;https://entero.ru/manuals/86168/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20VIATTO.pdf;https://entero.ru/manuals/464368/%D0%92%D0%B7%D1%80%D1%8B%D0%B2-%D1%81%D1%85%D0%B5%D0%BC%D0%B0%20%D0%BD%D0%B0%20VIATTO%20HBS-220B.xls,24441,,12.3 кг,,полуавтоматический,алюминиево-магниевый сплав,220 мм,от 0 до 12 мм,нержавеющая сталь
https://cdn.entero.ru/mp@2x/d3/31/d3319c3b4d8d538fe6232143bb2cb3eb.jpg,Слайсер BECKERS ES 220,ES-220,33978,RUB,Да,BECKERS,Профоборудование,Электромеханическое,Слайсеры,https://entero.ru/item/19888,"<p>Слайсер <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/19888"">BECKERS ES 220</a></b> предназначен для нарезки мяса, сыра, колбасных изделий и других продуктов питания на ровные и равные ломтики на предприятиях общественного питания и торговли. Модель оснащена встроенным затачивающимся устройством, благодаря чему персонал предприятия легко может поддерживать должный уровень остроты ножа. Ручка каретки выполнена из пластика.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Двигатель с естественной системой вентиляции</li>
<li>Термический блокиратор, автоматически останавливающий машину в случае перегрева двигателя</li>
<li>Рукозащитный щиток</li>
<li>Лезвие с двухсторонней заточкой</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Размер реза: 230x165 мм</li>
<li>Ход каретки: 255 мм</li>
<li>Габариты в упаковке: 480х530х390 мм</li>
</ul>",19888,220 В,0.14 кВт,448 мм,363 мм,335 мм,15 кг,Италия,1,480x530x390 мм,7,https://entero.ru/manuals/492672/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20BECKERS%20ES%20220.pdf,,,13 кг,,полуавтоматический,"анодированный алюминий, полированный алюминий",220 мм,от 0 до 15 мм,хромированная сталь
https://cdn.entero.ru/mp@2x/b9/84/b98419401e6aee12d4abcbf5c496d92b.jpg;https://cdn.entero.ru/mp@2x/06/03/06037ada8274e65760f296ee0995e6cd.jpg,Слайсер ТОРГМАШ (Барановичи) ЛР-220,н0000102339,32455,RUB,Да,ТОРГМАШ (Барановичи),Профоборудование,Электромеханическое,Слайсеры,https://entero.ru/item/40256,"<p>Слайсер <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/40256""><b class=""b"">БЕЛТОРГМАШ ЛР-220 </b></a>предназначен для нарезки мяса, сыра, колбасных изделий и других продуктов питания на ровные и равные ломтики на предприятиях общественного питания и торговли. Модель оснащена встроенной точилкой для ножа, прижимным устройством, защитным кожухом и литым основанием.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Энергосберегающий мотор с охлаждающим вентилятором</li>
<li>Водостойкий выключатель обеспечивают установленные меры безопасности</li>
<li>Конструкция машины обеспечивает легкое и плавное перемещение подающего лотка</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Частота вращения:
<ul>
<li>Двигатель: 1400 об/мин.</li>
<li>Дисковый нож: 470 об/мин.</li>
</ul>
</li>
<li>Установленная мощность двигателя, не более: 0,13 кВт</li>
</ul>",40256,220 В,0.21 кВт,410 мм,400 мм,370 мм,16.5 кг,Беларусь,1,450x340x418 мм,8,https://entero.ru/manuals/43478/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20%D0%91%D0%95%D0%9B%D0%A2%D0%9E%D0%A0%D0%93%D0%9C%D0%90%D0%A8%20%D0%9B%D0%A0-220.jpg;https://entero.ru/manuals/43474/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.jpg,,,15 кг,,полуавтоматический,,220 мм,от 0 до 13 мм,нержавеющая сталь
https://cdn.entero.ru/mp@2x/91/f3/91f30f4b70fecab2044c418234684ff3.jpg,Слайсер RGV Lusso 22 GS,080401-017-002 / Lusso-22-GS,33077,RUB,Да,RGV,Профоборудование,Электромеханическое,Слайсеры,https://entero.ru/item/19893,"<p>Слайсер <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/19893"">RGV LUSSO 22 GS</a></b> предназначен для использования на предприятиях общественного питания, торговли, а также в производственных цехах, деятельность которых связана с выпуском гастрономических товаров, для нарезки мяса, сыра, колбасных изделий и других продуктов питания на ровные и равные ломтики.</p>

<p>Профессиональный мотор с функцией принудительной вентиляции исключает возможность перегрева оборудования, а также делает его работу практически бесшумной. Слайсер оснащен фиксированным устройством для заточки ножа с двойным наждаком. Поддон для продуктов и перемычка для регулирования толщины среза выполнены из алюминия, отполированного путем анодирования, что обеспечивает их гигиеническую чистоту и защиту от коррозии.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Закаленный хромированный профессиональный нож, гарантирующий высокую эффективность нарезки</li>
<li>Рукоятка управления лезвием установлена на двойной шарикоподшипник, что делает работу слайсера практически бесшумной</li>
<li>Крышка устройства для заточки и кольцо защиты лезвия из ПВХ или анодированного алюминия</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Максимальный размер нарезаемого продукта: 230х160 мм</li>
<li>Длина хода каретки: 255 мм</li>
<li>Размер пластины: 190х210 мм</li>
<li>Размер базы: 415х263 мм</li>
<li>Габариты в упаковке: 530х480х390 мм</li>
<li>Объем в упаковке: 0,1 м<sup>3</sup></li>
</ul>",19893,220 В,0.14 кВт,448 мм,363 мм,335 мм,,Италия,,,18,https://entero.ru/manuals/35482/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20RGV%20LUSSO%2022%20GS.jpg,35188,,13 кг,,полуавтоматический,лакированный алюминий,220 мм,от 0 до 15 мм,хромированная сталь
