Изображения,Название,Артикул,Цена,Валюта,Наличие,Категория,Подкатегория,URL,Описание,Код товара,Ширина,Глубина,Высота,Вес,Количество мест,Размеры,Остаток,Файлы,Вес (без упаковки),Формат,Автор,Издательство,ISBN,Год издания,Количество страниц,Тип обложки,Составитель,Бумага,Печать
https://cdn.entero.ru/mp@2x/d3/64/d3641d2aaab1ea1ba2e570c23aee372e.jpg;https://cdn.entero.ru/mp@2x/18/90/18906fac24a742cc3cbcced5b801f877.jpg;https://cdn.entero.ru/mp@2x/c4/b5/c4b55e613a81cf5e4380b1d6a9f2d8ae.jpg;https://cdn.entero.ru/mp@2x/e5/d8/e5d81e9172521ecf1ea49bb0d91fbb51.jpg;https://cdn.entero.ru/mp@2x/53/64/53641f1d09e768f37a281cc23dcba036.jpg,Андрей Махов. Ресторанные Ведомости Классика современной кухни,Книга Андрей Махов 9785981760624,0,RUB,Нет,Профоборудование,Литература для ресторанного бизнеса,https://entero.ru/item/122462,"<p>Книга <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/122462""><b class=""b"">Классика современной кухни</b></a> предназначена для использования как в сфере ресторанного бизнеса, так и в домашних условиях. В издании представлены рецепты классической русской кухни. Описания необходимых ингредиентов, пошагового приготовления и сервировок дополнены цветными иллюстрациями с приготовленными блюдами.</p>",122462,,,,,,,0,,,60х90/8,Махов А.,Ресторанные ведомости,978-5-98176-062-4,2008,152,Твердый переплет,,,
https://cdn.entero.ru/mp@2x/19/cd/19cdc21804a392e92d6a55d80ee48a7b.jpg,Ресторанные Ведомости CHEFART. Коллекция лучших рецептов. Том 1,Книга 9785981760815,0,RUB,Нет,Профоборудование,Литература для ресторанного бизнеса,https://entero.ru/item/122427,"<p>Книга <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/122427""><b class=""b"">CHEFART. Коллекция лучших рецептов</b></a> предназначена для использования как в сфере ресторанного бизнеса, так и в домашних условиях. В издании представлены интересные и оригинальные рецепты от шеф-поваров и кондитеров разных стран мира. Описания необходимых ингредиентов, пошагового приготовления и сервировок дополнены цветными иллюстрациями с приготовленными блюдами.</p>",122427,,,,,,,0,https://entero.ru/manuals/129387/%D0%9F%D1%80%D0%B5%D0%B4%D0%B2%D0%B0%D1%80%D0%B8%D1%82%D0%B5%D0%BB%D1%8C%D0%BD%D1%8B%D0%B9%20%D0%BF%D1%80%D0%BE%D1%81%D0%BC%D0%BE%D1%82%D1%80.pdf,1.5 кг,60х90/8,,Ресторанные ведомости,978-5-98176-081-5,2020,320,"Суперобложка, Твердый переплет",Федотова И.Ю.,Мелованная,Плоская офсетная
https://cdn.entero.ru/mp@2x/1a/ba/1abab0fb5e3a2b30e3a3f2410e5e187e.jpg;https://cdn.entero.ru/mp@2x/50/2d/502d233b0364a8b9c003409c5f292aff.jpg,"Виолетта Гвоздовская. Ресторанные Ведомости Управление рестораном, который любит прибыль",Книга 9785981761195,0,RUB,Нет,Профоборудование,Литература для ресторанного бизнеса,https://entero.ru/item/122476,"<p>Книга <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/122476""><b class=""b"">Управление рестораном, который любит прибыль</b></a> предназначена для использования в сфере ресторанного бизнеса. В издании представлены рекомендации по работе с автоматизированными системами, управлению выручкой, учету, анализу и корректному бюджетированию, финансовой безопасности и многому другому. Подробные описания дополнены схемами и таблицами для более легкого восприятия и запоминания.</p>",122476,,,,,,,0,https://entero.ru/manuals/129411/%D0%9F%D1%80%D0%B5%D0%B4%D0%B2%D0%B0%D1%80%D0%B8%D1%82%D0%B5%D0%BB%D1%8C%D0%BD%D1%8B%D0%B9%20%D0%BF%D1%80%D0%BE%D1%81%D0%BC%D0%BE%D1%82%D1%80.pdf,0.44 кг,70х100/16,Гвоздовская В.А.,Ресторанные ведомости,978-5-98176-119-5,2015,256,Мягкий переплет,,,
https://cdn.entero.ru/mp@2x/4d/53/4d53f4a167666bae5da73d9d553ccc71.jpg,Ресторанные Ведомости Совершенная выпечка. Кондитеры Москвы,Ресторанные Ведомости Совершенная выпечка. Кондитеры Москвы,0,RUB,Нет,Профоборудование,Литература для ресторанного бизнеса,https://entero.ru/item/258228,"<p>Книга <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/258228""><b class=""b"">Совершенная выпечка. Кондитеры Москвы</b></a> предназначена для использования как в сфере ресторанного бизнеса, так и в домашних условиях. В издании представлены авторские рецепты и технологии приготовления выпечки и кондитерских изделий. 7 известных шефов-кондитеров Москвы делятся своим уникальным опытом, идеями, практическими решениями, лайфхаками - подробно и пошагово показывают рецептуру приготовления десертов, рассказывают об их особенностях, важных нюансах, делятся своим взглядом на современные технологии выпечки, специфику подачи десертов и используемые ингредиенты.</p>",258228,280 мм,210 мм,12 мм,0.836 кг,1,308x231x13 мм,0,https://entero.ru/manuals/318105/%D0%9F%D1%80%D0%B5%D0%B4%D0%B2%D0%B0%D1%80%D0%B8%D1%82%D0%B5%D0%BB%D1%8C%D0%BD%D1%8B%D0%B9%20%D0%BF%D1%80%D0%BE%D1%81%D0%BC%D0%BE%D1%82%D1%80.pdf,0.76 кг,60х90/8,,Ресторанные ведомости,978-5-6044967-5-6,2021,96,Твердый переплет,,,
https://cdn.entero.ru/mp@2x/83/83/838327fa54357abeb405c0076056e44d.jpg;https://cdn.entero.ru/mp@2x/08/2d/082d84328fb5b773bfb7d85028c710a2.jpg,Гвоздовская Виолетта Ресторанные Ведомости Рестораторы России. Опыт будущего. Том 1,Гвоздовская Виолетта Ресторанные Ведомости Рестораторы России. Опыт будущего. Том 1,0,RUB,Нет,Профоборудование,Литература для ресторанного бизнеса,https://entero.ru/item/258227,"<p>Книга <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/258227""><b class=""b"">Рестораторы России. Опыт будущего. Том 1</b></a> предназначена для использования в сфере ресторанного бизнеса. В издании представлен опыт лучших рестораторов в построении концепций, формировании команд, работы с гостями, создания больших компаний и управления ими. Практический учебник, где в каждой главе вы найдете список идей и лайфхаков каждого сильного, яркого, успешного ресторатора, их мнение на основе реального практического опыта по конкретным крайне актуальным вопросам, которые волнуют сейчас всё ресторанное сообщество.</p>",258227,240 мм,230 мм,18 мм,0.572 кг,1,264x253x19 мм,0,https://entero.ru/manuals/318103/%D0%9F%D1%80%D0%B5%D0%B4%D0%B2%D0%B0%D1%80%D0%B8%D1%82%D0%B5%D0%BB%D1%8C%D0%BD%D1%8B%D0%B9%20%D0%BF%D1%80%D0%BE%D1%81%D0%BC%D0%BE%D1%82%D1%80.pdf,0.52 кг,60х90/8,Гвоздовская В.,Ресторанные ведомости,978-5-6046513-2-2,2022,264,"Твердый переплет, Суперобложка",,,
https://cdn.entero.ru/mp@2x/33/74/3374a139da843079a2a003153a591a1f.jpg,Анатолий Комм Ресторанные Ведомости Вокруг света с борщом и фуа-гра. Записки повара,Анатолий Комм Ресторанные Ведомости Вокруг света с борщом и фуа-гра. Записки повара,0,RUB,Нет,Профоборудование,Литература для ресторанного бизнеса,https://entero.ru/item/258222,"<p>Книга <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/258222""><b class=""b"">Вокруг света с борщом и фуа-гра. Записки повара</b></a> предназначена для использования в сфере ресторанного бизнеса. В издании представлены рекомендации по процессам, которые связаны с обеспечением питанием посетителей общественных мероприятий. В своей книге Анатолий Комм дарит гостям уникальную возможность увидеть и узнать, какими должны быть ресторанные блюда в ХХI веке.</p>",258222,200 мм,130 мм,10 мм,0.341 кг,1,220x143x11 мм,0,https://entero.ru/manuals/318089/%D0%9F%D1%80%D0%B5%D0%B4%D0%B2%D0%B0%D1%80%D0%B8%D1%82%D0%B5%D0%BB%D1%8C%D0%BD%D1%8B%D0%B9%20%D0%BF%D1%80%D0%BE%D1%81%D0%BC%D0%BE%D1%82%D1%80.pdf,0.31 кг,,Комм А.,Ресторанные ведомости,978-5-98176-116-4,2014,184,Мягкий переплет,,,
https://cdn.entero.ru/mp@2x/70/e7/70e7950087c55e4388742a9f5681853f.jpg;https://cdn.entero.ru/mp@2x/2b/d3/2bd3fdaebd9b4e44db8119b6a1877703.jpg,Ресторанные Ведомости Меню для столовых и кулинарий от звездных шеф-поваров,Книга 9785950014925,0,RUB,Нет,Профоборудование,Литература для ресторанного бизнеса,https://entero.ru/item/122441,"<p>Книга <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/122441""><b class=""b"">Меню для столовых и кулинарий от звездных шеф-поваров</b></a> предназначена для использования в сфере ресторанного бизнеса. В издании представлены рецепты полного меню от шеф-поваров лучших ресторанов. Описания необходимых ингредиентов, пошагового приготовления и сервировок дополнены цветными иллюстрациями с приготовленными блюдами.</p>",122441,,,,,,,0,https://entero.ru/manuals/129397/%D0%9F%D1%80%D0%B5%D0%B4%D0%B2%D0%B0%D1%80%D0%B8%D1%82%D0%B5%D0%BB%D1%8C%D0%BD%D1%8B%D0%B9%20%D0%BF%D1%80%D0%BE%D1%81%D0%BC%D0%BE%D1%82%D1%80.pdf,1.05 кг,60х90/8,,Ресторанные ведомости,978-5-9500149-2-5,2017,96,"Суперобложка, Твердый переплет",Аносова Е.Ю.,Мелованная,Плоская офсетная
https://cdn.entero.ru/mp@2x/2d/0f/2d0f4a9f4a3ba7b29fd62313f35da85e.jpg,Ирина Рубачева. Ресторанные Ведомости Почему открываются / закрываются рестораны,Книга Ирина Рубачева 9785604095270,0,RUB,Нет,Профоборудование,Литература для ресторанного бизнеса,https://entero.ru/item/122467,"<p>Книга <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/122467""><b class=""b"">Почему открываются / закрываются рестораны</b></a> предназначена для использования в сфере ресторанного бизнеса. В издании представлены рекомендации, инструменты и решения по открытию и ведению работы в организациях общественного питания.</p>",122467,,,,,,,0,https://entero.ru/manuals/129383/%D0%9F%D1%80%D0%B5%D0%B4%D0%B2%D0%B0%D1%80%D0%B8%D1%82%D0%B5%D0%BB%D1%8C%D0%BD%D1%8B%D0%B9%20%D0%BF%D1%80%D0%BE%D1%81%D0%BC%D0%BE%D1%82%D1%80.pdf,0.45 кг,70х100/16,Рубачева И.П.,Ресторанные ведомости,978-5-6040952-7-0,2019,240,Мягкий переплет,,Мелованная,
https://cdn.entero.ru/mp@2x/7a/e4/7ae400693760a0a1e195e9f39c64db2c.jpg,Екатерина Стародубцева. Ресторанные Ведомости Охота за талантами. Оружие и 77 способов его применения,Книга Екатерина Стародубцева 9785604095249,0,RUB,Нет,Профоборудование,Литература для ресторанного бизнеса,https://entero.ru/item/122469,"<p>Книга <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/122469""><b class=""b"">Охота за талантами. Оружие и 77 способов его применения</b></a> предназначена для использования в сфере ресторанного бизнеса. В издании представлены рекомендации, инструменты и решения в области формирования штата сотрудников и оптимальной работе в организациях общественного питания.</p>",122469,,,,,,,0,https://entero.ru/manuals/129405/%D0%9F%D1%80%D0%B5%D0%B4%D0%B2%D0%B0%D1%80%D0%B8%D1%82%D0%B5%D0%BB%D1%8C%D0%BD%D1%8B%D0%B9%20%D0%BF%D1%80%D0%BE%D1%81%D0%BC%D0%BE%D1%82%D1%80.pdf,0.35 кг,70х100/16,Стародубцева Е.С.,Ресторанные ведомости,978-5-6040952-4-9,2019,176,Мягкий переплет,,Офсетная,
https://cdn.entero.ru/mp@2x/79/47/794714691eb7fe02710c1aa8c5880e4f.jpg,Нина Макогон. Ресторанные Ведомости Кого хотят рестораторы? Гид по карьере,Книга Нина Макогон 9785604095348,0,RUB,Нет,Профоборудование,Литература для ресторанного бизнеса,https://entero.ru/item/122423,"<p>Книга <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/122423""><b class=""b"">Кого хотят рестораторы? Гид по карьере</b></a> предназначена для использования в сфере ресторанного бизнеса. В издании представлены рекомендации по формированию штата сотрудников и оптимальному построению карьеры в организациях общественного питания. Подробные описания рекрутинговых решений дополнены схемами, таблицами и приложениями для более легкого восприятия и запоминания.</p>",122423,,,,,,,0,https://entero.ru/manuals/129386/%D0%9F%D1%80%D0%B5%D0%B4%D0%B2%D0%B0%D1%80%D0%B8%D1%82%D0%B5%D0%BB%D1%8C%D0%BD%D1%8B%D0%B9%20%D0%BF%D1%80%D0%BE%D1%81%D0%BC%D0%BE%D1%82%D1%80.pdf,0.48 кг,60х90/8,Макогон Н.В.,Ресторанные ведомости,978-5-6040953-4-8,2020,144,Мягкий переплет,,Мелованная,Плоская офсетная
