Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Напряжение,Мощность,Ширина,Глубина,Высота,Вес,Страна производства,Количество мест,Размеры,Остаток,Файлы,Старая цена,Видео,Вес (без упаковки),Производительность,Подключение,Производительность по стаканам,Цикл мойки,Размер кассеты,Подключение к горячей воде,Дозатор моющего средства,Дозатор ополаскивающего средства,Сливной насос (помпа),Расход воды за цикл,Температура подключаемой воды,Емкость бойлера,Емкость моечной ванны,Мощность помпы,Мощность бойлера,Мощность ТЭНа ванны,Максимальная высота бокалов,Функция Thermostop,Водоумягчитель воды,Электронный таймер
https://cdn.entero.ru/mp@2x/a6/41/a64128c22e297621e4a873f9daf365e8.jpg;https://cdn.entero.ru/mp@2x/27/28/272878666f1058f3758b65f8934fae91.jpg;https://cdn.entero.ru/mp@2x/3f/e7/3fe7da964c177cd0f52955adc6b4b30e.jpg;https://cdn.entero.ru/mp@2x/67/a9/67a92d818352161f2ba1384b2e456d7e.jpg;https://cdn.entero.ru/mp@2x/7b/8d/7b8dc1b0aa1a9b31a0e41bc2c54cb268.jpg;https://cdn.entero.ru/mp@2x/7b/9d/7b9dfcb415e8c76bac780d6d10d55ebc.jpg;https://cdn.entero.ru/mp@2x/cc/d2/ccd22090d7ae82ccd8008a652beb6438.jpg,Стаканомоечная машина Abat МПК-400Ф,71000008924 / 15000008924,152350,RUB,Да,Abat,Профоборудование,Посудомоечное,Стаканомоечные машины,https://entero.ru/item/86941,"<p>Стаканомоечная машина <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/86941"">Abat МПК-400Ф</a> </b>используется на предприятиях общественного питания и торговли для мойки стаканов, бокалов, чашек, небольших тарелок и столовых приборов.</p>

<p>Металлические детали, контактирующие с водой, и облицовка выполнены из нержавеющей стали AISI 304, детали разбрызгивателей - из кислотостойкой нержавеющей стали AISI 321.</p>

<p>В комплект поставки входят 2 нейтральные кассеты для мытья тарелок, стаканов и чашек, стакан для мытья приборов, держатель тарелок и заливной шланг.</p>

<p><b>Особенности:</b></p>

<ul>
<li>3 режима мойки</li>
<li>Эксплуатация при горячем и холодном водоснабжении</li>
<li>Ручная подача моющего средства</li>
<li>Автоматическая подача ополаскивающего средства</li>
<li>Автоматическое наполнение ванны водой</li>
<li>Кнопочная электронная панель</li>
<li>Контроль и поддержание температуры воды в ванне и бойлере</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Производительность: 500 тарелок/час*</li>
<li>Единовременная загрузка: 25 стаканов / 18 тарелок</li>
<li>Расход за цикл:
<ul>
<li>Ополаскивающее средство: 1,8 мл</li>
<li>Моющее средство: 9 мл</li>
</ul>
</li>
<li>Минимальная температура:
<ul>
<li>Мойка: 60 °С</li>
<li>Ополаскивание: 85 °С</li>
</ul>
</li>
<li>Давление водопроводной сети: от 200 до 400 кПа</li>
<li>Номинальная потребляемая мощность: 3,6 кВт</li>
<li>Время простоя до перехода в спящий режим: 40 мин.</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Наклонный держатель стаканов</li>
</ul>

<p><br>
<em>* Производительность указана для стаканов диаметром до 73 мм и тарелок диаметром 190 мм.</em></p>",86941,220 В,,490 мм,540 мм,865 мм,61 кг,Россия,1,560x620x1030 мм,0,https://entero.ru/manuals/67039/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20Abat%20%D0%9C%D0%9F%D0%9A-400%D0%A4.pdf;https://entero.ru/manuals/67038/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Abat%20%D0%9C%D0%9F%D0%9A-400%D0%A4.pdf;https://entero.ru/manuals/67040/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20Abat%20%D0%9C%D0%9F%D0%9A-400%D0%A4.pdf;https://entero.ru/manuals/476557/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20%D0%BF%D0%BE%D0%BA%D0%BB%D1%8E%D1%87%D0%B5%D0%BD%D0%B8%D1%8F%20%D0%BD%D0%B0%20Abat%20%D0%9C%D0%9F%D0%9A-400%D0%A4.pdf,,,47 кг,24 корзины в час,"к горячей воде, к холодной воде",700 шт./ч,120 / 180 / 300 сек.,400х400 мм,Да,Да,Да,Да,3 л,5 °C,3.4 л,4 л,0.5 кВт,2.5 кВт,3 кВт,,,,
https://cdn.entero.ru/mp@2x/4e/cd/4ecd4c39406716a2c3b341c006cb4666.jpg,Машина стаканомоечная Apach AF400,Машина стаканомоечная Apach AF400,103541,RUB,Да,Apach,Профоборудование,Посудомоечное,Стаканомоечные машины,https://entero.ru/item/107780,"<p>Стаканомоечная машина<b class=""b""> <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/107780"">Apach AF400</a></b> используется на предприятиях общественного питания и торговли для мойки стаканов, чашек, тарелок и столовых приборов. Модель оснащена электромеханической панелью управления и цельнотянутым баком. Дверца с двойными стенками снижает уровень шума и повышает теплоизоляцию. Корпус и разбрызгиватели выполнены из нержавеющей стали.</p>

<p>В комплект поставки входят 2 плоские кассеты, 2 вставки для тарелок и лоток для приборов. Помпа принудительного слива, набор внешних фильтров и дозатор моющего средства приобретаются отдельно.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Высота загрузочного окна: 295 мм</li>
</ul>",107780,220 В,3.5 кВт,440 мм,535 мм,670 мм,34 кг,Италия,1,520x640x820 мм,0,https://entero.ru/manuals/289803/%D0%A0%D1%83%D0%BA%D0%BE%D0%B2%D0%BE%D0%B4%D1%81%D1%82%D0%B2%D0%BE%20%D0%BF%D0%BE%20%D1%8D%D0%BA%D1%81%D0%BF%D0%BB%D1%83%D0%B0%D1%82%D0%B0%D1%86%D0%B8%D0%B8%20%D0%BD%D0%B0%20Apach%20AF400.pdf;https://entero.ru/manuals/289804/%D0%A1%D1%85%D0%B5%D0%BC%D0%B0%20%D0%BC%D0%BE%D0%BD%D1%82%D0%B0%D0%B6%D0%B0%20%D0%BD%D0%B0%20Apach%20AF400.pdf;https://entero.ru/manuals/289805/%D0%A2%D0%B5%D1%85%D0%BD%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B8%D0%B5%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D0%B5%20%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.pdf;https://entero.ru/manuals/289807/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Apach.pdf;https://entero.ru/manuals/477146/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,108991,,31 кг,30 корзин в час,,,120 сек.,385х385 мм,Да,Да,Да,,1.9 л,60 °C,2.6 л,8 л,,2.6 кВт,0.6 кВт,300 мм,Да,,
https://cdn.entero.ru/mp@2x/3c/3f/3c3f9d34b7f26ef41868a039b718d493.jpg,Машина стаканомоечная ATA B 21 с помпой,B 21.,122763,RUB,Да,,Профоборудование,Посудомоечное,Стаканомоечные машины,https://entero.ru/item/255371,"<p>Стаканомоечная машина <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/255371""><b class=""b"">ATA B 21</b></a> предназначена для мытья в кассетах стаканов, чашек и столовых приборов с применением жидких моющих и ополаскивающих средств на предприятиях общественного питания и торговли. Модель оснащена фронтальной камерой с откидной дверью, кабелем питания с вилкой и электромеханической панелью управления. Корпус, дверь, внутренняя облицовка камеры, моечные рукава и фильтр выполнены из высококачественной нержавеющей стали AISI 304, рукоятка, панель управления и окантовка двери – из полимеров черного цвета, кнопки с хромированным покрытием.</p>

<p><b>Комплектация:</b></p>

<ul>
<li>Перистальтический дозатор моющего средства A5695</li>
<li>Сливная помпа A4728/21</li>
<li>2 стандартные моечные кассеты для бокалов</li>
<li>Заводская упаковка</li>
<li>Инструкция по эксплуатации</li>
</ul>

<p><b>Особенности:</b></p>

<ul>
<li>1 программа мойки</li>
<li>Цикл самоочистки</li>
<li>Простое управление благодаря удобному интерфейсу</li>
<li>Светодиодные индикаторы питания, нагрева, процессов мойки и ополаскивания</li>
<li>Встроенный дозатор ополаскивающего средства с разъемами для дозатора моющих средств и сливной помпы</li>
<li>Двойная стенка двери для энергосбережения и минимизации нагрева наружной поверхности</li>
<li>Интегрированная заподлицо с поверхностью двери горизонтальная рукоятка для оптимизации пространства </li>
<li>Свободный доступ к системе копланарных рычагов для удобства технического обслуживания и очистки</li>
<li>Нескользящие опоры </li>
<li>Низкое энергопотребление</li>
<li>Эргономичный стильный дизайн</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Объем: 0,13 м³</li>
<li>Высота проема камеры: 290 мм</li>
</ul>

<p><em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",255371,220 В,3.25 кВт,470 мм,530 мм,700 мм,40 кг,Италия,1,580x600x855 мм,0,https://entero.ru/manuals/312825/%D0%A1%D0%BF%D0%B5%D1%86%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20ATA%20B%2021%20%D1%81%20%D0%BF%D0%BE%D0%BC%D0%BF%D0%BE%D0%B9.pdf,,,33 кг,30 корзин в час,,,120 сек.,400х400 мм,Да,Да,Да,Да,,,,,,,,290 мм,,,
https://cdn.entero.ru/mp@2x/88/e6/88e65ecbfcbab2616f3701821f23f153.jpg;https://cdn.entero.ru/mp@2x/29/c1/29c11cbefdf135e32edf74da219f27de.jpg;https://cdn.entero.ru/mp@2x/4d/ac/4dac919bbfebd9be9e00d2b02274c0f5.jpg;https://cdn.entero.ru/mp@2x/a8/bf/a8bf23199c5bb02f4882e9f77bd9b76c.jpg;https://cdn.entero.ru/mp@2x/f1/0e/f10e9a3fa16bf7a8f06650328fba8cab.jpg,Стаканомоечная машина SMEG Professional SPG403MS,Стаканомоечная машина SMEG Professional SPG403MS,199634,RUB,Да,,Профоборудование,Посудомоечное,Стаканомоечные машины,https://entero.ru/item/309736,"<p>Стаканомоечная машина <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/309736""><b class=""b"">Smeg SPG403MS</b></a> серии Ecoline используется на предприятиях общественного питания и торговли для мойки стаканов, чашек и бокалов. Модель оснащена электронным управлением,5-ти ступенчатой системой фильтрации и регулируемыми по высоте ножками. Коопус и бак выполнены из нержавеющей стали AISI 304, задняя панель - из оцинкованной стали, распылители - из пластика и нержавеющей стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Плавный запуск</li>
<li>Счетчик циклов</li>
<li>Частичное обновление воды в баке и встроенном сливном насосе</li>
<li>Цикл слива и самоочистки</li>
<li>Одностенная конструкция бака</li>
<li>Класс защиты IPX4</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Загрузка моющего средства: 1,5 л/час</li>
<li>Скорость ополаскаивания: 0,4 л/час</li>
<li>Максимальная температура воды на входе: 60°C</li>
<li>Максимальная высота ножек: 25 мм</li>
<li>Длина шланга для моющего средства: 2,2 м</li>
<li>Сливное отверстие: 600 мм</li>
<li>Глубина с открытой дверцей: 882 мм</li>
<li>Габариты в упаковке: 860х510х630 мм</li>
</ul>",309736,220 В,3 кВт,440 мм,555 мм,695 мм,44 кг,Италия,1,860x510x630 мм,0,https://entero.ru/manuals/371227/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BF%D1%80%D0%BE%D1%84%D0%B5%D1%81%D1%81%D0%B8%D0%BE%D0%BD%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D1%85%20%D0%BF%D0%BE%D1%81%D1%83%D0%B4%D0%BE%D0%BC%D0%BE%D0%B5%D1%87%D0%BD%D1%8B%D1%85%20%D0%BC%D0%B0%D1%88%D0%B8%D0%BD%20Smeg.pdf;https://entero.ru/manuals/371228/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BF%D1%80%D0%BE%D1%84%D0%B5%D1%81%D1%81%D0%B8%D0%BE%D0%BD%D0%B0%D0%BB%D1%8C%D0%BD%D0%BE%D0%B3%D0%BE%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Smeg.pdf;https://entero.ru/manuals/371241/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20SMEG%20SPG403MS%20%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.pdf;https://entero.ru/manuals/476910/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82.pdf,,,40 кг,40 корзин в час,,,90 / 150 / 240 сек.,400х400 мм,,Да,Да,Да,2.3 л,50 °C,4 л,8 л,0.29 кВт,2.7 кВт,1.4 кВт,300 мм,Да,Да,
https://cdn.entero.ru/mp@2x/22/3f/223fca1683f1cd03270a51bacb27cc93.jpg,Машина стаканомоечная Adler ECO 35,Машина стаканомоечная Adler ECO 35,99754,RUB,Да,Adler,Профоборудование,Посудомоечное,Стаканомоечные машины,https://entero.ru/item/124405,"<p>Посудомоечная машина с фронтальной загрузкой <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/124405"">Adler ECO 35</a></b> серии Ecoline используется на предприятиях общественного питания и торговли для мойки посуды, кухонных принадлежностей, стаканов, чашек и столовых приборов. Модель оснащена механической панелью управления.</p>

<p>В комплект поставки входят универсальная кассета и держатель для столовых приборов.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Входное давление: от 2 до 4 бар</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Дозатор моющего средства</li>
<li>Дренажный насос</li>
<li>Промывочные рукава из нержавеющей стали</li>
<li>Поверхностные фильтры</li>
<li>Смягчитель воды</li>
<li>Температурный дисплей</li>
</ul>",124405,220 В,,450 мм,465 мм,660 мм,38 кг,Италия,1,600x600x800 мм,0,https://entero.ru/manuals/133159/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Adler%20Ecoline%20%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.pdf;https://entero.ru/manuals/476643/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Adler%20ECO%2035.docx,107262,,30 кг,30 корзин в час,к холодной воде,780 шт./ч,120 сек.,350х350 мм,,,Да,,2 л,50 °C,3 л,9 л,0.2 кВт,2.4 кВт,2 кВт,220 мм,,,
https://cdn.entero.ru/mp@2x/66/4c/664cf8fc3b481629b43fc00fe835ff49.jpg;https://cdn.entero.ru/mp@2x/67/57/6757fa728595dfcbf56dd053793bb424.jpg,Стаканомоечная машина MACH EASY 35,ита1017 н0000186527,117520,RUB,Да,MACH,Профоборудование,Посудомоечное,Стаканомоечные машины,https://entero.ru/item/84585,"<p>Стаканомоечная машина <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.by/item/84585"">MACH EASY 35</a></b> используется на предприятиях общественного питания для мойки стаканов, чашек, мелкой посуды, кухонных принадлежностей и приборов. Модель оснащена удобной панелью управления. Корпус и основные компоненты выполнены из нержавеющей стали.</p>

<p>В комплект поставки входит кассета для стаканов, вставка в кассету для тарелок на 10 шт. и стакан для столовых приборов.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Температура воды:
<ul>
<li>Режим мойки: 55 °C</li>
<li>Режим ополаскивания: от 70 до 85 °C</li>
</ul>
</li>
<li>Высота загрузочного отсека: 230 мм</li>
</ul>

<p><span style=""color:#FF0000;"">Внимание! Требуется обязательное подключение специалистом!</span></p>",84585,220 В,3.23 кВт,410 мм,490 мм,650 мм,,Италия,,,0,https://entero.ru/manuals/460857/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20MACH%20EASY%2035.docx,123705,,34 кг,24 корзины в час,к горячей воде,500 шт./ч,150 сек.,350х350 мм,,,Да,,,50 °C,4 л,9.5 л,,,,250 мм,,,
https://cdn.entero.ru/mp@2x/18/62/18620d3607f7e0c80d3f65a2f8919e28.jpg;https://cdn.entero.ru/mp@2x/04/61/046114640397a405bc2f33ed02d31e55.jpg;https://cdn.entero.ru/mp@2x/09/58/0958efbf787eb757a71b80ba99c56fbf.jpg,Машина стаканомоечная Adler ECO 40,Машина стаканомоечная Adler ECO 40,115999,RUB,Да,Adler,Профоборудование,Посудомоечное,Стаканомоечные машины,https://entero.ru/item/124406,"<p>Посудомоечная машина с фронтальной загрузкой <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/124406""><b class=""b"">Adler ECO 35</b></a> серии Ecoline используется на предприятиях общественного питания и торговли для мойки посуды, кухонных принадлежностей, стаканов, чашек и столовых приборов. Модель оснащена механической панелью управления.</p>

<p>В комплект поставки входят универсальная кассета и держатель для столовых приборов.</p>

<p><b>Особенности:</b></p>

<ul>
<li>​Полная шумоизоляция за счет<b> д</b>войной изоляции двери </li>
<li>Проста эксплуатации и обслуживания</li>
<li>Низкие эксплуатационные расходы</li>
<li>Минимальное потребление воды и электроэнергии</li>
<li>Механическая панель управления</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Входное давление: от 2 до 4 бар</li>
<li>Длительность цикла (2 цикла): 60-180 сек</li>
<li>Вместимость бойлера для мытья: 11 л</li>
<li>Мощность бойлера для мытья: 2 кВт</li>
<li>Мощность бойлера для ополаскивания: 2.4 кВт</li>
<li>Вместимость бойлера для ополаскивания: 3 л</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Дозатор моющего средства</li>
<li>Дренажный насос</li>
<li>Промывочные рукава из нержавеющей стали</li>
<li>Поверхностные фильтры</li>
<li>Смягчитель воды</li>
<li>Температурный дисплей</li>
</ul>",124406,220 В,,480 мм,517 мм,696 мм,48 кг,Италия,1,600x600x800 мм,0,https://entero.ru/manuals/133160/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Adler%20Ecoline%20%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.pdf;https://entero.ru/manuals/476647/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Adler%20ECO%2040.docx,126086,,38 кг,60 корзин в час,,930 шт./ч,60 сек.,400х400 мм,Да,,Да,,1.5 л,50 °C,от 3 до 11 л,11 л,0.37 кВт,2.4 кВт,2 кВт,270 мм,,,
https://cdn.entero.ru/mp@2x/9b/4c/9b4c693e7f9e7ea4a238f3a9891564e5.jpg,Стаканомоечная машина Omniwash Jolly 40,Стаканомоечная машина Omniwash Jolly 40,118892,RUB,Да,,Профоборудование,Посудомоечное,Стаканомоечные машины,https://entero.ru/item/101665,"<p>Стаканомоечная машина <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/101665"">Omniwash Jolly 40</a> </b>используется на предприятиях общественного питания для мытья стаканов, посуды и кухонной утвари. Модель оснащена механической панелью управления. Корпус выполнен из нержавеющей стали AISI 304 18/10, съемные разборные рукава - из высокопрочного пластика.</p>

<p>В комплект поставки входят 2 корзины для стаканов, держатель на 12 тарелок и держатель для столовых приборов.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Нагревательный элемент Incoloy с прямым нагревом и миниммальным энергопотреблением</li>
<li>Функция охлаждения посуды проточной водой</li>
<li>Перистальтический химический насос мойки</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Температура:
<ul>
<li>Мойка: 55 °C</li>
<li>Ополаскивание: 85 °C</li>
</ul>
</li>
<li>Расход воды: 240 л/мин.</li>
<li>Давление: от 2 до 4 бар</li>
<li>Максимальный уровень шума: 60 дБ</li>
<li>Подключение воды: ¾"" / 25</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Верхняя панель из нержавеющей стали</li>
<li>Нижняя панель из нержавеющей стали</li>
</ul>",101665,220 В,3.15 кВт,475 мм,527 мм,734 мм,40 кг,Италия,1,500x560x760 мм,0,https://entero.ru/manuals/92751/%D0%91%D1%80%D0%BE%D1%88%D1%8E%D1%80%D0%B0%20%D0%BD%D0%B0%20Omniwash%20Jolly%2040%20%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.pdf;https://entero.ru/manuals/93141/%D0%A0%D1%83%D0%BA%D0%BE%D0%B2%D0%BE%D0%B4%D1%81%D1%82%D0%B2%D0%BE%20%D0%BF%D0%BE%20%D0%BC%D0%BE%D0%BD%D1%82%D0%B0%D0%B6%D1%83.docx;https://entero.ru/manuals/93142/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.jpg;https://entero.ru/manuals/102199/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20Omniwash%20Jolly.pdf,125149,,36 кг,30 корзин в час,,от 1000 до 1200 шт./ч,120 сек.,400х400 мм,Да,,Да,,,50 °C,5.5 л,14 л,0.45 кВт,2.7 кВт,1.8 кВт,290 мм,,,
https://cdn.entero.ru/mp@2x/98/9c/989c5a5ce6440a1b5d976123f166e283.jpg;https://cdn.entero.ru/mp@2x/5e/72/5e721509160e2ebb594369c9141001a3.jpg;https://cdn.entero.ru/mp@2x/a0/24/a0248b20646d9eb3c1b495916f97f170.jpg;https://cdn.entero.ru/mp@2x/1e/cc/1ecceb2d1c44342f6f05e0864f1a44f9.jpg,Стаканомоечная машина SMEG Professional SPG403M,Стаканомоечная машина SMEG Professional SPG403M,189657,RUB,Да,,Профоборудование,Посудомоечное,Стаканомоечные машины,https://entero.ru/item/309563,"<p>Стаканомоечная машина <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/309563""><b class=""b"">Smeg SPG403M</b></a> серии Ecoline используется на предприятиях общественного питания и торговли для мойки стаканов, чашек и бокалов. Модель оснащена электронным управлением,5-ти ступенчатой системой фильтрации и регулируемыми по высоте ножками. Коопус и бак выполнены из нержавеющей стали AISI 304, задняя панель - из оцинкованной стали, распылители - из пластика и нержавеющей стали.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Плавный запуск</li>
<li>Счетчик циклов</li>
<li>Частичное обновление воды в баке и встроенном сливном насосе</li>
<li>Цикл слива и самоочистки</li>
<li>Одностенная конструкция бака</li>
<li>Класс защиты IPX4</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Загрузка моющего средства: 1,5 л/час</li>
<li>Скорость ополаскаивания: 0,4 л/час</li>
<li>Максимальная температура воды на входе: 60°C</li>
<li>Максимальная высота ножек: 25 мм</li>
<li>Длина шланга для моющего средства: 2,2 м</li>
<li>Сливное отверстие: 600 мм</li>
<li>Глубина с открытой дверцей: 882 мм</li>
<li>Габариты в упаковке: 860х510х630 мм</li>
</ul>",309563,220 В,3 кВт,440 мм,555 мм,695 мм,49 кг,Италия,1,860x510x630 мм,0,https://entero.ru/manuals/371052/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BF%D1%80%D0%BE%D1%84%D0%B5%D1%81%D1%81%D0%B8%D0%BE%D0%BD%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D1%85%20%D0%BF%D0%BE%D1%81%D1%83%D0%B4%D0%BE%D0%BC%D0%BE%D0%B5%D1%87%D0%BD%D1%8B%D1%85%20%D0%BC%D0%B0%D1%88%D0%B8%D0%BD%20Smeg.pdf;https://entero.ru/manuals/371053/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BF%D1%80%D0%BE%D1%84%D0%B5%D1%81%D1%81%D0%B8%D0%BE%D0%BD%D0%B0%D0%BB%D1%8C%D0%BD%D0%BE%D0%B3%D0%BE%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Smeg.pdf;https://entero.ru/manuals/371054/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20SMEG%20SPG403M%20%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.pdf,,,43 кг,40 корзин в час,,,90 / 150 / 240 сек.,400х400 мм,,Да,Да,Да,2.3 л,50 °C,4.5 л,7 л,0.29 кВт,2.7 кВт,1.4 кВт,300 мм,,,
https://cdn.entero.ru/mp@2x/b0/1b/b01bc843b432086524f193093a0abdae.jpg,Стаканомоечная машина Eletto 1100,Стаканомоечная машина Eletto 1100,111353,RUB,Да,,Профоборудование,Посудомоечное,Стаканомоечные машины,https://entero.ru/item/314544,"<p>Стаканомоечная машина <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/314544"">Eletto 1100</a></b> используется на предприятиях общественного питания для мойки стаканов, чашек, мелкой посуды, кухонных принадлежностей и приборов. Модель оснащена механической панелью управления. </p>",314544,220 В,4.75 кВт,480 мм,580 мм,720 мм,,Турция,,,0,,191987,,43 кг,40 корзин в час,к холодной воде,1000 шт./ч,90 / 120 / 180 сек.,400х400 мм,,,Да,Да,,,,,0.25 кВт,2 кВт,2.5 кВт,,,,
