Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Температурный режим,Напряжение,Мощность,Ширина,Глубина,Высота,Вес,Страна производства,Количество мест,Размеры,Остаток,Файлы,Старая цена,Видео,Вес (без упаковки),Количество ярусов
https://cdn.entero.ru/mp@2x/40/6a/406aabc4d4af481997b1097d3e296e2b.jpg;https://cdn.entero.ru/mp@2x/79/16/7916ab52fc4ad29c850cf7a915e9e69c.jpg,Полка тепловая HICOLD TP2-15/3,287308,83277,RUB,Да,HICOLD,Профоборудование,Тепловое,Тепловые полки,https://entero.ru/item/47489,"<p>Тепловая полка <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/47489"">HICOLD TP2-15/3</a></b> используется на предприятиях общественного питания и торговли для подогрева тарелок перед выкладыванием на них продуктов питания и сохранения температуры уже выложенных на тарелки блюд перед их подачей на стол. Температура нагрева полки не регулируется и зависит от мощности установленного нагревательного элемента. Изделие поставляется в сборе.</p>

<p><b>Особенности:</b></p>

<ul>
<li>2 уровня, каждый из которых оснащен нагревательным элементом</li>
<li>Надежная и устойчивая конструкция</li>
<li>Настольная установка</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Время разогрева до рабочей температуры: 8 мин.</li>
<li>Макс. нагрузка: 50 кг</li>
<li>Габариты в упаковке: 1510х310х830 мм</li>
<li>Объем с упаковкой: 0,39 м<sup>3</sup></li>
</ul>

<p><em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",47489,60 °C,220 В,3 кВт,1500 мм,300 мм,800 мм,,Россия,,,0,https://entero.ru/manuals/74625/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20HICOLD%20TP2-15_3.doc;https://entero.ru/manuals/438194/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20HICOLD.pdf;https://entero.ru/manuals/438195/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,90518,,44 кг,2
https://cdn.entero.ru/mp@2x/62/4a/624a3eb6978b87e1657409193e520a46.jpg;https://cdn.entero.ru/mp@2x/db/ff/dbffd48a1b0983e9cd130397bc5e0ee6.jpg,Полка тепловая HICOLD TP2-10/3,287303,58801,RUB,Да,HICOLD,Профоборудование,Тепловое,Тепловые полки,https://entero.ru/item/47494,"<p>Тепловая полка <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/47494"">HICOLD TP2-10/3</a></b> используется на предприятиях общественного питания и торговли для подогрева тарелок перед выкладыванием на них продуктов питания и сохранения температуры уже выложенных на тарелки блюд перед их подачей на стол. Температура нагрева полки не регулируется и зависит от мощности установленного нагревательного элемента. Изделие поставляется в сборе.</p>

<p><b>Особенности:</b></p>

<ul>
<li>2 уровня, каждый из которых оснащен нагревательным элементом</li>
<li>Надежная и устойчивая конструкция</li>
<li>Настольная установка</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Время разогрева до рабочей температуры: 8 мин.</li>
<li>Макс. нагрузка: 50 кг</li>
<li>Габариты в упаковке: 1010х310х830 мм</li>
<li>Объем с упаковкой: 0,26 м<sup>3</sup></li>
</ul>

<p><br>
<em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",47494,60 °C,220 В,2 кВт,1000 мм,300 мм,800 мм,,Россия,,,0,https://entero.ru/manuals/74615/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20HICOLD%20TP2-10_3.doc;https://entero.ru/manuals/438180/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20HICOLD.pdf;https://entero.ru/manuals/438181/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,,30 кг,2
https://cdn.entero.ru/mp@2x/15/4a/154a667e7d1d5678f89ad7dfc086185b.jpg,Полка тепловая Restoinox ПНТК2-12/3,Полка тепловая Restoinox ПНТК2-12/3,27983,RUB,Да,Restoinox,Профоборудование,Тепловое,Тепловые полки,https://entero.ru/item/216304,"<p>Тепловая полка <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/216304""><b class=""b"">Restoinox ПНТК2-12/3 </b></a>используется на предприятиях общественного питания и торговли для подогрева тарелок перед выкладыванием на них продуктов питания и сохранения температуры уже выложенных на тарелки блюд перед их подачей на стол. Каркас и полки выполнены из нержавеющей стали Aisi 430.</p>

<p><b>Особенности:</b></p>

<ul>
<li>2 уровня: верхний оснащен нагревательным элементом, нижний без подогрева</li>
<li>Настольная установка</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Толщина стали на полках: 0,8 мм</li>
<li>Максимальная нагрузка на полку: 25 кг</li>
</ul>

<p><br>
<em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",216304,,220 В,1 кВт,1200 мм,300 мм,800 мм,18 кг,Россия,1,1220x320x820 мм,0,https://entero.ru/manuals/520388/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,,,2
https://cdn.entero.ru/mp@2x/f8/c2/f8c236d7ca79eacc13b87fab4b8df7b1.jpg;https://cdn.entero.ru/mp@2x/af/1e/af1e84b35d53b0e531afb52b451344b3.jpg,Полка тепловая HICOLD TP2-14/3,287307,82799,RUB,Да,HICOLD,Профоборудование,Тепловое,Тепловые полки,https://entero.ru/item/47490,"<p>Тепловая полка <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/47490"">HICOLD TP2-14/3</a></b> используется на предприятиях общественного питания и торговли для подогрева тарелок перед выкладыванием на них продуктов питания и сохранения температуры уже выложенных на тарелки блюд перед их подачей на стол. Температура нагрева полки не регулируется и зависит от мощности установленного нагревательного элемента. Изделие поставлется в сборе.</p>

<p><b>Особенности:</b></p>

<ul>
<li>2 уровня, каждый из которых оснащен нагревательным элементом</li>
<li>Надежная и устойчивая конструкция</li>
<li>Настольная установка</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Время разогрева до рабочей температуры: 8 мин.</li>
<li>Макс. нагрузка: 50 кг</li>
<li>Габариты в упаковке: 1410х320х830 мм</li>
<li>Объем с упаковкой: 0,37 м<sup>3</sup></li>
</ul>

<p><br>
<em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",47490,60 °C,220 В,3 кВт,1400 мм,300 мм,800 мм,,Россия,,,0,https://entero.ru/manuals/74623/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20HICOLD%20TP2-14_3.doc;https://entero.ru/manuals/438192/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20HICOLD.pdf;https://entero.ru/manuals/438193/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,89999,,40 кг,2
https://cdn.entero.ru/mp@2x/66/fe/66fe06f825944cb2412e0eb77280edac.jpg;https://cdn.entero.ru/mp@2x/2b/37/2b37c897cc8325c7456d315cb664b454.jpg;https://cdn.entero.ru/mp@2x/76/ff/76ff386fc10ccd81ebb49c1bc3e60c86.jpg;https://cdn.entero.ru/mp@2x/b9/cf/b9cf9665322544289c1497b3bdd82fc2.jpg;https://cdn.entero.ru/mp@2x/a4/95/a49581f18dbac9f8d02aa4628b93fa85.jpg,Полка тепловая Restoinox ПНТ1-12/3,Полка тепловая Restoinox ПНТ1-12/3,21799,RUB,Да,Restoinox,Профоборудование,Тепловое,Тепловые полки,https://entero.ru/item/216132,"<p>Тепловая полка <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/216132""><b class=""b"">Restoinox ПНТ1-12/3</b></a> используется на предприятиях общественного питания и торговли для подогрева тарелок перед выкладыванием на них продуктов питания и сохранения температуры уже выложенных на тарелки блюд перед их подачей на стол. Профиль выполнен из нержавеющей стали Aisi 430 25х25 мм, корпус и полка - из нержавеющей стали Aisi 430.</p>

<p><b>Особенности:</b></p>

<ul>
<li>1 уровень, оснащенный нагревательным элементом</li>
<li>Настольная установка</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Максимальная нагрузка на полку: 25 кг</li>
<li>Толщина стали: 0,8 мм </li>
</ul>

<p><em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",216132,,220 В,1 кВт,1200 мм,300 мм,400 мм,11 кг,Россия,1,1220x320x420 мм,0,https://entero.ru/manuals/520240/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,,,1
https://cdn.entero.ru/mp@2x/7a/be/7abee3ca4f33c154033c23b68db253d3.jpg,Полка тепловая Restoinox ПНТК2-6/3,Полка тепловая Restoinox ПНТК2-6/3,15626,RUB,Да,Restoinox,Профоборудование,Тепловое,Тепловые полки,https://entero.ru/item/216291,"<p>Тепловая полка <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/216291""><b class=""b"">Restoinox ПНТК2-6/3 </b></a>используется на предприятиях общественного питания и торговли для подогрева тарелок перед выкладыванием на них продуктов питания и сохранения температуры уже выложенных на тарелки блюд перед их подачей на стол. Каркас и полки выполнены из нержавеющей стали Aisi 430.</p>

<p><b>Особенности:</b></p>

<ul>
<li>2 уровня: верхний оснащен нагревательным элементом, нижний без подогрева</li>
<li>Настольная установка</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Толщина стали на полках: 0,8 мм</li>
<li>Максимальная нагрузка на полку: 25 кг</li>
</ul>

<p><br>
<em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",216291,,220 В,0.5 кВт,600 мм,300 мм,800 мм,11 кг,Россия,1,620x320x820 мм,0,https://entero.ru/manuals/520381/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,,,2
https://cdn.entero.ru/mp@2x/e5/aa/e5aadd7688847f088a5eddf72dcc202c.jpg,Полка тепловая Restoinox ПНТК2-13.9/3,Полка тепловая Restoinox ПНТК2-13.9/3,37117,RUB,Да,Restoinox,Профоборудование,Тепловое,Тепловые полки,https://entero.ru/item/216308,"<p>Тепловая полка <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/216308""><b class=""b"">Restoinox ПНТК2-13.9/3 </b></a>используется на предприятиях общественного питания и торговли для подогрева тарелок перед выкладыванием на них продуктов питания и сохранения температуры уже выложенных на тарелки блюд перед их подачей на стол. Каркас и полки выполнены из нержавеющей стали Aisi 430.</p>

<p><b>Особенности:</b></p>

<ul>
<li>2 уровня: верхний оснащен нагревательным элементом, нижний без подогрева</li>
<li>Настольная установка</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Толщина стали на полках: 0,8 мм</li>
<li>Максимальная нагрузка на полку: 25 кг</li>
</ul>

<p><em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",216308,,220 В,1.5 кВт,1390 мм,300 мм,800 мм,21 кг,Россия,1,1410x320x820 мм,0,https://entero.ru/manuals/520364/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,,,2
https://cdn.entero.ru/mp@2x/5c/bb/5cbb805b86e1514b10b2e00cb0acac2e.jpg,Полка тепловая KAYMAN ПТН-22/1003,Полка тепловая KAYMAN ПТН-22/1003,47571,RUB,Нет,KAYMAN,Профоборудование,Тепловое,Тепловые полки,https://entero.ru/item/198674,"<p>Настольная тепловая полка <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/198674""><b class=""b"">KAYMAN ПТН-22/1003</b></a> используется для подогрева тарелок и демонстрации горячих блюд с сохранением их температуры на предприятиях общественного питания и торговли. Разборный каркас выполнен из трубы 20х20 мм нержавеющей стали AISI 430, полки - из нержавеющей стали AISI 430.</p>

<p><b>Особенности:</b></p>

<ul>
<li>2 подогреваемых яруса</li>
<li>Поставляется в разобранном виде</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Толщина стали:
<ul>
<li>Каркас: 1,2 мм</li>
<li>Полки: 0,8 мм</li>
</ul>
</li>
<li>Габариты в упаковке: 1020х320х820 мм</li>
</ul>

<p><em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",198674,,220 В,2.4 кВт,1000 мм,300 мм,800 мм,,Россия,,,0,,50607,,10.5 кг,2
https://cdn.entero.ru/mp@2x/ad/e7/ade7ca6a24adae4c8822144eb4818683.jpg;https://cdn.entero.ru/mp@2x/56/0c/560c18cd7f0a7d0f86bb0eefdcf2b919.jpg,Полка тепловая HICOLD TP2K-12/3,287331,39260,RUB,Нет,HICOLD,Профоборудование,Тепловое,Тепловые полки,https://entero.ru/item/63994,"<p>Тепловая полка <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/63994"">HICOLD TP2K-12/3</a></b> используется на предприятиях общественного питания и торговли для подогрева тарелок перед выкладыванием на них продуктов питания и сохранения температуры уже выложенных на тарелки блюд перед их подачей на стол. Температура нагрева полки не регулируется и зависит от мощности установленного нагревательного элемента. Изделие поставляется в сборе.</p>

<p><b>Особенности:</b></p>

<ul>
<li>2 уровня, один из которых (верхний) оснащен нагревательным элементом</li>
<li>Надежная и устойчивая конструкция</li>
<li>Настольная установка</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Время разогрева до рабочей температуры: 8 мин.</li>
<li>Макс. нагрузка: 50 кг</li>
<li>Габариты в упаковке: 1210х320х830 мм</li>
<li>Объем с упаковкой: 0,32 м<sup>3</sup></li>
</ul>

<p><br>
<em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",63994,60 °C,220 В,1 кВт,1200 мм,300 мм,800 мм,,Россия,,,0,https://entero.ru/manuals/74645/%D0%9F%D0%B0%D1%81%D0%BF%D0%BE%D1%80%D1%82%20%D0%BD%D0%B0%20HICOLD%20TP2K-12_3.doc;https://entero.ru/manuals/438158/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20HICOLD.pdf;https://entero.ru/manuals/438159/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,40896,,25 кг,2
https://cdn.entero.ru/mp@2x/0d/a2/0da2a5d05de92afd4e806b70215297eb.jpg,Полка тепловая Luxstahl ПНТ2-10/3,Полка тепловая Luxstahl ПНТ2-10/3,0,RUB,Нет,Luxstahl,Профоборудование,Тепловое,Тепловые полки,https://entero.ru/item/324042,"<p>Тепловая полка <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/324042""><b class=""b"">Luxstahl ПНТ2-10/3</b></a> используется на предприятиях общественного питания и торговли для подогрева тарелок перед выкладыванием на них продуктов питания и сохранения температуры уже выложенных на тарелки блюд перед их подачей на стол. Каркас и полки выполнены из нержавеющей стали Aisi 430.</p>

<p><br>
<em><span style=""color:#FF0000;"">Внимание! На фото аналогичная модель другого размера.</span></em></p>",324042,,220 В,1.2 кВт,1000 мм,300 мм,800 мм,,Россия,,,0,https://entero.ru/manuals/416760/%D0%A1%D0%B5%D1%80%D1%82%D0%B8%D1%84%D0%B8%D0%BA%D0%B0%D1%82%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F.pdf,,,,2
