Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Тип,Ширина,Глубина,Высота,Вес,Количество мест,Размеры,Остаток,Файлы,Старая цена,Вес (без упаковки),Родина бренда,Страна-производитель,Вес (с упаковкой),Количество ячеек,Размер ячейки (ШxГxВ)
https://cdn.entero.ru/mp@2x/07/53/07537b8a4dfd95dae7af298557e35074.jpg,Кассета универсальная SMEG Professional PB40G01 (420х420),Кассета универсальная SMEG Professional PB40G01 (420х420),6196,RUB,Да,,Профоборудование,Посудомоечное,Кассеты для посудомоечных машин,https://entero.ru/item/40419,"<p>Универсальная кассета <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/40419""><b class=""b"">Smeg PB40G01</b></a> используется совместно с посудомоечными машинами серии 400 на предприятиях пищевой промышленности, общественного питания и торговли. Модель выполнена из полипропилена.</p>

<p> </p>",40419,,420 мм,420 мм,190 мм,,,420х420 мм,0,https://entero.ru/manuals/60781/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Smeg.pdf,7745,1.5 кг,,Италия,,,
https://cdn.entero.ru/mp@2x/e2/fd/e2fd24a76e81abe0b17b977a4500d43d.jpg;https://cdn.entero.ru/mp@2x/bf/37/bf375e893519ebaba48399116d89b57a.jpg,Кассета для тарелок SMEG Professional WB40D01,Кассета для тарелок SMEG Professional WB40D01,6402,RUB,Да,,Профоборудование,Посудомоечное,Кассеты для посудомоечных машин,https://entero.ru/item/40423,"<p>Кассета для тарелок <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/40423""><b class=""b"">Smeg WB40D01</b></a> используется совместно с посудомоечными машинами серии 400 на предприятиях пищевой промышленности, общественного питания и торговли. Модель выполнена из сетки с рильсановым покрытием.</p>

<p><b>Характеристики:</b></p>

<ul>
<li>Вместимость: 8х Ø 315 мм</li>
</ul>",40423,кассета для тарелок,420 мм,420 мм,170 мм,,,400x400 мм,0,https://entero.ru/manuals/60779/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Smeg.pdf,8003,1.4 кг,,Италия,,,
https://cdn.entero.ru/mp@2x/10/cb/10cbe643de9ea6bc7cf38f9957e65080.jpg,Кассета для чашек SMEG Professional WB40G02,Кассета для чашек SMEG Professional WB40G02,11524,RUB,Да,,Профоборудование,Посудомоечное,Кассеты для посудомоечных машин,https://entero.ru/item/40424,"<p>Кассета для чашек <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/40424""><b class=""b"">Smeg WB40G02</b></a> используется совместно с посудомоечными машинами серии 400 на предприятиях пищевой промышленности, общественного питания и торговли. Модель с наклонной нижней частью выполнена из сетки с рильсановым покрытием.</p>

<p><b>Характеристики:</b></p>

<ul>
<li>Диаметр чашек: 90 мм</li>
</ul>",40424,кассета для стаканов,420 мм,420 мм,190 мм,,,400x400 мм,0,https://entero.ru/manuals/60815/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BE%D0%B1%D0%BE%D1%80%D1%83%D0%B4%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F%20Smeg.pdf,12391,2 кг,,Италия,,,
https://cdn.entero.ru/mp@2x/ae/98/ae98c46b85ef95654515f0f068938047.jpg,Кассета для бокалов и стаканов Cambro 36S800 (500х500),36S800184,12759,RUB,Да,Cambro,Профоборудование,Посудомоечное,Кассеты для посудомоечных машин,https://entero.ru/item/177799,"<p>Кассета <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/177799""><b class=""b"">Cambro 36S800 </b></a>предназначена для складирования, транспортировки и последующего мытья бокалов и стаканов в посудомоечных машинах на предприятиях общественного питания и торговли. Модель имеет 4 закругленные ручки со всех сторон. Изделие выполнено из прочного полипропилена.</p>

<p><b>Особенности:</b> </p>

<ul>
<li>Открытые внутренние стенки отсеков</li>
<li>Закрытые внешние стены для защиты посуды от попадания грязи</li>
<li>Гладкие стороны и закругленные углы</li>
<li>Гладкий верхний обод для стабильного штабелирования</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Диаметр посуды: 73 мм</li>
<li>Количество в упаковке: 2</li>
</ul>",177799,кассета для стаканов,500 мм,500 мм,215 мм,,,500x500 мм,73,,,11.1 кг,,,,36 ячеек,
https://cdn.entero.ru/mp@2x/ad/69/ad69a8998b2718251c77ad024c7de633.jpg;https://cdn.entero.ru/mp@2x/77/9b/779bfe9be868a8b13beb9b8696b3e1bb.jpg;https://cdn.entero.ru/mp@2x/dd/a1/dda1514584170951c808575a8b787a76.jpg,Емкость для столовых приборов Tribeca CKA-35 d=110 мм h=127 мм (полипропилен) серая,CKA-35,197,RUB,Да,,Профоборудование,Посудомоечное,Кассеты для посудомоечных машин,https://entero.ru/item/330489,"<p>Емкость <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/330489""><b class=""b"">P.L. Proff Cuisine CKA-35 </b></a>используется для мойки, сушки и хранения столовых приборов на предприятиях общественного питания. Модель круглого сечения оснащена решетчатыми бортом и дном. Изделие выполнено из прочного полипропилена серого цвета.</p>

<p><span style=""color:#FF0000;"">Цена указана за 1 шт.</span></p>",330489,стакан для столовых приборов,110 мм,110 мм,127 мм,,,,0,https://entero.ru/manuals/391992/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20%D0%BF%D1%80%D0%BE%D0%B4%D1%83%D0%BA%D1%86%D0%B8%D0%B8%20Tribeca%20%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.jpg,253,2.3 кг,Турция,Турция,,,
https://cdn.entero.ru/mp@2x/f4/96/f49691845eb74f528f8780890ea38f2b.jpg,Кассета-стойка для бокалов JIWINS JW-9 beige (500х500),Кассета-стойка для бокалов JIWINS JW-9 beige (500х500),364,RUB,Да,,Профоборудование,Посудомоечное,Кассеты для посудомоечных машин,https://entero.ru/item/293344,"<p>Кассета-стойка <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/293344""><b class=""b"">JIWINS JW-9 beige</b></a> предназначена для удобного размещения и последующей мойки чашек и стаканов в посудомоечной машине. Аксессуар выполнен из полипропилена.</p>",293344,кассета для стаканов,500 мм,500 мм,100 мм,,,500x500 мм,0,,,,,Китай,,9 ячеек,
https://cdn.entero.ru/mp@2x/24/6d/246dc53dc32b5f210350ebfac87efe11.jpg,Дополнительная секция к кассете P.L. Proff Cuisine 90001081 на 20 ячеек,ART 3104-E20,534,RUB,Да,,Профоборудование,Посудомоечное,Кассеты для посудомоечных машин,https://entero.ru/item/319362,"<p>Дополнительная секция <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/319362""><b class=""b"">P.L. Proff Cuisine 90001081 </b></a>используется совместно с <a href=""https://entero.ru/item/298579"">кассеттой 90001075</a> для мойки и хранения бокалов и аналогичной посуды на предприятиях общественного питания. Модель квадратного сечения оснащена 20 ячейками, перфорированным дном и бортами. Изделие выполнено из пластика.</p>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Размер ячейки: 113х89х45 мм</li>
</ul>

<p><br>
<em><span style=""color:#FF0000;"">Изображение товара может отличаться от оригинала и представлено в ознакомительных целях.</span></em></p>",319362,надставка для кассеты,500 мм,500 мм,,,,500x500 мм,0,,722,,,Китай,,20 ячеек,
https://cdn.entero.ru/mp@2x/37/95/37957b85bb2e5532f062b4da55b9ccda.jpg,Емкость для столовых приборов T-LUX NCKA-35 круглый ДЛЯ DWM-50/100,Емкость для столовых приборов T-LUX NCKA-35 круглый ДЛЯ DWM-50/100,561,RUB,Да,,Профоборудование,Посудомоечное,Кассеты для посудомоечных машин,https://entero.ru/item/371094,"<p>Емкость <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/371094""><b class=""b"">T-LUX NCKA-35</b></a> используется совместно с посудомоечными машинами <a href=""https://entero.ru/search.php?text=%D0%BC%D0%B0%D1%88%D0%B8%D0%BD%D0%B0+%D0%BF%D0%BE%D1%81%D1%83%D0%B4%D0%BE%D0%BC%D0%BE%D0%B5%D1%87%D0%BD%D0%B0%D1%8F+T-LUX+DWM-50"">DWM-50</a> и <a href=""https://entero.ru/search.php?text=%D0%BC%D0%B0%D1%88%D0%B8%D0%BD%D0%B0+%D0%BF%D0%BE%D1%81%D1%83%D0%B4%D0%BE%D0%BC%D0%BE%D0%B5%D1%87%D0%BD%D0%B0%D1%8F+T-LUX+DWM-100"">DWM-100</a> для мойки, сушки и хранения столовых приборов на предприятиях общественного питания. Модель круглого сечения устанавливается как дополнительный модуль в основную кассету для мытья. Аксессуар выполнен из прочного полипропилена серого цвета.</p>",371094,стакан для столовых приборов,110 мм,110 мм,125 мм,0.4 кг,1,150x150x150 мм,0,,,,Турция,Турция,,,
https://cdn.entero.ru/mp@2x/e2/6e/e26ebcae4e285c3e43bf4f0b9f466f14.jpg,Секция дополнительная NORMA для базовой кассеты 500х500,Секция дополнительная NORMA для базовой кассеты 500х500,636,RUB,Да,NORMA,Профоборудование,Посудомоечное,Кассеты для посудомоечных машин,https://entero.ru/item/268204,"<p>Дополнительная секция <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/268204""><b class=""b"">NORMA </b></a>предназначена для совместного использования с базовой кассетой <a href=""https://entero.ru/item/268168"">500х500</a>. Изделие изготовлено из высокопрочного пластика, устойчивого к воздействию горячей воды.</p>

<p>Цена указана за 1 шт.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Позволяет подогнать базовую кассету под индивидуальные размеры посуды</li>
<li>Проницаемые перегородки свободно пропускают воду и моющие средства, обеспечивая высокое качество просушки</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Наружные размеры: 500х500х45 мм</li>
<li>Вес: 0,5 кг</li>
</ul>",268204,,,,,,,,0,https://entero.ru/manuals/481059/%D0%94%D0%B5%D0%BA%D0%BB%D0%B0%D1%80%D0%B0%D1%86%D0%B8%D1%8F%20%D0%BE%20%D1%81%D0%BE%D0%BE%D1%82%D0%B2%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%B8%D0%B8.pdf,,,,,,,
https://cdn.entero.ru/mp@2x/e9/4a/e94abfc4d00436b4888618c4b3adff28.jpg,Секция дополнительная для базовой кассеты Cambro 16E1 151 мягко-серая (499х499),98790 / 16E1 мягк.-сер.CH,657,RUB,Да,Cambro,Профоборудование,Посудомоечное,Кассеты для посудомоечных машин,https://entero.ru/item/106764,"<p>Дополнительная секция <a style=""text-decoration:none;cursor:text;"" href=""http://m.entero.ru/item/106764""><b class=""b"">Cambro 16E1 151</b></a> серии Camrack предназначена для совместного использования с базовой кассетой BR258. Изделие изготовлено из высокопрочного полипропилена, устойчивого к воздействию агрессивных сред и высокой температуры до 93 °С.</p>

<p>Цена указана за 1 шт.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Полная высота</li>
<li>Позволяет подогнать базовую кассету под индивидуальные размеры посуды</li>
<li>Проницаемые перегородки свободно пропускают воду и моющие средства, обеспечивая высокое качество просушки</li>
<li>Гладкий верхний обод обеспечивает быструю и надежную укладку</li>
<li>Штабелируется со всеми кассетами и дополнительными секциями серии Camrack, образуя стойку</li>
<li>Стойка с кассетами и дополнительными секциями Camrack с закрытыми внешними стенками не предполагает вмешательство человека и проникновение загрязнителей при хранении, что сокращает риск поломки оборудования и получением травм персоналом</li>
<li>Включена в список NSF</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Количество в упаковке: 12</li>
<li>Размеры одного отделения: 111х111х41 мм</li>
<li>Вес: 0,85 кг</li>
<li>Цвет: мягко-серый</li>
</ul>",106764,надставка для кассеты,499 мм,499 мм,51 мм,,,500x500 мм,41,https://entero.ru/manuals/98237/%D0%9A%D0%B0%D1%82%D0%B0%D0%BB%D0%BE%D0%B3%20Cambro%202016-2017.pdf,,0.85 кг,,,,16 ячеек,
