Изображения,Название,Артикул,Цена,Валюта,Наличие,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Остаток,Файлы,Старая цена
https://cdn.entero.ru/mp@2x/27/ff/27ffd0aef977a0f7a58e0d9252ed3ccd.jpg;https://cdn.entero.ru/mp@2x/1a/04/1a043a84c85d539765c6d5f611de855a.jpg;https://cdn.entero.ru/mp@2x/86/e4/86e4de865b700615115c1105520df5d9.jpg,Швейная машина Minerva La Vento 770LV,Швейная машина Minerva La Vento 770LV,18999,RUB,Да,Бытовая техника,Швейное оборудование,Швейные машины,https://entero.ru/item/123720,"<p>Швейная машина <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/123720"">Minerva La Vento 770LV</a></b> используется в квартирах, коттеджах и частных домах для сшивания и отделки деталей из различных видов тканей. Модель оснащена электромеханическим управлением, 2 дисками регулировки, LED-подсветкой, отсеком для хранения аксессуаров и ручкой для переноски.</p>
<p>В комплект поставки входят 4 шпульки, 4 лапки (универсальная, для вшивания молнии, для петли, для пришивания пуговиц), фетровая прокладка, держатель катушки, дополнительный стержень для катушки, упаковка игл 3 (9014), масленка, L-образная отвертка, штопальная пластина, направляющая для квилтинга/оверлочного шва, кисточка-вспарыватель и педаль.</p>
<p><b>Особенности:</b></p>
<ul>
<li>32 операций</li>
<li>Вертикальное челночное устройство</li>
<li>Плавная регулировка натяжения нитей</li>
<li>Плавная регулировка длины стежка</li>
<li>Полуавтоматическое выполнение петли</li>
<li>Рычаг обратного хода</li>
<li>Свободный рукав для обработки низа рукавов, брюк</li>
<li>Заправка нити</li>
<li>Замена прижимной лапки в одно нажатие</li>
</ul>
<p><b>Характеристики:</b></p>
<ul>
<li>Длина стежка: 4 мм</li>
<li>Ширина стежка: 5 мм</li>
</ul>",123720,0,,20429
https://cdn.entero.ru/mp@2x/6b/06/6b0659235e74bc0331caff096fe28c59.jpg;https://cdn.entero.ru/mp@2x/7f/21/7f21b8b9b331b7b7317efc95b2193dad.jpg;https://cdn.entero.ru/mp@2x/89/fb/89fb48947ad110a3fbaecfdb59c7d5e2.jpg;https://cdn.entero.ru/mp@2x/c8/5a/c85acdea112edd9e75d976cbe85402fd.jpg;https://cdn.entero.ru/mp@2x/69/d6/69d6cf0fe05ec58f603d5b43999ddfc1.jpg;https://cdn.entero.ru/mp@2x/71/d3/71d3191c1ef898d254dfa909cdd4853d.jpg,Швейная машина Minerva One F,Швейная машина Minerva One F,10953,RUB,Да,Бытовая техника,Швейное оборудование,Швейные машины,https://entero.ru/item/116321,"<p>Швейная машина <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/116321"">Minerva One F</a></b> используется в квартирах, коттеджах и частных домах для сшивания и отделки деталей из различных видов тканей. Модель оснащена электромеханическим управлением, 2 дисками регулировки, LED-подсветкой, отсеком для хранения аксессуаров и ручкой для переноски. Станина выполнена из металла.</p>

<p>В комплект поставки входят 2 шпульки, педаль и мягкий чехол.</p>

<p><b>Особенности:</b></p>

<ul>
<li>13 операций</li>
<li>Вертикальное челночное устройство</li>
<li>Плавная регулировка натяжения нитей</li>
<li>Полуавтоматическое выполнение петли</li>
<li>Рычаг обратного хода</li>
<li>Свободный рукав для обработки низа рукавов, брюк</li>
<li>Обрезчик нити</li>
<li>Автоматическая намотка шпульки</li>
<li>Замена прижимной лапки в одно нажатие</li>
<li>Возможность шитья двойной иглой</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Длина стежка: от 0 до 3,6 мм</li>
<li>Ширина стежка: от 0 до 4 мм</li>
<li>Напряжение: 220 В</li>
<li>Мощность: 0,07 кВт</li>
</ul>",116321,0,,
https://cdn.entero.ru/mp@2x/11/d9/11d96483791a80be032bfcb001351a26.jpg;https://cdn.entero.ru/mp@2x/7f/44/7f4450596681aa48d98a7cf1a8f3a068.jpg;https://cdn.entero.ru/mp@2x/da/7b/da7be642a14bd1a79ac68e84b19f7409.jpg;https://cdn.entero.ru/mp@2x/5b/6f/5b6ff69339751994e985806650ffcde1.jpg;https://cdn.entero.ru/mp@2x/72/a9/72a9d9812d36158b5eeffd57b9550809.jpg;https://cdn.entero.ru/mp@2x/fd/95/fd955c1d3d731bf2f70a1d7956cbcef4.jpg,Швейная машина Minerva Denim 14,Швейная машина Minerva Denim 14,15426,RUB,Да,Бытовая техника,Швейное оборудование,Швейные машины,https://entero.ru/item/116312,"<p>Швейная машина <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/116312"">Minerva Denim 14</a></b> используется в квартирах, коттеджах и частных домах для сшивания и отделки деталей из различных видов тканей. Модель оснащена электромеханическим управлением, 2 дисками регулировки, LED-подсветкой, отсеком для хранения аксессуаров и ручкой для переноски. Станина выполнена из металла.</p>

<p>В комплект поставки входят 4 лапки (универсальная, для вшивания молнии, для петли, для потайной строчки).</p>

<p><b>Особенности:</b></p>

<ul>
<li>14 операций</li>
<li>Вертикальное челночное устройство</li>
<li>Плавная регулировка натяжения нитей</li>
<li>Полуавтоматическое выполнение петли</li>
<li>Рычаг обратного хода</li>
<li>Свободный рукав для обработки низа рукавов, брюк</li>
<li>Обрезчик нити</li>
<li>Автоматическая намотка шпульки</li>
<li>Замена прижимной лапки в одно нажатие</li>
<li>Возможность шитья двойной иглой</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Длина стежка: от 4,5 до 5 мм</li>
<li>Ширина стежка: 5 мм</li>
<li>Скорость шитья: 650 об./мин.</li>
<li>Напряжение: 220 В</li>
<li>Мощность: 0,05 кВт</li>
</ul>",116312,0,,16069
https://cdn.entero.ru/mp@2x/d6/2a/d62ab970b750565585bfd6964b361941.jpg;https://cdn.entero.ru/mp@2x/94/64/94649cfc677db7bbe8967f811bb874c1.jpg;https://cdn.entero.ru/mp@2x/ba/24/ba24eacfabaf028e179ae0b20d6aab2a.jpg,Швейная машина Minerva La Vento 730LV,Швейная машина Minerva La Vento 730LV,16999,RUB,Да,Бытовая техника,Швейное оборудование,Швейные машины,https://entero.ru/item/123222,"<p>Швейная машина <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/123222"">Minerva La Vento 730LV</a></b> используется в квартирах, коттеджах и частных домах для сшивания и отделки деталей из различных видов тканей. Модель оснащена электромеханическим управлением, LED-подсветкой, отсеком для хранения аксессуаров и ручкой для переноски.</p>

<p>В комплект поставки входят 4 шпульки, 4 лапки (универсальная, для вшивания молнии, для петли, для пришивания пуговиц), фетровая прокладка, держатель катушки, дополнительный стержень для катушки, 3 упаковки игл, масленка, L-образная отвертка, штопальная пластина, направляющая для квилтинга/оверлочного шва, кисточка-вспарыватель и педаль.</p>

<p><b>Особенности:</b></p>

<ul>
<li>20 операций</li>
<li>Вертикальное челночное устройство</li>
<li>Плавная регулировка натяжения нитей</li>
<li>Регулировка длины стежка</li>
<li>Полуавтоматическое выполнение петли</li>
<li>Рычаг обратного хода</li>
<li>Свободный рукав для обработки низа рукавов, брюк</li>
<li>Заправка нити</li>
<li>Замена прижимной лапки в одно нажатие</li>
<li>Регулировка скорости шитья педалью</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Длина стежка: от 0 до 4 мм</li>
<li>Ширина стежка: от 0 до 5 мм</li>
</ul>",123222,0,,
https://cdn.entero.ru/mp@2x/9f/a4/9fa4b544e6c58b969bf0680f52c2cd6e.jpg;https://cdn.entero.ru/mp@2x/33/09/3309b234425074d6a33b1c03cdb4a3b9.jpg;https://cdn.entero.ru/mp@2x/66/36/6636d5eb8890d3648ddd7c277e480e2a.jpg,Швейная машина Minerva La Vento 710LV,Швейная машина Minerva La Vento 710LV,17170,RUB,Да,Бытовая техника,Швейное оборудование,Швейные машины,https://entero.ru/item/123715,"<p>Швейная машина <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/123715"">Minerva La Vento 710LV</a></b> используется в квартирах, коттеджах и частных домах для сшивания и отделки деталей из различных видов тканей. Модель оснащена электромеханическим управлением, LED-подсветкой, отсеком для хранения аксессуаров и ручкой для переноски.</p>

<p>В комплект поставки входят 4 шпульки, 4 лапки (универсальная, для вшивания молнии, для петли, для пришивания пуговиц), фетровая прокладка, держатель катушки, дополнительный стержень для катушки, упаковка игл 3 (9014), масленка, L-образная отвертка, штопальная пластина, направляющая для квилтинга/оверлочного шва, кисточка-вспарыватель и педаль.</p>

<p><b>Особенности:</b></p>

<ul>
<li>10 операций</li>
<li>Вертикальное челночное устройство</li>
<li>Плавная регулировка натяжения нитей</li>
<li>Полуавтоматическое выполнение петли</li>
<li>Рычаг обратного хода</li>
<li>Свободный рукав для обработки низа рукавов, брюк</li>
<li>Заправка нити</li>
<li>Замена прижимной лапки в одно нажатие</li>
<li>Регулировка скорости шитья педалью</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Длина стежка: 4 мм</li>
<li>Ширина стежка: 5 мм</li>
</ul>",123715,0,,18074
https://cdn.entero.ru/mp@2x/86/1b/861b9d0e85e1f79cbf9019c1602b98d8.jpg;https://cdn.entero.ru/mp@2x/c9/f3/c9f3350058c5c9c85545afaa2277375c.jpg;https://cdn.entero.ru/mp@2x/3c/27/3c27dbbcee9ff259e801a34a5787d59d.jpg,Швейная машина Minerva La Vento 750LV,Швейная машина Minerva La Vento 750LV,19951,RUB,Да,Бытовая техника,Швейное оборудование,Швейные машины,https://entero.ru/item/123717,"<p>Швейная машина <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/123717"">Minerva La Vento 750LV</a></b> используется в квартирах, коттеджах и частных домах для сшивания и отделки деталей из различных видов тканей. Модель оснащена электромеханическим управлением, 2 дисками регулировки, LED-подсветкой, отсеком для хранения аксессуаров и ручкой для переноски.</p>
<p>В комплект поставки входят 4 шпульки, 4 лапки (универсальная, для вшивания молнии, для петли, для пришивания пуговиц), фетровая прокладка, держатель катушки, дополнительный стержень для катушки, упаковка игл 3 (9014), масленка, L-образная отвертка, штопальная пластина, направляющая для квилтинга/оверлочного шва, кисточка-вспарыватель и педаль.</p>
<p><b>Особенности:</b></p>
<ul>
<li>23 операций</li>
<li>Вертикальное челночное устройство</li>
<li>Плавная регулировка натяжения нитей</li>
<li>Полуавтоматическое выполнение петли</li>
<li>Рычаг обратного хода</li>
<li>Свободный рукав для обработки низа рукавов, брюк</li>
<li>Заправка нити</li>
<li>Замена прижимной лапки в одно нажатие</li>
<li>Регулировка скорости шитья педалью</li>
</ul>
<p><b>Характеристики:</b></p>
<ul>
<li>Длина стежка: 4 мм</li>
<li>Ширина стежка: 5 мм</li>
</ul>",123717,0,,21453
https://cdn.entero.ru/mp@2x/83/e6/83e6383e8fab43e0a9495d0dd3234fca.jpg;https://cdn.entero.ru/mp@2x/c2/13/c213278acde24fbfeb84c95202de436e.jpg;https://cdn.entero.ru/mp@2x/05/bf/05bfeb4893067a02a08cb1cc3b4be26d.jpg;https://cdn.entero.ru/mp@2x/7d/29/7d296cffcd291e49cbc15d8a3e6e05e4.jpg;https://cdn.entero.ru/mp@2x/a5/34/a534efec19d3e701a00d6018f76124e5.jpg;https://cdn.entero.ru/mp@2x/b0/6c/b06c5343d25ec6c10c8e87c8c51242ab.jpg,Швейная машина Minerva JNC200,Швейная машина Minerva JNC200,28730,RUB,Да,Бытовая техника,Швейное оборудование,Швейные машины,https://entero.ru/item/116336,"<p>Швейная машина <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/116336"">Minerva JNC200</a></b> используется в квартирах, коттеджах и частных домах для сшивания и отделки деталей из различных видов тканей. Модель оснащена электронным управлением с ЖК-дисплеем, двойной LED-подсветкой, отсеком для хранения аксессуаров и ручкой для переноски.</p>

<p>В комплект поставки входят 6 лапок (универсальная, для вшивания молнии, для петли, для пришивания пуговиц, для потайной строчки, для сатиновой строчки).</p>

<p><b>Особенности:</b></p>

<ul>
<li>200 операций</li>
<li>Горизонтальное ротационное челночное устройство Drop-in</li>
<li>Плавная регулировка натяжения нитей</li>
<li>Автоматическое выполнение петли</li>
<li>Рычаг обратного хода</li>
<li>Свободный рукав для обработки низа рукавов, брюк</li>
<li>Возможность свободной вышивки</li>
<li>Автоматическая заправка нити</li>
<li>Обрезчик нити</li>
<li>Автоматическая намотка шпульки</li>
<li>Прозрачная крышка шпульки (позволяет контролировать остаток нити на шпульке)</li>
<li>Сантиметровая линейка на корпусе</li>
<li>Переключатель положения иглы</li>
<li>Позиционирование иглы вверх/вниз</li>
<li>Регулировка прижима лапки</li>
<li>Замена прижимной лапки в одно нажатие</li>
<li>Регулировка скорости шитья педалью</li>
<li>Работа без педали</li>
<li>Возможность шитья двойной иглой</li>
<li>Рычаг опускания и подъема зубьев</li>
<li>Усиленная нижняя рейка</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Длина стежка: 5 мм</li>
<li>Ширина стежка: 7 мм</li>
</ul>",116336,0,,
https://cdn.entero.ru/mp@2x/22/ee/22ee2cc270666bc2aea6c59fae46de70.jpg;https://cdn.entero.ru/mp@2x/79/24/79242c7e45df1f01381cc05777741540.jpg;https://cdn.entero.ru/mp@2x/2f/ec/2fec5bf829876272720a356c8d275627.jpg;https://cdn.entero.ru/mp@2x/db/42/db42582dc0bcae1590aa5f452110cf37.jpg;https://cdn.entero.ru/mp@2x/ec/4e/ec4eeeebd428a1f9b326b75c50a876fe.jpg;https://cdn.entero.ru/mp@2x/e1/33/e1337374369ebf552d17c93278c68557.jpg,Швейная машина Minerva DecorProfessional,Швейная машина Minerva DecorProfessional,59990,RUB,Нет,Бытовая техника,Швейное оборудование,Швейные машины,https://entero.ru/item/123837,"<p>Швейная машина <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/123837"">Minerva DecorProfessional</a></b> используется в квартирах, коттеджах и частных домах для сшивания и отделки деталей из различных видов тканей. Модель оснащена электромеханическим управлением с графическим дисплеем, LED-подсветкой, отсеком для хранения аксессуаров и ручкой для переноски.</p>

<p>В комплект поставки входят 3 шпульки, 7 лапок (универсальная, для вшивания молнии, для пришивания пуговиц, для петли, для потайной строчки, для сборки, для штопки и вышивки), большой и маленький держатели катушки, дополнительный стержень для катушки, двойная игла, L-образная отвертка, масленка, направляющая для краев выстегивания, кисточка-вспарыватель, педаль и мягкий чехол.</p>

<p><b>Особенности:</b></p>

<ul>
<li>400 операций</li>
<li>Горизонтальное челночное устройство</li>
<li>Плавная регулировка натяжения нитей</li>
<li>Плавная регулировка длины и ширины стежка</li>
<li>Автоматическое выполнение петли</li>
<li>Рычаг обратного хода</li>
<li>Свободный рукав для обработки низа рукавов, брюк</li>
<li>Автоматическая заправка нити</li>
<li>Регулировка прижима лапки</li>
<li>Замена прижимной лапки в одно нажатие</li>
<li>Работа без педали</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Длина стежка: от 0 до 4,5 мм</li>
<li>Ширина стежка: от 0 до 7 мм</li>
</ul>",123837,0,,
https://cdn.entero.ru/mp@2x/b3/58/b358c5d767e1badd7306819cd96b8c28.jpg;https://cdn.entero.ru/mp@2x/d6/39/d639eec7528977a3aa2761d7236fc7e1.jpg;https://cdn.entero.ru/mp@2x/98/6b/986b9931ea42d974c4bebe783263e14a.jpg;https://cdn.entero.ru/mp@2x/02/7d/027d2af3094e443d260fc5a033f05324.jpg;https://cdn.entero.ru/mp@2x/b3/af/b3af75e6da3a2eff3a63fe5d41c7661b.jpg;https://cdn.entero.ru/mp@2x/2d/39/2d39873ab4d073a7a51f54f68235f1b0.jpg,Швейная машина Minerva One G,Швейная машина Minerva One G,10953,RUB,Нет,Бытовая техника,Швейное оборудование,Швейные машины,https://entero.ru/item/116311,"<p>Швейная машина <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/116311"">Minerva One G</a></b> используется в квартирах, коттеджах и частных домах для сшивания и отделки деталей из различных видов тканей. Модель оснащена электромеханическим управлением, 2 дисками регулировки, LED-подсветкой, отсеком для хранения аксессуаров и ручкой для переноски. Станина выполнена из металла.</p>

<p>В комплект поставки входят 2 шпульки, педаль и мягкий чехол.</p>

<p><b>Особенности:</b></p>

<ul>
<li>13 операций</li>
<li>Вертикальное челночное устройство</li>
<li>Плавная регулировка натяжения нитей</li>
<li>Полуавтоматическое выполнение петли</li>
<li>Рычаг обратного хода</li>
<li>Свободный рукав для обработки низа рукавов, брюк</li>
<li>Обрезчик нити</li>
<li>Автоматическая намотка шпульки</li>
<li>Замена прижимной лапки в одно нажатие</li>
<li>Возможность шитья двойной иглой</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Длина стежка: от 0 до 3,6 мм</li>
<li>Ширина стежка: от 0 до 4 мм</li>
<li>Напряжение: 220 В</li>
<li>Мощность: 0,07 кВт</li>
</ul>",116311,0,,11529
https://cdn.entero.ru/mp@2x/8a/7e/8a7e39b07d3e0282824e5f5ff3313271.jpg;https://cdn.entero.ru/mp@2x/c9/7f/c97f58d93f696258982e6511e68b3a6f.jpg;https://cdn.entero.ru/mp@2x/78/3e/783ef3744fdfdedbeb24d63fdec85e91.jpg;https://cdn.entero.ru/mp@2x/93/b8/93b8daa084a810f003f84fdb26c12979.jpg;https://cdn.entero.ru/mp@2x/f6/fd/f6fd0ca4af1f22b4f3b0bceefc982641.jpg;https://cdn.entero.ru/mp@2x/fd/8c/fd8c8a5d9f5d370f23aeddc56a650625.jpg,Швейная машина Minerva Classic,Швейная машина Minerva Classic,13883,RUB,Нет,Бытовая техника,Швейное оборудование,Швейные машины,https://entero.ru/item/116322,"<p>Швейная машина <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/116322"">Minerva Classic</a></b> используется в квартирах, коттеджах и частных домах для сшивания и отделки деталей из различных видов тканей. Модель оснащена электромеханическим управлением, 2 дисками регулировки, LED-подсветкой, отсеком для хранения аксессуаров и ручкой для переноски.</p>

<p>В комплект поставки входят 3 шпульки, 4 лапки (универсальная, для вшивания молнии, для петли, для пришивания пуговиц), фетровый амортизатор для катушек, 3 держателя катушки, 3 упаковки игл, масленка, L-образная отвертка, направляющая для выстегивания, кисточка-вспарыватель, педаль и мягкий чехол.</p>

<p><b>Особенности:</b></p>

<ul>
<li>12 операций</li>
<li>Вертикальное челночное устройство</li>
<li>Плавная регулировка натяжения нитей</li>
<li>Полуавтоматическое выполнение петли</li>
<li>Рычаг обратного хода</li>
<li>Свободный рукав для обработки низа рукавов, брюк</li>
<li>Пластина для штопки и вышивки</li>
<li>Автоматическая заправка нити</li>
<li>Обрезчик нити</li>
<li>Автоматическая намотка шпульки</li>
<li>Сантиметровая линейка на корпусе</li>
<li>Двухуровневый подъем прижимной лапки</li>
<li>Замена прижимной лапки в одно нажатие</li>
<li>Регулировка скорости шитья педалью</li>
<li>Возможность шитья двойной иглой</li>
</ul>

<p><b>Характеристики:</b></p>

<ul>
<li>Длина стежка: от 0 до 4 мм</li>
<li>Напряжение: 220 В</li>
</ul>

<p><b>Опции (заказываются отдельно):</b></p>

<ul>
<li>Лапка для декоративных отделочных строчек</li>
<li>Лапка для оверлока</li>
<li>Лапка для потайной подшивки низа</li>
<li>Лапка для вышивки и штопки</li>
<li>Лапка-улитка</li>
<li>Лапка для вшивания шнура и шляпной резинки</li>
<li>Лапка для прокалывания прямых строчек и для работы по тонким тканям</li>
<li>Лапка для сборки</li>
<li>Верхний транспортер ткани</li>
<li>Двойная игла</li>
</ul>",116322,0,https://entero.ru/manuals/116063/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Minerva%20Classic.pdf,
