Изображения,Название,Артикул,Цена,Валюта,Наличие,Бренд,Категория,Подкатегория,Раздел,URL,Описание,Код товара,Напряжение,Мощность,Ширина,Глубина,Высота,Вес,Количество мест,Размеры,Остаток,Файлы,Старая цена,Вес (без упаковки),Родина бренда,Страна-производитель,Количество зон нагрева,Структура верхней поверхности,Структура нижней поверхности,Размер рабочей поверхности
https://cdn.entero.ru/mp@2x/6b/9a/6b9ae66e7a24f70ce0f86b6d111b44b7.jpg;https://cdn.entero.ru/mp@2x/cd/b3/cdb319ad0ca569a5d1afe5192fc87739.jpg;https://cdn.entero.ru/mp@2x/dc/01/dc01d2863f55b4dc1fe62ef791e16bb0.jpg;https://cdn.entero.ru/mp@2x/b5/1b/b51b23900c34e794ea864ede02656b04.jpg;https://cdn.entero.ru/mp@2x/bd/b3/bdb399ef02cf0e720754c9d9c956327e.jpg;https://cdn.entero.ru/mp@2x/f2/1d/f21dd5a35928c809da6484ea0569811c.jpg,Гриль Steba FG 120,Гриль Steba FG 120,15424,RUB,Да,,Бытовая техника,Техника для кухни,Грили,https://entero.ru/item/130823,"<p>Гриль<b class=""b""> <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/130823"">Steba FG 120</a> </b>предназначен для жарки мяса, рыбы и овощей в частных домах, квартирах, отелях и офисах. Модель оснащена панелью управления со светодиодным дисплеем, двумя съемными пластинами с антипригарным покрытием и лотком для стока жира. Корпус выполнен из нержавеющей стали.</p>

<p>В комплект поставки входят 1 гладкая и 1 рифленая пластины.</p>

<p><b>Особенности: </b></p>

<ul>
<li>3 способа использования:
<ul>
<li>контактный гриль</li>
<li>запекание</li>
<li>гриль-барбекю на двойной поверхности</li>
</ul>
</li>
<li>Регулировка температуры отдельно для каждой пластины</li>
<li>Регулировка крышки по высоте</li>
<li>Таймер на 99 мин.</li>
<li>Блокировка крышки</li>
</ul>

<p> </p>",130823,,1.8 кВт,370 мм,360 мм,145 мм,,,,0,https://entero.ru/manuals/146472/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Steba%20FG%20120%20%28%D0%B0%D0%BD%D0%B3%D0%BB.%29.pdf,,5.3 кг,Германия,,1,рифленая,гладкая,270x240
https://cdn.entero.ru/mp@2x/e5/01/e5010211f7193848e62454d267cbd1d2.jpg;https://cdn.entero.ru/mp@2x/78/e0/78e0a86cf93683b8af87ace6f2d809cc.jpg;https://cdn.entero.ru/mp@2x/d3/38/d338558271e1d0afac071fcaabd5f553.jpg;https://cdn.entero.ru/mp@2x/d3/15/d31526f4621f65753ca7488adf19fe20.jpg;https://cdn.entero.ru/mp@2x/49/bb/49bb7395820c88d7ef61f39ebf79e80a.jpg,Раклетница Steba RC 210,63.20.00,16850,RUB,Да,,Бытовая техника,Техника для кухни,Грили,https://entero.ru/item/261495,"<p>Раклетница <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/261495""><b class=""b"">Steba RC 210</b></a> предназначена для для традиционного швейцарского раклета, жарки мяса, рыбы и овощей с одновременным плавлением сыра в частных домах, квартирах, отелях и офисах. Модель оснащена регулятором температуры, съемной пластиной для гриля с антипригарным покрытием и панелью для сыра из нержавеющей стали.</p>

<p><b>Особенности: </b></p>

<ul>
<li>Панель для сыра:
<ul>
<li>Вращается на 360°</li>
<li>Регулируетсяпо высоте </li>
<li>Наклоняется для легкого стекания расплавленного сыра</li>
</ul>
</li>
<li>Бесступенчатая регулировка температуры</li>
<li>Защита от перегрева</li>
<li>Световой индикатор питания</li>
<li>Легкая очистка благодаря съемным частям</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Размер пластины гриль: 235х85 мм</li>
<li>Размер панели для сыра: 170х70 мм</li>
<li>Цвет корпуса: черный / нержавеющая сталь</li>
</ul>",261495,220 В,0.6 кВт,360 мм,317 мм,255 мм,,,,0,,17552,3.2 кг,Германия,Китай,,рифленая,гладкая,235х85
https://cdn.entero.ru/mp@2x/39/1f/391f7de28c9917ab08a596ca5b829b05.jpg;https://cdn.entero.ru/mp@2x/f5/05/f505ad25c0ccdad3b975f1ff07ba65f8.jpg;https://cdn.entero.ru/mp@2x/cf/45/cf45c30c3a8f029fa76bb7ca5f4917d1.jpg;https://cdn.entero.ru/mp@2x/a5/75/a57535fe9f2a19cc5905f975ef66a7ad.jpg;https://cdn.entero.ru/mp@2x/9d/2b/9d2b777d96af73be2eceed4825b5de7f.jpg,Гриль-раклетница Steba RC 88,Гриль-раклетница Steba RC 88,17575,RUB,Да,,Бытовая техника,Техника для кухни,Грили,https://entero.ru/item/173043,"<p>Гриль-раклетница<b class=""b""> <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/173043"">Steba RC 88</a> </b>предназначен для жарки мяса, рыбы и овощей с одновременным плавлением сыра в частных домах, квартирах, отелях и офисах. Модель оснащена регулятором температуры с контрольной лампой, 2 съемными пластинами и нескользящими ножками.</p>

<p>В комплект поставки входят 8 порционных сковородок с антипригарным покрытием, 8 лопаточек, пластина для гриля из натурального камня и рифленая литая алюминиевая пластина с антипригарным покрытием.</p>

<p><b>Особенности: </b></p>

<ul>
<li>Бесступенчатая регулировка температуры</li>
<li>Дополнительная полка для горячих порционных сковородок</li>
<li>Защита от перегрева</li>
</ul>",173043,220 В,1.2 кВт,405 мм,240 мм,140 мм,,,,0,https://entero.ru/manuals/200168/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Steba%20RC%2088.pdf,18697,6.5 кг,Германия,,,,"одна гладкая, одна рифленая",400х235
https://cdn.entero.ru/mp@2x/d4/99/d499fad822a6e87aa7ba2484e8e09150.jpg,Раклетница Clatronic RG 3592,Раклетница Clatronic RG 3592,3315,RUB,Да,,Бытовая техника,Техника для кухни,Грили,https://entero.ru/item/226381,"<p>Гриль-раклетница <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/226381"">Clatronic RG 3592</a></b> предназначен для жарки мяса, рыбы и овощей с одновременным плавлением сыра в частных домах, квартирах, отелях и офисах.</p>

<p>В комплект поставки входят 2 порционные сковородки с антипригарным покрытием.</p>

<p><b>Особенности: </b></p>

<ul>
<li>Термоизолированный корпус</li>
<li>Подходит гриля и поджаривания</li>
<li>Антипригарное покрытие</li>
</ul>

<p> </p>",226381,220 В,0.35 кВт,,,,,,,0,,,,Германия,Китай,2,,гладкая,205x105
https://cdn.entero.ru/mp@2x/60/6a/606adb03f752b9078a945e6308a3bc79.jpg;https://cdn.entero.ru/mp@2x/0c/64/0c644fea6219482f908b8e07428c39d3.jpg;https://cdn.entero.ru/mp@2x/65/c6/65c6c190910921653b93931447a73795.jpg,Гриль Bomann MG 2251 CB,MG 2251 CB schw inox 700W,4022,RUB,Да,Bomann,Бытовая техника,Техника для кухни,Грили,https://entero.ru/item/170920,"<p>Гриль <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/170920"">Bomann MG 2251 CB</a></b> используется в частных домах и квартирах для для жарки мяса, рыбы и овощей. Модель оснащена панелями с глубокими канавками, световым индикатором питания и теплоизолированными ручками. Корпус выполнен из нержавеющей стали, панели - с антипригарным покрытием.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Место для хранения кабеля</li>
<li>Защита от перегрева</li>
</ul>",170920,220 В,0.7 кВт,270 мм,230 мм,95 мм,,,,0,https://entero.ru/manuals/196656/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Bomann%20MG%202251%20CB.pdf,,1.4 кг,Германия,,,,рифленая,230х145
https://cdn.entero.ru/mp@2x/8b/0f/8b0fb7a1d59263ee4b0d5a30a14c389d.jpg;https://cdn.entero.ru/mp@2x/48/da/48daf47b127bcf03f02721054f9f300d.jpg,Гриль Clatronic MG 3519,Гриль Clatronic MG 3519,4022,RUB,Да,,Бытовая техника,Техника для кухни,Грили,https://entero.ru/item/225841,"<p><span class=""b"">Контактный гриль</span><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/225841""><b class=""b""> Clatronic MG 3519 </b></a>предназначен для жарки мяса, рыбы и овощей в частных домах, квартирах, отелях и офисах. Модель оснащена термоизолированными ручками и световым индикатором. Корпус выполнен из нержавеющей стали.</p>

<p><b>Особенности: </b></p>

<ul>
<li>Защита от перегрева</li>
<li>Быстрое приготовление пищи</li>
<li>Пластины с антипригарным покрытием и глубокими канавками</li>
<li>Место для намотки кабеля</li>
<li>
<p>Цвет: черный/нержавеющая сталь</p>
</li>
</ul>

<p><br>
</p>",225841,220 В,0.7 кВт,,,,,,,0,https://entero.ru/manuals/272468/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Clatronic%20MG%203519.pdf,,1.39 кг,Германия,Китай,2,,рифленая,230x145
https://cdn.entero.ru/mp@2x/e2/f5/e2f5a2778e8240abb3aecb8fb6c5838e.jpg,Гриль барбекю Bomann BQ 1240 N,Гриль барбекю Bomann BQ 1240 N,4990,RUB,Да,Bomann,Бытовая техника,Техника для кухни,Грили,https://entero.ru/item/225845,"<p>Гриль барбекю<a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/225845""><b class=""b""> Bomann BQ 1240 N </b></a>предназначен для жарки мяса, рыбы и овощей в частных домах, квартирах, отелях и офисах. Модель оснащена кнопкой включения и выключения со световым индикатором, металлическим лотком для сбора жира, съемной решеткой и нагревательными элементами.</p>

<p><b>Особенности: </b></p>

<ul>
<li>Для установки на стол</li>
<li>Приготовление продуктов без жира и неприятного запаха</li>
<li>Защита от перегрева</li>
<li>Простота разборки и очистки</li>
<li>Цвет корпуса: черный </li>
</ul>

<p> </p>",225845,220 В,2 кВт,360 мм,480 мм,100 мм,,,,0,https://entero.ru/manuals/272469/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Bomann%20BQ%201240%20N.pdf,6836,2.4 кг,Германия,Китай,1,,решетка,355x245
https://cdn.entero.ru/mp@2x/33/3a/333af1b60d7f34cde5c677d13a54b25b.jpg;https://cdn.entero.ru/mp@2x/ae/e1/aee1b4b251b78e0ba56030b5e35f55c7.jpg;https://cdn.entero.ru/mp@2x/fd/71/fd71c22294a80ad2b0016505bd63b969.jpg;https://cdn.entero.ru/mp@2x/49/f2/49f2af24d7efcdc0124546c78510fed2.jpg;https://cdn.entero.ru/mp@2x/ed/2e/ed2ecf37be4ff62dc9d6527c7093b6c4.jpg,Гриль барбекю Clatronic BQS 3508,BQS 3508 schwarz,6499,RUB,Да,,Бытовая техника,Техника для кухни,Грили,https://entero.ru/item/211076,"<p>Гриль барбекю <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/211076"">Clatronic BQS 3508</a></b> предназначен для жарки мяса, рыбы и овощей в частных домах, квартирах, отелях и офисах. Модель оснащена терморегулятором, светодиодным интикатором нагрева, металлическим лотком для стока жира и съемной хромированной решеткой.</p>

<p><b>Особенности: </b></p>

<ul>
<li>Бесступенчатая регулировка температуры</li>
<li>Теплоизолированный корпус</li>
<li>Бортик для защиты от ветра</li>
<li>Легко разбирается для очистки</li>
<li>Может использоваться без подставки как настольный гриль</li>
<li>Полка для хранения посуды</li>
</ul>",211076,220 В,2 кВт,510 мм,460 мм,820 мм,,,,0,https://entero.ru/manuals/247517/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Clatronic%20BQS%203508.pdf,8227,3.2 кг,Германия,Китай,1,,решетка,355х245
https://cdn.entero.ru/mp@2x/ea/79/ea797270593b43d72afc27c3f74e3702.jpg;https://cdn.entero.ru/mp@2x/4e/49/4e4980c53b562cd92df8612ba5fb558e.jpg;https://cdn.entero.ru/mp@2x/96/3b/963b0e2c5f6fe3f3378b62bf5ea54d88.jpg,Раклетница Bomann RG 6039 CB schwarz,Раклетница Bomann RG 6039 CB schwarz,7112,RUB,Да,Bomann,Бытовая техника,Техника для кухни,Грили,https://entero.ru/item/374741,"<p>Гриль-раклетница <a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/374741""><b class=""b"">Bomann RG 6039 CB</b></a> предназначен для жарки мяса, рыбы и овощей в частных домах, квартирах, отелях и офисах. Модель оснащена прорезиненными ножками, ненагревающимся корпусом и температурным индикатором готовности. Антипригарное покрытие гарантирует легкое приготовление и простой уход. Плавно регулируемый термостат позволяет контролировать температуру. Пластина выполнена из литого чугуна, термостат - из нержавеющей стали.</p>

<p>В комплект поставки входят 8 сковородок с антипригарным покрытием и 8 деревянных лопаточек.</p>

<p><b>Особенности:</b></p>

<ul>
<li>Корпус Cool-Touch</li>
<li>Для приготовления на гриле и запекания</li>
<li>Натуральный камень для гриля​</li>
<li>Контрольная лампа нагрева и питания</li>
<li>Бесступенчатый нагрев</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Цвет: черный</li>
</ul>",374741,220 В,от 1.2 до 1.4 кВт,,,,,,,0,https://entero.ru/manuals/506269/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Bomann%20RG%206039%20CB.pdf,,,Германия,Китай,2,,рифленая,420х210
https://cdn.entero.ru/mp@2x/57/76/5776a3dd095641e97a600f2b9044cb53.jpg;https://cdn.entero.ru/mp@2x/c6/c0/c6c0e8d661e77fc110921cd305c6c855.jpg;https://cdn.entero.ru/mp@2x/16/e4/16e445db1f7f13ece8e330ff0791fc73.jpg;https://cdn.entero.ru/mp@2x/8a/19/8a19d6aee9690560d470e21ad82b423a.jpg,Гриль барбекю Steba VG 30 Slim,VG 30 SLIM,8286,RUB,Да,,Бытовая техника,Техника для кухни,Грили,https://entero.ru/item/211074,"<p>Гриль барбекю <b class=""b""><a style=""text-decoration:none;cursor:text;"" href=""http://entero.ru/item/211074"">Steba VG 30 Slim</a></b> предназначен для жарки мяса, рыбы и овощей в частных домах, квартирах, отелях и офисах. Модель оснащена терморегулятором, светодиодным интикатором нагрева, лотком для стока жира, пластиной из литого алюминия с антипригарным покрытием.</p>

<p><b>Особенности: </b></p>

<ul>
<li>Бесступенчатая регулировка температуры</li>
<li>Встроенный нагревательный элемент</li>
<li>Двухзонная пластина с гладкой и рифленой поверхностями</li>
<li>Защита от перегрева</li>
</ul>

<p><b>Дополнительные характеристики:</b></p>

<ul>
<li>Длина сетевого кабеля: 2 м</li>
</ul>",211074,220 В,2 кВт,640 мм,295 мм,60 мм,,,,0,https://entero.ru/manuals/247513/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%86%D0%B8%D1%8F%20%D0%BD%D0%B0%20Steba%20VG%2030%20Slim.pdf,9983,2.6 кг,Германия,Китай,1,,"гладкая, рифленая",485х260
